Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-02,3.35,3.42,3.17,3.2,108424,-0.15,0.25,-4.69,7.81,0.12,-1
2023-08-01,3.43,3.45,3.26,3.31,105185,-0.12,0.19,-3.63,5.74,0.1,-1
2023-07-31,3.59,3.69,3.34,3.42,302462,-0.17,0.35,-4.97,10.23,0.18,-1
2023-07-28,3.4,3.6,3.26,3.53,338823,0.13,0.34,3.68,9.63,0.17,1
2023-07-27,3.44,3.49,3.3,3.35,316662,-0.09,0.19,-2.69,5.54,0.09,-1
2023-07-26,3.48,3.57,3.41,3.46,98991,-0.02,0.16,-0.58,4.62,0.08,-1
2023-07-25,3.58,3.65,3.46,3.5,143451,-0.08,0.19,-2.29,5.47,0.1,-1
2023-07-24,3.73,3.74,3.58,3.6,112326,-0.13,0.16,-3.61,4.44,0.08,-1
2023-07-21,3.75,3.79,3.65,3.73,78157,-0.02,0.14,-0.54,3.72,0.07,-1
2023-07-20,3.75,3.83,3.7,3.74,86301,-0.01,0.13,-0.27,3.44,0.06,-1
2023-07-19,3.89,3.91,3.76,3.79,119294,-0.1,0.15,-2.64,4.01,0.08,-1
2023-07-18,4.0,4.06,3.87,3.9,63412,-0.1,0.19,-2.56,4.8,0.09,-1
2023-07-17,3.88,4.08,3.85,4.0,156370,0.12,0.23,3.0,5.75,0.12,1
2023-07-14,4.0,4.06,3.85,3.88,154516,-0.12,0.21,-3.09,5.41,0.1,-1
2023-07-13,3.98,4.08,3.94,3.99,364244,0.01,0.14,0.25,3.54,0.07,1
2023-07-12,4.1,4.15,3.93,3.95,185295,-0.15,0.22,-3.8,5.56,0.11,-1
2023-07-11,4.07,4.17,4.04,4.1,38046,0.03,0.13,0.73,3.13,0.06,1
2023-07-10,4.09,4.16,4.02,4.06,150274,-0.03,0.14,-0.74,3.45,0.07,-1
2023-07-07,4.08,4.21,4.05,4.09,370364,0.01,0.16,0.24,3.91,0.08,1
2023-07-06,4.3,4.3,4.05,4.07,115955,-0.23,0.25,-5.65,6.14,0.12,-1
2023-07-05,4.29,4.45,4.27,4.35,152494,0.06,0.18,1.38,4.14,0.09,1
2023-07-03,4.12,4.7,4.04,4.31,297179,0.19,0.66,4.41,15.31,0.33,1
2023-06-30,4.07,4.19,4.0,4.03,74694,-0.04,0.19,-0.99,4.72,0.1,-1
2023-06-29,4.36,4.49,4.05,4.05,150930,-0.31,0.44,-7.65,10.86,0.22,-1
2023-06-28,4.55,4.74,4.26,4.37,181158,-0.18,0.48,-4.12,10.98,0.24,-1
2023-06-27,4.7,4.79,4.52,4.67,130179,-0.03,0.27,-0.64,5.8,0.14,-1
2023-06-26,4.88,4.97,4.56,4.75,129713,-0.13,0.41,-2.74,8.63,0.21,-1
2023-06-23,5.27,5.29,4.6,4.97,308706,-0.3,0.69,-6.04,13.85,0.34,-1
2023-06-22,4.8,5.4,4.72,5.27,321156,0.47,0.68,8.92,12.9,0.34,1
2023-06-21,4.49,5.03,4.31,4.83,181894,0.34,0.72,7.04,14.88,0.36,1
2023-06-20,4.55,4.59,4.07,4.55,323136,0.0,0.52,0.0,11.43,0.26,1
2023-06-16,4.49,4.53,4.24,4.5,215430,0.01,0.29,0.22,6.44,0.14,1
2023-06-15,4.59,4.62,4.37,4.49,125853,-0.1,0.25,-2.23,5.46,0.12,-1
2023-06-14,4.62,4.75,4.45,4.62,179760,0.0,0.3,0.0,6.48,0.15,-1
2023-06-13,4.4,4.73,4.35,4.62,202425,0.22,0.38,4.76,8.23,0.19,1
2023-06-12,4.25,4.44,4.1,4.39,383591,0.14,0.34,3.19,7.77,0.17,1
2023-06-09,4.38,4.38,3.79,4.25,623077,-0.13,0.59,-3.06,13.88,0.29,-1
2023-06-08,4.13,4.69,4.06,4.29,370278,0.16,0.63,3.73,14.69,0.32,1
2023-06-07,4.01,4.19,3.9,4.0,74876,-0.01,0.29,-0.25,7.25,0.14,-1
2023-06-06,4.0,4.2,3.72,4.0,202913,0.0,0.48,0.0,11.9,0.24,-1
2023-06-05,3.31,4.28,3.31,4.03,793606,0.72,0.97,17.87,24.03,0.48,1
2023-06-02,3.09,3.45,3.02,3.31,237586,0.22,0.43,6.65,12.99,0.22,1
2023-06-01,3.08,3.11,3.0,3.06,49240,-0.02,0.11,-0.65,3.51,0.05,-1
2023-05-31,3.08,3.1,2.99,3.09,58671,0.01,0.11,0.32,3.56,0.05,1
2023-05-30,3.15,3.15,3.04,3.08,50363,-0.07,0.11,-2.27,3.73,0.06,-1
2023-05-26,3.15,3.22,3.09,3.14,98487,-0.01,0.13,-0.4,4.14,0.07,-1
2023-05-25,3.3,3.33,3.18,3.21,86514,-0.09,0.15,-2.8,4.67,0.07,-1
2023-05-24,3.17,3.41,3.08,3.22,164967,0.05,0.33,1.55,10.28,0.17,1
2023-05-23,3.2,3.33,3.08,3.16,114196,-0.04,0.25,-1.27,7.86,0.12,-1
2023-05-22,3.1,3.39,3.06,3.24,417356,0.14,0.33,4.32,10.03,0.16,1
2023-05-19,3.02,3.1,2.95,3.1,70187,0.08,0.15,2.58,4.84,0.07,1
2023-05-18,2.97,3.05,2.91,2.99,61195,0.02,0.14,0.67,4.68,0.07,1
2023-05-17,3.01,3.1,2.96,2.96,56788,-0.05,0.14,-1.69,4.73,0.07,-1
2023-05-16,3.15,3.15,3.0,3.03,28797,-0.12,0.15,-3.96,4.95,0.07,-1
2023-05-15,2.99,3.1,2.98,3.08,38782,0.09,0.12,2.92,3.85,0.06,1
2023-05-12,2.96,3.05,2.9,2.97,100465,0.01,0.15,0.34,5.05,0.07,-1
2023-05-11,3.29,3.29,2.91,2.97,165284,-0.32,0.38,-10.77,12.79,0.19,-1
2023-05-10,3.18,3.34,3.14,3.2,102990,0.02,0.2,0.63,6.34,0.1,1
2023-05-09,3.08,3.18,3.08,3.18,30622,0.1,0.1,3.14,3.3,0.05,1
2023-05-08,3.32,3.34,3.07,3.13,103441,-0.19,0.27,-6.07,8.47,0.13,-1
