Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-08,4.12,4.16,4.06,4.14,1555403,0.02,0.1,0.48,2.42,0.05,-1
2023-08-07,4.04,4.15,3.99,4.14,1625419,0.1,0.16,2.42,3.86,0.08,1
2023-08-04,4.14,4.16,4.04,4.05,1957098,-0.09,0.12,-2.22,2.96,0.06,-1
2023-08-03,4.02,4.15,4.01,4.14,1225096,0.12,0.14,2.9,3.38,0.07,1
2023-08-02,4.1,4.11,3.99,4.05,1242770,-0.05,0.12,-1.23,2.96,0.06,-1
2023-08-01,4.13,4.16,4.07,4.15,1170054,0.02,0.09,0.48,2.17,0.04,-1
2023-07-31,4.05,4.18,4.01,4.15,2226155,0.1,0.17,2.41,4.1,0.08,1
2023-07-28,3.92,4.13,3.9,4.03,2345456,0.11,0.23,2.73,5.71,0.12,1
2023-07-27,3.93,3.94,3.85,3.9,1406026,-0.03,0.09,-0.77,2.31,0.04,1
2023-07-26,3.78,3.91,3.74,3.89,2365387,0.11,0.17,2.83,4.37,0.08,1
2023-07-25,3.73,3.78,3.69,3.71,898278,-0.02,0.08,-0.54,2.29,0.04,-1
2023-07-24,3.83,3.83,3.7,3.73,1498888,-0.1,0.14,-2.68,3.62,0.07,-1
2023-07-21,3.79,3.82,3.76,3.82,1332635,0.03,0.05,0.79,1.44,0.03,1
2023-07-20,3.75,3.79,3.72,3.76,1321082,0.01,0.07,0.27,1.81,0.03,1
2023-07-19,3.63,3.92,3.63,3.74,2555983,0.11,0.29,2.94,7.75,0.15,1
2023-07-18,3.57,3.62,3.53,3.57,1252443,0.0,0.09,0.0,2.52,0.05,-1
2023-07-17,3.56,3.64,3.56,3.59,1304984,0.03,0.08,0.84,2.37,0.04,1
2023-07-14,3.48,3.63,3.46,3.57,1353865,0.09,0.17,2.52,4.76,0.08,1
2023-07-13,3.5,3.54,3.42,3.49,2517801,-0.01,0.11,-0.29,3.15,0.06,1
2023-07-12,3.59,3.59,3.45,3.47,2049095,-0.12,0.14,-3.46,4.03,0.07,-1
2023-07-11,3.69,3.7,3.53,3.55,1369292,-0.14,0.17,-3.94,4.65,0.08,-1
2023-07-10,3.59,3.7,3.58,3.69,1241959,0.1,0.12,2.71,3.25,0.06,1
2023-07-07,3.53,3.66,3.53,3.61,1095424,0.08,0.13,2.22,3.6,0.07,1
2023-07-06,3.58,3.6,3.5,3.52,1480492,-0.06,0.1,-1.7,2.98,0.05,-1
2023-07-05,3.63,3.66,3.54,3.62,1527956,-0.01,0.12,-0.28,3.45,0.06,-1
2023-07-03,3.74,3.74,3.64,3.67,714214,-0.07,0.1,-1.91,2.72,0.05,-1
2023-06-30,3.66,3.75,3.66,3.69,1351117,0.03,0.09,0.81,2.44,0.04,1
2023-06-29,3.81,3.82,3.6,3.63,2499432,-0.18,0.23,-4.96,6.2,0.11,-1
2023-06-28,3.85,3.89,3.8,3.84,1415149,-0.01,0.08,-0.26,2.21,0.04,-1
2023-06-27,3.79,3.92,3.77,3.87,1702487,0.08,0.15,2.07,3.75,0.07,1
2023-06-26,3.87,3.9,3.78,3.79,1322550,-0.08,0.12,-2.11,3.03,0.06,-1
2023-06-23,3.86,3.9,3.82,3.87,3704134,0.01,0.08,0.26,2.2,0.04,-1
2023-06-22,3.92,3.99,3.87,3.88,1443726,-0.04,0.12,-1.03,3.09,0.06,-1
2023-06-21,3.87,3.96,3.82,3.95,1109333,0.08,0.14,2.03,3.54,0.07,1
2023-06-20,3.95,3.95,3.8,3.9,1715483,-0.05,0.15,-1.28,3.85,0.08,-1
2023-06-16,4.0,4.02,3.9,3.93,8224270,-0.07,0.12,-1.78,3.05,0.06,-1
2023-06-15,3.88,4.02,3.84,3.99,1839116,0.11,0.18,2.76,4.51,0.09,1
2023-06-14,4.0,4.0,3.86,3.89,1899306,-0.11,0.14,-2.83,3.6,0.07,-1
2023-06-13,3.9,4.01,3.82,4.0,1698823,0.1,0.19,2.5,4.75,0.09,1
2023-06-12,3.82,3.9,3.75,3.87,1977974,0.05,0.15,1.29,3.75,0.07,1
2023-06-09,3.98,4.02,3.75,3.82,2244973,-0.16,0.27,-4.19,7.04,0.13,-1
2023-06-08,4.05,4.09,3.97,3.97,1068086,-0.08,0.12,-2.02,3.02,0.06,-1
2023-06-07,4.06,4.1,4.0,4.06,1541295,0.0,0.1,0.0,2.59,0.05,-1
2023-06-06,4.04,4.1,4.0,4.06,1276716,0.02,0.1,0.49,2.43,0.05,1
2023-06-05,4.02,4.1,3.99,4.03,1401323,0.01,0.11,0.25,2.73,0.05,-1
2023-06-02,4.03,4.05,3.94,4.05,1546781,0.02,0.11,0.49,2.72,0.05,1
2023-06-01,4.07,4.07,3.96,4.01,1108891,-0.06,0.11,-1.5,2.62,0.05,-1
2023-05-31,4.04,4.15,4.0,4.07,2145089,0.03,0.15,0.74,3.69,0.08,1
2023-05-30,4.05,4.11,3.96,4.04,1421533,-0.01,0.15,-0.25,3.71,0.08,-1
2023-05-26,3.92,4.1,3.87,4.08,1745491,0.16,0.23,3.92,5.64,0.11,1
2023-05-25,4.0,4.01,3.84,3.94,2062520,-0.06,0.17,-1.52,4.31,0.08,-1
2023-05-24,4.02,4.05,3.98,4.03,1687850,0.01,0.07,0.25,1.74,0.04,-1
2023-05-23,4.13,4.16,4.03,4.06,1950999,-0.07,0.13,-1.72,3.2,0.06,-1
2023-05-22,4.12,4.2,4.1,4.15,2628004,0.03,0.11,0.72,2.53,0.05,1
2023-05-19,4.09,4.15,4.04,4.1,1328476,0.01,0.11,0.24,2.68,0.06,1
2023-05-18,4.1,4.12,3.98,4.04,2154163,-0.06,0.14,-1.49,3.34,0.07,-1
2023-05-17,4.09,4.14,3.96,4.11,1758403,0.02,0.17,0.49,4.26,0.09,1
2023-05-16,4.01,4.13,4.0,4.08,2656657,0.07,0.13,1.71,3.19,0.06,-1
2023-05-15,4.21,4.3,4.14,4.19,5114312,-0.02,0.16,-0.48,3.82,0.08,-1
2023-05-12,3.98,4.26,3.93,4.22,6777162,0.24,0.33,5.69,7.94,0.17,1
2023-05-11,3.9,4.03,3.74,3.96,8957205,0.06,0.29,1.52,7.32,0.15,1
2023-05-10,3.54,3.58,3.48,3.57,1819651,0.03,0.1,0.84,2.66,0.05,1
2023-05-09,3.47,3.52,3.42,3.47,1245837,0.0,0.1,0.0,2.88,0.05,-1
2023-05-08,3.47,3.56,3.44,3.5,1722997,0.03,0.12,0.86,3.57,0.06,1
2023-05-05,3.47,3.57,3.44,3.46,1920281,-0.01,0.13,-0.29,3.76,0.06,1
2023-05-04,3.45,3.45,3.34,3.42,1689942,-0.03,0.1,-0.88,3.07,0.05,-1
2023-05-03,3.33,3.54,3.29,3.48,2866832,0.15,0.24,4.31,6.92,0.12,1
2023-05-02,3.43,3.44,3.27,3.3,1924755,-0.13,0.17,-3.94,5.3,0.09,-1
2023-05-01,3.33,3.47,3.33,3.42,2291916,0.09,0.14,2.63,4.09,0.07,1
2023-04-28,3.3,3.39,3.26,3.35,1641755,0.05,0.13,1.49,3.88,0.07,1
2023-04-27,3.32,3.38,3.24,3.31,1734290,-0.01,0.13,-0.3,4.08,0.07,1
2023-04-26,3.31,3.34,3.27,3.3,1168978,-0.01,0.07,-0.3,2.12,0.03,-1
2023-04-25,3.44,3.48,3.28,3.33,1405313,-0.11,0.2,-3.3,6.01,0.1,-1
2023-04-24,3.56,3.58,3.41,3.44,1273356,-0.12,0.17,-3.49,4.94,0.08,-1
2023-04-21,3.42,3.6,3.41,3.58,2079522,0.16,0.19,4.47,5.31,0.09,1
2023-04-20,3.43,3.47,3.38,3.44,1423590,0.01,0.09,0.29,2.62,0.05,-1
2023-04-19,3.32,3.48,3.29,3.46,1369453,0.14,0.19,4.05,5.46,0.09,1
2023-04-18,3.36,3.38,3.29,3.34,1218164,-0.02,0.08,-0.6,2.54,0.04,-1
2023-04-17,3.18,3.38,3.17,3.34,2512371,0.15,0.21,4.64,6.3,0.11,1
2023-04-14,3.22,3.22,3.07,3.18,1787099,-0.04,0.15,-1.26,4.72,0.08,-1
2023-04-13,3.13,3.24,3.1,3.22,3944705,0.09,0.14,2.8,4.35,0.07,1
2023-04-12,3.33,3.33,3.09,3.12,2418530,-0.21,0.24,-6.73,7.69,0.12,-1
2023-04-11,3.3,3.39,3.19,3.23,2373909,-0.07,0.2,-2.17,6.19,0.1,-1
2023-04-10,3.33,3.34,3.24,3.3,2058046,-0.03,0.1,-0.91,3.03,0.05,-1
2023-04-06,3.19,3.37,3.15,3.37,1802697,0.18,0.22,5.34,6.53,0.11,1
2023-04-05,3.22,3.26,3.14,3.17,2219612,-0.05,0.12,-1.58,3.79,0.06,-1
2023-04-04,3.35,3.36,3.18,3.22,2694205,-0.13,0.18,-4.04,5.59,0.09,-1
2023-04-03,3.3,3.38,3.28,3.32,1588675,0.02,0.1,0.6,2.94,0.05,1
2023-03-31,3.19,3.35,3.17,3.31,2073633,0.12,0.18,3.63,5.44,0.09,1
2023-03-30,3.29,3.32,3.13,3.16,2972694,-0.13,0.19,-4.11,5.85,0.09,-1
2023-03-29,3.23,3.27,3.19,3.27,1501034,0.04,0.08,1.22,2.45,0.04,1
2023-03-28,3.32,3.38,3.18,3.21,1695100,-0.11,0.2,-3.43,6.23,0.1,-1
2023-03-27,3.37,3.47,3.3,3.32,2080294,-0.05,0.17,-1.51,4.97,0.08,-1
2023-03-24,3.28,3.44,3.25,3.32,3949845,0.04,0.19,1.2,5.72,0.09,1
2023-03-23,3.04,3.14,3.03,3.11,2383175,0.07,0.11,2.25,3.54,0.06,1
2023-03-22,3.09,3.1,2.99,3.01,2936868,-0.08,0.11,-2.66,3.82,0.06,-1
2023-03-21,3.1,3.18,3.08,3.1,1831400,0.0,0.1,0.0,3.39,0.05,1
2023-03-20,3.09,3.12,2.94,3.08,2215957,-0.01,0.18,-0.32,5.68,0.09,-1
2023-03-17,3.13,3.18,3.03,3.1,9981847,-0.03,0.15,-0.97,4.84,0.08,-1
2023-03-16,3.11,3.19,3.06,3.13,1755919,0.02,0.13,0.64,4.15,0.06,-1
2023-03-15,3.17,3.2,3.09,3.13,3168589,-0.04,0.12,-1.28,3.67,0.06,-1
2023-03-14,3.25,3.28,3.17,3.22,2464199,-0.03,0.11,-0.93,3.42,0.05,1
2023-03-13,3.03,3.23,3.01,3.18,3320140,0.15,0.22,4.72,6.92,0.11,1
2023-03-10,3.3,3.3,3.04,3.09,3583699,-0.21,0.26,-6.8,8.41,0.13,-1
2023-03-09,3.42,3.46,3.22,3.28,2024344,-0.14,0.24,-4.27,7.32,0.12,-1
2023-03-08,3.41,3.47,3.36,3.41,973482,0.0,0.11,0.0,3.23,0.06,1
2023-03-07,3.38,3.47,3.35,3.4,1360213,0.02,0.12,0.59,3.53,0.06,1
2023-03-06,3.42,3.45,3.31,3.35,1695171,-0.07,0.14,-2.09,4.18,0.07,-1
2023-03-03,3.47,3.5,3.38,3.42,3051589,-0.05,0.12,-1.46,3.51,0.06,-1
2023-03-02,3.52,3.56,3.45,3.46,1047901,-0.06,0.1,-1.73,3.03,0.05,-1
2023-03-01,3.57,3.67,3.54,3.55,1821945,-0.02,0.13,-0.56,3.66,0.06,-1
2023-02-28,3.51,3.61,3.49,3.55,1700112,0.04,0.12,1.13,3.38,0.06,1
2023-02-27,3.43,3.54,3.42,3.49,1626094,0.06,0.12,1.72,3.44,0.06,1
2023-02-24,3.48,3.49,3.42,3.42,1322269,-0.06,0.07,-1.75,2.05,0.04,-1
2023-02-23,3.52,3.54,3.47,3.5,2395937,-0.02,0.07,-0.57,1.93,0.03,-1
2023-02-22,3.54,3.58,3.46,3.51,1846994,-0.03,0.12,-0.85,3.42,0.06,-1
2023-02-21,3.57,3.63,3.51,3.53,3806454,-0.04,0.12,-1.13,3.4,0.06,-1
2023-02-17,3.47,3.67,3.4,3.63,2301192,0.16,0.27,4.41,7.44,0.14,1
2023-02-16,3.52,3.56,3.44,3.47,1801311,-0.05,0.12,-1.44,3.46,0.06,-1
2023-02-15,3.59,3.64,3.53,3.58,1681183,-0.01,0.1,-0.28,2.93,0.05,-1
2023-02-14,3.63,3.7,3.56,3.59,2897792,-0.04,0.15,-1.11,4.04,0.07,-1
2023-02-13,3.6,3.68,3.55,3.66,1248756,0.06,0.12,1.64,3.42,0.06,1
2023-02-10,3.6,3.61,3.53,3.58,1630004,-0.02,0.08,-0.56,2.23,0.04,-1
2023-02-09,3.79,3.86,3.6,3.6,2150354,-0.19,0.26,-5.28,7.22,0.13,-1
2023-02-08,3.89,3.89,3.74,3.79,2045352,-0.1,0.16,-2.64,4.09,0.08,-1
2023-02-07,3.71,3.87,3.65,3.86,3529741,0.15,0.22,3.89,5.7,0.11,1
2023-02-06,3.73,3.8,3.7,3.71,2557026,-0.02,0.1,-0.54,2.83,0.05,-1
2023-02-03,3.76,3.88,3.74,3.76,2486357,0.0,0.15,0.0,3.86,0.07,-1
2023-02-02,3.83,3.83,3.67,3.8,2737333,-0.03,0.16,-0.79,4.21,0.08,1
2023-02-01,3.7,3.84,3.59,3.77,3265191,0.07,0.25,1.86,6.53,0.12,1
2023-01-31,3.62,3.71,3.62,3.69,2080798,0.07,0.09,1.9,2.44,0.04,1
2023-01-30,3.64,3.71,3.54,3.6,2652701,-0.04,0.17,-1.11,4.72,0.08,-1
2023-01-27,3.7,3.74,3.62,3.67,1518835,-0.03,0.12,-0.82,3.26,0.06,-1
2023-01-26,3.59,3.68,3.54,3.67,2258340,0.08,0.15,2.18,3.95,0.07,1
2023-01-25,3.5,3.58,3.44,3.58,1853124,0.08,0.14,2.23,3.91,0.07,1
2023-01-24,3.4,3.54,3.39,3.53,2224339,0.13,0.15,3.68,4.25,0.07,1
2023-01-23,3.5,3.5,3.36,3.4,3245176,-0.1,0.14,-2.94,4.12,0.07,-1
2023-01-20,3.33,3.57,3.26,3.5,4041507,0.17,0.31,4.86,8.86,0.16,1
2023-01-19,3.34,3.37,3.27,3.28,2818713,-0.06,0.1,-1.83,3.01,0.05,-1
2023-01-18,3.48,3.51,3.3,3.36,1946587,-0.12,0.21,-3.57,6.23,0.1,-1
2023-01-17,3.49,3.65,3.41,3.42,2954525,-0.07,0.24,-2.05,7.02,0.12,1
2023-01-13,3.39,3.5,3.32,3.4,4036286,0.01,0.18,0.29,5.29,0.09,-1
2023-01-12,3.37,3.51,3.3,3.51,2209067,0.14,0.21,3.99,5.98,0.1,1
2023-01-11,3.64,3.66,3.38,3.39,3577815,-0.25,0.28,-7.37,8.26,0.14,-1
2023-01-10,3.48,3.68,3.42,3.65,1884211,0.17,0.26,4.66,7.12,0.13,1
2023-01-09,3.62,3.67,3.51,3.51,2579985,-0.11,0.16,-3.13,4.56,0.08,-1
2023-01-06,3.6,3.75,3.56,3.63,1716574,0.03,0.19,0.83,5.37,0.1,1
2023-01-05,3.62,3.68,3.53,3.6,2024812,-0.02,0.15,-0.56,4.03,0.07,-1
2023-01-04,3.82,3.88,3.61,3.65,3296792,-0.17,0.27,-4.66,7.4,0.14,-1
2023-01-03,3.94,3.98,3.78,3.87,3119248,-0.07,0.2,-1.81,5.17,0.1,-1
2022-12-30,3.8,3.9,3.8,3.88,1533204,0.07,0.09,1.93,2.45,0.05,1
2022-12-29,3.67,3.92,3.67,3.86,3092830,0.19,0.25,4.92,6.48,0.12,1
2022-12-28,3.65,3.73,3.63,3.68,1624534,0.03,0.1,0.82,2.7,0.05,1
2022-12-27,3.68,3.7,3.59,3.63,1638597,-0.05,0.11,-1.38,3.03,0.06,-1
2022-12-23,3.78,3.79,3.63,3.65,1465092,-0.13,0.16,-3.56,4.38,0.08,-1
2022-12-22,3.67,3.8,3.64,3.8,2655875,0.13,0.15,3.42,4.08,0.08,1
2022-12-21,3.65,3.75,3.62,3.69,1856622,0.04,0.13,1.08,3.52,0.06,1
2022-12-20,3.48,3.65,3.46,3.62,2782204,0.14,0.19,3.87,5.25,0.09,1
2022-12-19,3.6,3.62,3.45,3.49,2551027,-0.11,0.17,-3.15,4.85,0.08,-1
2022-12-16,3.55,3.62,3.51,3.61,4700099,0.06,0.11,1.66,3.05,0.06,1
2022-12-15,3.63,3.66,3.56,3.56,5103573,-0.07,0.1,-1.97,2.95,0.05,-1
2022-12-14,3.71,3.76,3.62,3.67,3320238,-0.04,0.13,-1.09,3.68,0.07,-1
2022-12-13,3.67,3.76,3.63,3.71,6407160,0.04,0.13,1.08,3.5,0.06,1
2022-12-12,3.61,3.78,3.58,3.65,8575864,0.04,0.21,1.1,5.62,0.1,1
2022-12-09,3.61,3.64,3.5,3.55,4770700,-0.06,0.15,-1.69,4.08,0.07,-1
2022-12-08,3.46,3.72,3.44,3.64,7289039,0.18,0.29,4.95,7.83,0.14,1
2022-12-07,3.06,3.54,3.02,3.45,13204289,0.39,0.52,11.3,15.07,0.26,1
2022-12-06,3.23,3.3,3.16,3.17,2392915,-0.06,0.14,-1.89,4.42,0.07,-1
2022-12-05,3.38,3.41,3.22,3.24,2403682,-0.14,0.19,-4.32,5.86,0.09,-1
2022-12-02,3.23,3.41,3.18,3.36,3353680,0.13,0.23,3.87,6.85,0.12,1
2022-12-01,3.28,3.37,3.19,3.23,2721345,-0.05,0.18,-1.55,5.57,0.09,-1
2022-11-30,3.34,3.42,3.21,3.34,6233770,0.0,0.2,0.0,6.05,0.1,1
2022-11-29,3.27,3.34,3.22,3.32,1868986,0.05,0.12,1.51,3.77,0.06,1
2022-11-28,3.22,3.32,3.22,3.24,2725053,0.02,0.1,0.62,3.09,0.05,-1
2022-11-25,3.14,3.33,3.11,3.25,2154516,0.11,0.22,3.38,6.77,0.11,1
2022-11-23,3.21,3.25,3.14,3.16,1262380,-0.05,0.11,-1.58,3.48,0.05,-1
2022-11-22,3.18,3.23,3.12,3.23,1631673,0.05,0.1,1.55,3.25,0.05,1
2022-11-21,3.11,3.2,3.11,3.17,1654377,0.06,0.09,1.89,2.84,0.05,1
2022-11-18,3.22,3.24,3.11,3.14,1565865,-0.08,0.12,-2.55,3.98,0.06,-1
2022-11-17,3.13,3.18,3.05,3.18,2432263,0.05,0.13,1.57,4.09,0.07,1
2022-11-16,3.2,3.28,3.12,3.16,3105355,-0.04,0.16,-1.27,5.06,0.08,-1
2022-11-15,3.39,3.47,3.16,3.24,4478341,-0.15,0.31,-4.63,9.57,0.16,-1
2022-11-14,3.25,3.42,3.21,3.31,5030699,0.06,0.21,1.81,6.34,0.1,1
2022-11-11,3.13,3.34,3.12,3.27,7440796,0.14,0.22,4.28,6.88,0.11,1
2022-11-10,2.77,3.19,2.71,3.15,15677090,0.38,0.48,12.06,15.23,0.24,1
2022-11-09,2.6,2.62,2.47,2.47,2204033,-0.13,0.15,-5.26,6.28,0.08,-1
2022-11-08,2.53,2.62,2.49,2.61,1966644,0.08,0.13,3.07,4.98,0.06,1
2022-11-07,2.6,2.6,2.47,2.53,1793158,-0.07,0.13,-2.77,5.34,0.07,-1
