Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-21,0.58,0.62,0.58,0.59,642717,0.01,0.04,2.23,7.54,0.02,0.27,0.36,0.1,0.1,0.0,326095814,46.67,66.67,65.0,1.0,1.67,High Volatility / Hold Signal,0.62,0.27,-0.08,2.63,57.7,Target Volume,Expected Range,19.71,Absent or Weak Trend
2023-07-20,0.64,0.64,0.58,0.6,1442229,-0.04,0.06,-6.84,10.68,0.03,0.26,0.35,0.1,0.09,0.01,326738531,46.76,68.33,66.67,1.0,1.67,High Volatility / Hold Signal,0.61,0.26,-0.08,2.63,57.93,Target Volume,Expected Range,19.26,Absent or Weak Trend
2023-07-19,0.68,0.69,0.6,0.64,3578112,-0.04,0.09,-6.48,13.64,0.04,0.25,0.34,0.11,0.09,0.01,328180760,48.54,70.0,68.33,1.0,1.67,High Volatility / Hold Signal,0.59,0.25,-0.08,2.62,59.59,Target Volume,Expected Range,18.79,Absent or Weak Trend
2023-07-18,0.6,0.72,0.6,0.68,4994622,0.08,0.12,11.11,18.11,0.06,0.25,0.33,0.1,0.09,0.01,331758872,48.54,71.67,70.0,1.0,1.67,High Volatility / Hold Signal,0.57,0.25,-0.07,2.59,61.13,Trending Low,Bearish Trend,18.29,Absent or Weak Trend
2023-07-17,0.55,0.61,0.53,0.6,4900836,0.05,0.08,7.92,12.73,0.04,0.24,0.32,0.1,0.09,0.01,326764250,44.96,73.33,71.67,1.0,1.67,High Volatility / Hold Signal,0.54,0.24,-0.06,2.52,58.95,Target Volume,Expected Range,17.77,Absent or Weak Trend
2023-07-14,0.53,0.56,0.51,0.56,1444089,0.02,0.05,4.31,8.37,0.02,0.23,0.31,0.09,0.08,0.01,321863414,43.25,75.0,73.33,1.0,1.67,High Volatility / Hold Signal,0.52,0.23,-0.05,2.47,57.7,Target Volume,Expected Range,17.31,Absent or Weak Trend
2023-07-13,0.54,0.55,0.52,0.54,1146647,0.0,0.03,0.72,5.11,0.01,0.22,0.3,0.09,0.08,0.01,320419325,42.89,76.67,75.0,1.0,1.67,High Volatility / Hold Signal,0.5,0.22,-0.05,2.43,57.18,Target Volume,Expected Range,16.87,Absent or Weak Trend
2023-07-12,0.5,0.56,0.49,0.55,4604231,0.05,0.07,9.09,13.45,0.04,0.22,0.29,0.09,0.08,0.01,321565972,42.89,78.33,76.67,1.0,1.67,High Volatility / Hold Signal,0.48,0.22,-0.04,2.39,57.49,Target Volume,Expected Range,16.43,Absent or Weak Trend
2023-07-11,0.47,0.51,0.47,0.5,2058519,0.03,0.04,5.62,7.36,0.02,0.21,0.28,0.09,0.07,0.01,316961741,40.85,80.0,78.33,1.0,1.67,High Volatility / Hold Signal,0.46,0.21,-0.03,2.33,55.91,Target Volume,Expected Range,15.98,Absent or Weak Trend
2023-07-10,0.45,0.51,0.45,0.5,1746642,0.04,0.06,8.69,11.74,0.03,0.21,0.27,0.09,0.07,0.02,314903222,40.85,81.67,80.0,1.0,1.67,High Volatility / Hold Signal,0.44,0.21,-0.03,2.28,55.75,Target Volume,Expected Range,15.56,Absent or Weak Trend
2023-07-07,0.5,0.51,0.47,0.48,2366849,-0.02,0.04,-4.71,8.21,0.02,0.2,0.27,0.09,0.07,0.02,313156580,42.46,83.33,81.67,1.0,1.67,High Volatility / Hold Signal,0.42,0.2,-0.02,2.21,55.26,Target Volume,Expected Range,15.13,Absent or Weak Trend
2023-07-06,0.43,0.55,0.38,0.52,14334645,0.09,0.17,18.1,33.27,0.09,0.2,0.26,0.08,0.06,0.02,315523429,42.46,85.0,83.33,1.0,1.67,High Volatility / Hold Signal,0.41,0.2,-0.01,2.14,56.9,Target Volume,Expected Range,14.67,Absent or Weak Trend
2023-07-05,0.48,0.49,0.41,0.43,2639657,-0.05,0.08,-11.63,17.88,0.04,0.19,0.25,0.08,0.05,0.02,301188784,40.15,86.67,85.0,1.0,1.67,High Volatility / Hold Signal,0.39,0.19,-0.0,2.01,53.87,Target Volume,Expected Range,14.2,Absent or Weak Trend
2023-07-03,0.45,0.51,0.42,0.46,4034112,0.01,0.09,1.55,19.39,0.04,0.19,0.24,0.08,0.05,0.03,303828441,40.92,88.33,86.67,1.0,1.67,High Volatility / Hold Signal,0.37,0.19,0.01,1.94,55.08,Target Volume,Expected Range,13.76,Absent or Weak Trend
2023-06-30,0.39,0.46,0.35,0.45,10010675,0.06,0.11,12.56,23.84,0.05,0.19,0.24,0.07,0.04,0.03,299794329,38.99,90.0,88.33,1.0,1.67,High Volatility / Hold Signal,0.36,0.19,0.01,1.84,54.8,Target Volume,Expected Range,13.3,Absent or Weak Trend
2023-06-29,0.38,0.42,0.37,0.4,3768159,0.02,0.04,3.8,11.01,0.02,0.18,0.23,0.06,0.03,0.03,289783654,37.37,91.67,90.0,1.0,1.67,High Volatility / Hold Signal,0.34,0.18,0.02,1.73,52.8,Target Volume,Expected Range,12.87,Absent or Weak Trend
2023-06-28,0.36,0.4,0.35,0.38,5752813,0.02,0.05,5.34,12.04,0.02,0.18,0.22,0.06,0.03,0.03,286015495,36.7,93.33,91.67,1.0,1.67,High Volatility / Hold Signal,0.33,0.18,0.03,1.67,52.25,Target Volume,Expected Range,12.45,Absent or Weak Trend
2023-06-27,0.37,0.39,0.34,0.38,7915824,0.01,0.05,1.41,13.01,0.02,0.18,0.22,0.05,0.02,0.03,280262682,36.39,95.0,93.33,1.0,1.67,High Volatility / Hold Signal,0.33,0.18,0.03,1.62,52.05,Target Volume,Expected Range,12.04,Absent or Weak Trend
2023-06-26,0.4,0.41,0.36,0.38,11664940,-0.02,0.05,-4.54,14.31,0.03,0.18,0.21,0.04,0.01,0.03,288178506,37.97,96.67,95.0,1.0,1.67,High Volatility / Hold Signal,0.32,0.18,0.04,1.56,52.2,Target Volume,Expected Range,11.63,Absent or Weak Trend
2023-06-23,0.46,0.54,0.37,0.4,37197481,-0.06,0.17,-15.0,41.75,0.08,0.18,0.21,0.03,0.0,0.03,299843446,38.8,98.33,96.67,1.0,1.67,High Volatility / Hold Signal,0.31,0.18,0.04,1.5,53.05,Target Volume,Expected Range,11.18,Absent or Weak Trend
2023-06-22,0.89,0.96,0.42,0.46,253342390,-0.44,0.54,-96.08,119.49,0.27,0.18,0.2,0.02,-0.0,0.02,337040927,42.62,100.0,98.33,1.0,1.67,High Volatility / Hold Signal,0.3,0.18,0.05,1.41,55.41,Target Volume,Expected Range,10.71,Absent or Weak Trend
