Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-05,0.98,1.03,0.91,1.02,19198,0.04,0.12,3.92,12.14,0.06,1.06,1.08,0.01,0.02,-0.01,9759448,6.35,75.0,68.33,1.0,6.67,High Volatility / Hold Signal,1.28,1.06,0.83,0.44,47.08,Target Volume,Expected Range,16.54,Absent or Weak Trend
2023-07-03,1.0,1.03,1.0,1.01,953,0.01,0.03,0.99,2.97,0.02,1.06,1.08,0.02,0.02,-0.0,9740250,3.62,76.67,70.0,1.0,6.67,High Volatility / Hold Signal,1.29,1.06,0.83,0.44,46.91,Target Volume,Expected Range,16.71,Absent or Weak Trend
2023-06-30,1.04,1.08,1.01,1.05,9431,0.01,0.07,1.3,6.67,0.04,1.06,1.09,0.03,0.02,0.0,9741203,3.31,78.33,71.67,1.0,6.67,High Volatility / Hold Signal,1.3,1.06,0.82,0.45,47.53,Target Volume,Expected Range,16.93,Absent or Weak Trend
2023-06-29,1.1,1.1,1.1,1.1,156,0.0,0.0,0.0,0.0,0.0,1.06,1.09,0.03,0.02,0.01,9750634,0.46,80.0,73.33,1.0,6.67,High Volatility / Hold Signal,1.31,1.06,0.82,0.45,48.31,Target Volume,Expected Range,17.16,Absent or Weak Trend
2023-06-28,1.17,1.17,1.11,1.17,7591,0.0,0.06,0.0,5.13,0.03,1.07,1.09,0.03,0.02,0.02,9750790,0.14,81.67,75.0,1.0,6.67,High Volatility / Hold Signal,1.31,1.07,0.82,0.46,49.44,Target Volume,Expected Range,17.44,Absent or Weak Trend
2023-06-27,0.99,1.2,0.99,1.2,3706,0.21,0.21,17.58,17.58,0.11,1.07,1.09,0.03,0.01,0.01,9758381,0.14,83.33,76.67,1.0,6.67,High Volatility / Hold Signal,1.31,1.07,0.82,0.46,49.93,Target Volume,Expected Range,17.74,Absent or Weak Trend
2023-06-26,0.93,1.11,0.93,1.05,2323,0.12,0.18,11.43,17.14,0.09,1.07,1.08,0.01,0.01,0.0,9754675,3.03,85.0,78.33,1.0,6.67,High Volatility / Hold Signal,1.31,1.07,0.82,0.46,47.36,Target Volume,Expected Range,18.04,Absent or Weak Trend
2023-06-23,1.0,1.07,0.95,0.98,4098,-0.02,0.12,-2.02,12.24,0.06,1.07,1.08,0.02,0.01,0.01,9752352,4.35,86.67,80.0,1.0,6.67,High Volatility / Hold Signal,1.32,1.07,0.82,0.47,46.1,Target Volume,Expected Range,18.29,Absent or Weak Trend
2023-06-22,1.08,1.18,1.03,1.07,6517,-0.01,0.15,-0.93,14.01,0.07,1.08,1.09,0.02,0.01,0.02,9756450,1.88,88.33,81.67,1.0,6.67,High Volatility / Hold Signal,1.33,1.08,0.82,0.47,47.54,Target Volume,Expected Range,18.53,Absent or Weak Trend
2023-06-21,1.06,1.12,1.06,1.09,11420,0.03,0.06,2.74,5.5,0.03,1.08,1.09,0.02,0.0,0.02,9762967,3.86,90.0,83.33,1.0,6.67,High Volatility / Hold Signal,1.34,1.08,0.82,0.49,47.87,Target Volume,Expected Range,18.81,Absent or Weak Trend
2023-06-20,1.07,1.09,1.01,1.06,8860,-0.01,0.08,-0.94,7.55,0.04,1.08,1.09,0.02,-0.0,0.02,9751547,4.86,91.67,85.0,1.0,6.67,High Volatility / Hold Signal,1.36,1.08,0.81,0.5,47.33,Target Volume,Expected Range,19.06,Absent or Weak Trend
2023-06-16,1.08,1.15,1.01,1.09,16970,0.01,0.14,0.92,12.84,0.07,1.09,1.09,0.02,-0.01,0.03,9760407,4.86,93.33,86.67,1.0,6.67,High Volatility / Hold Signal,1.37,1.09,0.81,0.51,47.82,Target Volume,Expected Range,19.3,Absent or Weak Trend
2023-06-15,1.1,1.15,1.1,1.11,11379,0.01,0.05,0.9,4.5,0.02,1.09,1.09,0.02,-0.01,0.03,9777377,2.12,95.0,88.33,1.0,6.67,High Volatility / Hold Signal,1.37,1.09,0.81,0.51,48.14,Target Volume,Expected Range,19.55,Absent or Weak Trend
