Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-25,3.52,3.56,3.3,3.35,31583,-0.17,0.26,-5.07,7.76,0.13,-1
2023-08-24,3.41,3.65,3.38,3.45,25992,0.04,0.27,1.27,7.97,0.14,-1
2023-08-23,3.55,3.71,3.4,3.48,95525,-0.07,0.31,-2.01,8.91,0.16,-1
2023-08-22,3.43,3.5,3.29,3.5,28080,0.07,0.21,2.0,6.12,0.11,1
2023-08-21,3.44,3.49,3.25,3.38,33655,-0.06,0.24,-1.78,7.1,0.12,-1
2023-08-18,3.28,3.5,3.24,3.43,17881,0.15,0.26,4.37,7.58,0.13,1
2023-08-17,3.64,3.88,3.28,3.38,28291,-0.26,0.6,-7.69,17.67,0.3,-1
2023-08-16,3.55,3.78,3.51,3.59,17183,0.04,0.27,1.11,7.52,0.13,1
2023-08-15,3.5,3.82,3.38,3.57,142208,0.07,0.44,1.96,12.23,0.22,1
2023-08-14,3.3,3.5,3.23,3.47,37628,0.17,0.27,4.9,7.78,0.13,1
2023-08-11,3.46,3.46,3.22,3.29,7587,-0.17,0.24,-5.17,7.29,0.12,-1
2023-08-10,3.01,3.51,3.0,3.35,55486,0.34,0.51,10.15,15.22,0.25,1
2023-08-09,3.14,3.15,3.03,3.13,8232,-0.0,0.12,-0.16,3.83,0.06,1
2023-08-08,3.04,3.15,3.03,3.03,9188,-0.01,0.12,-0.33,4.11,0.06,-1
2023-08-07,3.24,3.24,3.11,3.12,5477,-0.12,0.13,-3.85,4.17,0.07,-1
2023-08-04,3.23,3.43,3.21,3.22,4324,-0.01,0.22,-0.31,6.69,0.11,-1
2023-08-03,3.0,3.43,3.0,3.3,16164,0.3,0.43,9.09,13.03,0.22,1
2023-08-02,3.16,3.24,3.05,3.1,28120,-0.06,0.19,-1.94,6.13,0.1,-1
2023-08-01,3.41,3.41,3.25,3.27,11262,-0.14,0.16,-4.28,4.83,0.08,-1
2023-07-31,3.4,3.5,3.32,3.41,8985,0.01,0.18,0.29,5.28,0.09,1
2023-07-28,3.36,3.44,3.25,3.32,11353,-0.04,0.19,-1.2,5.72,0.09,-1
2023-07-27,3.47,3.47,3.05,3.38,51756,-0.09,0.43,-2.81,12.69,0.21,1
2023-07-26,3.24,3.42,3.09,3.32,16437,0.08,0.33,2.41,9.94,0.17,-1
2023-07-25,3.42,3.5,3.33,3.33,12626,-0.09,0.17,-2.7,5.17,0.09,-1
2023-07-24,3.48,3.59,3.22,3.52,25584,0.04,0.37,1.14,10.64,0.19,1
2023-07-21,3.77,3.9,3.42,3.51,14254,-0.26,0.48,-7.41,13.53,0.24,-1
2023-07-20,3.87,3.88,3.6,3.66,10872,-0.21,0.28,-5.74,7.59,0.14,-1
2023-07-19,3.55,3.85,3.55,3.8,37961,0.25,0.3,6.58,7.81,0.15,1
2023-07-18,3.44,3.71,3.44,3.59,12311,0.15,0.27,4.18,7.52,0.14,1
2023-07-17,3.69,3.86,3.48,3.54,35900,-0.15,0.38,-4.24,10.73,0.19,-1
2023-07-14,3.3,3.85,3.3,3.75,170931,0.45,0.55,12.0,14.67,0.28,1
2023-07-13,3.05,3.29,2.99,3.29,28064,0.24,0.3,7.29,9.12,0.15,1
2023-07-12,3.16,3.27,3.1,3.15,7623,-0.01,0.17,-0.32,5.37,0.08,-1
2023-07-11,3.21,3.3,3.1,3.21,29065,0.0,0.2,0.0,6.23,0.1,-1
2023-07-10,2.6,3.36,2.6,3.25,87416,0.65,0.76,20.0,23.38,0.38,1
2023-07-07,2.8,2.99,2.75,2.9,25055,0.1,0.24,3.45,8.28,0.12,1
2023-07-06,2.83,2.95,2.75,2.88,23276,0.05,0.2,1.74,6.9,0.1,-1
2023-07-05,3.04,3.09,2.88,2.91,24988,-0.13,0.21,-4.47,7.33,0.11,-1
2023-07-03,2.79,3.2,2.79,2.93,95844,0.14,0.41,4.78,13.99,0.21,1
2023-06-30,2.76,3.09,2.72,2.92,143378,0.16,0.37,5.48,12.67,0.18,1
2023-06-29,2.6,2.78,2.6,2.69,13665,0.09,0.18,3.35,6.69,0.09,1
2023-06-28,2.64,2.86,2.64,2.64,20370,0.0,0.22,0.0,8.27,0.11,-1
2023-06-27,2.72,2.81,2.61,2.64,15310,-0.08,0.2,-2.99,7.58,0.1,-1
2023-06-26,2.75,2.83,2.62,2.77,34466,0.02,0.21,0.72,7.4,0.1,1
2023-06-23,2.76,2.88,2.71,2.73,51825,-0.03,0.17,-1.1,6.22,0.08,-1
