Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-09,2.22,2.28,2.15,2.18,225577,-0.04,0.13,-1.83,5.96,0.06,2.72,2.81,-0.15,-0.05,-0.1,-1187596,10.16,78.33,96.67,-1.0,-18.33,High Volatility / Hold Signal,3.29,2.72,2.15,0.42,42.96,Target Volume,Expected Range,11.4,Absent or Weak Trend
2023-08-08,2.25,2.26,2.15,2.24,202369,-0.01,0.11,-0.45,4.97,0.06,2.73,2.83,-0.13,-0.03,-0.1,-962019,10.42,80.0,98.33,-1.0,-18.33,High Volatility / Hold Signal,3.28,2.73,2.18,0.4,43.23,Target Volume,Expected Range,11.42,Absent or Weak Trend
2023-08-07,2.35,2.35,2.11,2.23,464731,-0.12,0.24,-5.38,10.76,0.12,2.74,2.85,-0.11,-0.0,-0.1,-1164388,10.42,81.67,100.0,-1.0,-18.33,High Volatility / Hold Signal,3.28,2.74,2.2,0.39,43.17,Target Volume,Expected Range,11.44,Absent or Weak Trend
2023-08-04,2.37,2.4,2.23,2.31,383747,-0.06,0.17,-2.6,7.36,0.08,2.75,2.87,-0.08,0.02,-0.1,-699657,9.1,83.33,100.0,-1.0,-16.67,High Volatility / Hold Signal,3.28,2.75,2.23,0.38,43.52,Target Volume,Expected Range,11.46,Absent or Weak Trend
2023-08-03,2.3,2.38,2.27,2.34,187400,0.04,0.11,1.71,4.7,0.05,2.76,2.89,-0.05,0.05,-0.1,-315910,8.66,85.0,56.67,1.0,28.33,Weak Buy Signal,3.27,2.76,2.25,0.37,43.65,Target Volume,Expected Range,11.5,Absent or Weak Trend
2023-08-02,2.5,2.55,2.26,2.3,610946,-0.2,0.29,-8.7,12.61,0.15,2.77,2.91,-0.01,0.07,-0.08,-503310,8.66,86.67,58.33,1.0,28.33,Weak Buy Signal,3.27,2.77,2.26,0.36,43.43,Target Volume,Expected Range,11.55,Absent or Weak Trend
2023-08-01,2.65,2.65,2.5,2.52,476907,-0.13,0.15,-5.16,5.95,0.07,2.78,2.93,0.04,0.09,-0.05,107636,6.02,88.33,60.0,1.0,28.33,Weak Buy Signal,3.27,2.78,2.29,0.35,44.39,Target Volume,Expected Range,11.59,Absent or Weak Trend
2023-07-31,2.6,2.7,2.52,2.59,1184301,-0.01,0.18,-0.39,6.95,0.09,2.79,2.94,0.08,0.11,-0.02,584543,5.8,90.0,61.67,1.0,28.33,Weak Buy Signal,3.28,2.79,2.29,0.35,44.69,Target Volume,Expected Range,11.69,Absent or Weak Trend
2023-07-28,2.84,3.25,2.84,3.1,291061,0.26,0.41,8.39,13.23,0.21,2.8,2.96,0.13,0.11,0.02,1768844,2.14,91.67,63.33,1.0,28.33,Weak Buy Signal,3.3,2.8,2.3,0.36,47.04,Target Volume,Expected Range,11.79,Absent or Weak Trend
2023-07-27,3.35,3.4,2.77,2.84,691339,-0.51,0.63,-17.96,22.18,0.31,2.8,2.95,0.13,0.11,0.02,1477783,2.14,93.33,65.0,1.0,28.33,Weak Buy Signal,3.3,2.8,2.3,0.36,45.61,Target Volume,Expected Range,11.95,Absent or Weak Trend
2023-07-26,3.16,3.32,3.08,3.27,183190,0.11,0.24,3.36,7.34,0.12,2.8,2.96,0.16,0.1,0.06,2169122,1.55,0.0,66.67,-1.0,-66.67,Weak Sell Signal,3.31,2.8,2.29,0.36,47.7,Target Volume,Expected Range,12.12,Absent or Weak Trend
