Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-25,1.75,1.98,1.71,1.9,116940,0.15,0.27,7.89,14.15,0.13,1
2023-08-24,1.68,1.81,1.68,1.75,69194,0.07,0.13,4.0,7.42,0.06,1
2023-08-23,1.67,1.79,1.62,1.71,335598,0.04,0.17,2.34,9.94,0.08,-1
2023-08-22,1.22,1.84,1.22,1.74,3549983,0.52,0.62,29.89,35.92,0.31,1
2023-08-21,1.81,1.85,1.2,1.22,509762,-0.59,0.65,-48.36,53.28,0.33,-1
2023-08-18,1.82,1.89,1.81,1.81,25022,-0.01,0.08,-0.55,4.42,0.04,-1
2023-08-17,1.9,1.9,1.81,1.88,35120,-0.02,0.09,-1.06,4.79,0.04,1
2023-08-16,1.71,1.85,1.71,1.82,55384,0.11,0.14,6.04,7.69,0.07,1
2023-08-15,1.75,1.8,1.65,1.71,78596,-0.04,0.15,-2.34,8.77,0.07,-1
2023-08-14,1.98,2.03,1.75,1.77,256579,-0.21,0.28,-11.86,15.82,0.14,-1
2023-08-11,2.0,2.09,1.97,2.03,55026,0.03,0.12,1.48,5.91,0.06,1
2023-08-10,2.11,2.19,2.01,2.02,138235,-0.09,0.18,-4.53,8.91,0.09,-1
2023-08-09,2.21,2.21,2.12,2.14,40557,-0.07,0.09,-3.27,4.21,0.04,1
2023-08-08,2.15,2.27,2.12,2.12,101607,-0.03,0.15,-1.42,7.23,0.08,-1
2023-08-07,2.21,2.31,2.12,2.16,151145,-0.05,0.19,-2.31,8.64,0.09,-1
2023-08-04,2.15,2.27,2.13,2.27,189387,0.12,0.14,5.29,6.16,0.07,1
2023-08-03,2.16,2.23,2.12,2.19,116241,0.03,0.11,1.37,5.02,0.05,1
2023-08-02,2.11,2.2,2.11,2.18,52157,0.07,0.09,3.01,3.93,0.04,1
2023-08-01,2.25,2.3,2.1,2.14,97869,-0.11,0.2,-5.14,9.21,0.1,-1
2023-07-31,2.12,2.34,2.12,2.26,179639,0.14,0.22,6.19,9.73,0.11,1
2023-07-28,2.04,2.16,2.0,2.14,91626,0.1,0.16,4.9,7.46,0.08,1
2023-07-27,2.11,2.12,2.02,2.06,50991,-0.05,0.1,-2.43,4.85,0.05,-1
2023-07-26,2.04,2.09,2.03,2.06,28469,0.02,0.06,0.97,2.91,0.03,-1
2023-07-25,2.13,2.21,1.99,2.06,119139,-0.07,0.22,-3.4,10.46,0.11,-1
2023-07-24,2.2,2.21,2.12,2.15,35020,-0.05,0.09,-2.33,4.19,0.04,-1
2023-07-21,2.13,2.23,2.08,2.16,63107,0.03,0.15,1.39,6.94,0.07,1
2023-07-20,2.19,2.21,2.1,2.14,52251,-0.05,0.11,-2.34,5.14,0.05,-1
2023-07-19,2.11,2.2,2.1,2.17,81349,0.06,0.1,2.76,4.41,0.05,1
2023-07-18,2.13,2.13,2.02,2.1,99191,-0.03,0.11,-1.43,5.24,0.05,-1
2023-07-17,2.15,2.25,2.06,2.14,111164,-0.01,0.2,-0.47,9.27,0.1,-1
2023-07-14,2.23,2.35,2.12,2.14,142407,-0.09,0.23,-4.21,10.75,0.12,-1
2023-07-13,2.24,2.52,2.21,2.25,118551,0.01,0.31,0.44,13.77,0.15,-1
2023-07-12,2.31,2.48,2.21,2.31,174987,0.0,0.27,0.0,11.69,0.14,-1
2023-07-11,2.44,2.66,2.2,2.32,314338,-0.12,0.46,-5.17,19.83,0.23,-1
2023-07-10,2.15,2.52,2.12,2.43,274037,0.28,0.4,11.52,16.46,0.2,1
2023-07-07,2.17,2.28,2.13,2.22,212957,0.05,0.15,2.25,6.76,0.07,1
2023-07-06,2.23,2.23,2.07,2.19,135313,-0.04,0.16,-1.83,7.31,0.08,-1
2023-07-05,2.17,2.27,2.08,2.24,98308,0.07,0.19,3.13,8.47,0.09,1
2023-07-03,2.22,2.28,2.16,2.23,57792,0.01,0.12,0.45,5.38,0.06,-1
2023-06-30,2.2,2.23,2.14,2.23,140104,0.03,0.09,1.35,4.04,0.04,1
2023-06-29,2.05,2.24,1.99,2.16,145778,0.11,0.25,5.09,11.57,0.13,1
