Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-14,0.9,0.91,0.87,0.87,249339,-0.03,0.04,-3.26,4.83,0.02,-1
2023-07-13,0.89,0.91,0.89,0.89,302178,0.0,0.02,0.55,2.61,0.01,1
2023-07-12,0.89,0.89,0.87,0.88,90387,-0.01,0.02,-0.56,2.14,0.01,-1
2023-07-11,0.86,0.9,0.85,0.88,259909,0.02,0.05,2.34,5.71,0.03,1
2023-07-10,0.85,0.87,0.85,0.86,219364,0.01,0.02,1.2,2.31,0.01,1
2023-07-07,0.86,0.87,0.85,0.85,365847,-0.01,0.02,-1.12,2.33,0.01,-1
2023-07-06,0.86,0.87,0.85,0.86,282396,-0.0,0.02,-0.07,2.43,0.01,1
2023-07-05,0.9,0.92,0.85,0.85,822278,-0.05,0.07,-5.92,8.21,0.03,-1
2023-07-03,0.9,0.91,0.9,0.91,247214,0.01,0.01,1.1,1.1,0.01,-1
2023-06-30,0.94,0.94,0.91,0.91,771756,-0.03,0.03,-3.29,3.3,0.01,-1
2023-06-29,0.93,0.94,0.93,0.93,119847,0.0,0.01,0.5,1.07,0.0,-1
2023-06-28,0.94,0.95,0.93,0.93,318440,-0.01,0.02,-1.08,2.15,0.01,-1
2023-06-27,0.94,0.96,0.94,0.94,120217,0.0,0.02,0.0,2.13,0.01,-1
2023-06-26,0.95,0.97,0.94,0.94,235002,-0.01,0.03,-1.38,2.73,0.01,-1
2023-06-23,0.96,0.96,0.94,0.96,227609,-0.0,0.02,-0.3,2.07,0.01,1
2023-06-22,0.96,0.98,0.95,0.95,111781,-0.01,0.03,-1.13,3.15,0.01,-1
2023-06-21,0.96,0.98,0.96,0.96,120250,-0.0,0.02,-0.06,2.08,0.01,-1
2023-06-20,0.96,0.98,0.95,0.96,86693,0.0,0.03,0.4,3.07,0.01,1
2023-06-16,0.97,0.97,0.95,0.95,417549,-0.02,0.02,-2.11,2.11,0.01,-1
2023-06-15,0.96,0.97,0.96,0.96,272947,-0.0,0.01,-0.02,1.03,0.0,-1
2023-06-14,0.97,0.98,0.96,0.96,303533,-0.01,0.02,-0.9,2.07,0.01,-1
2023-06-13,0.97,0.99,0.97,0.97,178636,-0.0,0.02,-0.1,2.06,0.01,-1
2023-06-12,1.0,1.0,0.97,0.98,261835,-0.02,0.03,-2.04,3.06,0.02,-1
2023-06-09,0.99,1.0,0.98,0.98,294177,-0.01,0.02,-0.97,2.42,0.01,-1
2023-06-08,0.98,1.0,0.97,0.98,202002,0.0,0.03,0.44,3.03,0.01,-1
2023-06-07,1.0,1.02,0.98,0.99,139522,-0.01,0.04,-1.09,4.04,0.02,1
2023-06-06,0.99,1.01,0.98,0.98,185079,-0.01,0.03,-1.02,3.06,0.02,-1
2023-06-05,1.02,1.02,0.98,1.0,635571,-0.02,0.04,-2.06,4.47,0.02,-1
2023-06-02,1.0,1.02,1.0,1.02,103647,0.02,0.02,1.96,1.96,0.01,1
2023-06-01,1.0,1.02,1.0,1.01,146007,0.01,0.02,0.99,2.41,0.01,-1
2023-05-31,1.01,1.02,1.0,1.01,109061,0.0,0.02,0.0,1.98,0.01,-1
2023-05-30,0.99,1.02,0.96,1.01,275490,0.02,0.06,1.98,5.83,0.03,1
2023-05-26,0.98,1.0,0.98,0.98,331409,0.0,0.02,0.03,2.03,0.01,-1
2023-05-25,1.0,1.01,0.98,0.98,173611,-0.02,0.03,-1.71,3.05,0.02,-1
2023-05-24,0.99,1.0,0.98,0.99,126049,0.0,0.02,0.11,2.01,0.01,-1
2023-05-23,1.01,1.02,0.99,1.0,476342,-0.01,0.03,-1.0,3.0,0.02,-1
2023-05-22,1.0,1.02,0.99,1.01,135684,0.01,0.03,0.99,2.87,0.01,-1
2023-05-19,1.02,1.03,1.01,1.03,59184,0.01,0.02,0.97,1.94,0.01,1
2023-05-18,1.01,1.03,1.01,1.02,124286,0.01,0.02,0.98,1.96,0.01,-1
2023-05-17,1.05,1.05,1.02,1.03,137654,-0.02,0.03,-1.94,2.91,0.02,-1
2023-05-16,1.01,1.06,0.99,1.05,262971,0.04,0.07,3.81,6.67,0.04,1
2023-05-15,0.98,1.02,0.98,1.01,188054,0.03,0.04,2.97,3.96,0.02,1
2023-05-12,1.0,1.02,1.0,1.0,156017,-0.0,0.02,-0.46,2.47,0.01,-1
2023-05-11,1.01,1.02,1.0,1.01,145186,0.0,0.02,0.0,1.98,0.01,-1
2023-05-10,1.0,1.02,1.0,1.01,145319,0.01,0.02,0.99,1.98,0.01,-1
2023-05-09,0.99,1.01,0.98,1.01,94205,0.02,0.03,1.98,2.84,0.01,1
2023-05-08,1.0,1.0,0.99,1.0,102264,0.0,0.01,0.0,0.95,0.0,-1
2023-05-05,0.99,1.02,0.99,1.0,97664,0.01,0.03,1.0,2.69,0.01,1
2023-05-04,0.98,1.0,0.98,0.99,109766,0.01,0.02,0.92,2.22,0.01,1
2023-05-03,0.99,1.0,0.98,0.98,113935,-0.01,0.02,-0.66,1.81,0.01,-1
2023-05-02,1.0,1.03,0.98,0.98,185238,-0.02,0.05,-1.93,4.83,0.02,-1
2023-05-01,1.03,1.1,1.01,1.01,249403,-0.02,0.09,-1.98,8.91,0.05,1
2023-04-28,0.99,1.03,0.97,1.0,301426,0.01,0.06,1.0,6.0,0.03,1
2023-04-27,0.99,1.0,0.97,0.99,282481,0.0,0.03,0.0,3.43,0.02,1
