Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-06,0.03,0.03,0.03,0.03,2000,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,-0.0,0.0,268632,13.36,10.0,90.0,-1.0,-80.0,Strong Sell Signal,0.04,0.02,0.01,1.08,49.3,Target Volume,Expected Range,13.18,Absent or Weak Trend
2023-07-05,0.02,0.03,0.02,0.02,4600,0.0,0.01,13.79,38.79,0.0,0.02,0.03,-0.0,-0.0,0.0,266632,13.36,11.67,91.67,-1.0,-80.0,Strong Sell Signal,0.04,0.02,0.01,1.09,48.39,Target Volume,Expected Range,13.17,Absent or Weak Trend
2023-07-03,0.02,0.02,0.02,0.02,2900,0.01,0.01,30.21,30.21,0.0,0.02,0.03,-0.0,-0.0,0.0,271232,12.08,13.33,93.33,-1.0,-80.0,Strong Sell Signal,0.04,0.02,0.01,1.2,48.43,Target Volume,Expected Range,13.17,Absent or Weak Trend
2023-06-30,0.02,0.02,0.02,0.02,0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,-0.0,-0.0,0.0,274132,14.68,15.0,95.0,-1.0,-80.0,Strong Sell Signal,0.04,0.02,0.01,1.29,48.65,Target Volume,Expected Range,13.19,Absent or Weak Trend
2023-06-29,0.02,0.02,0.02,0.02,400,0.0,0.0,0.0,0.0,0.0,0.03,0.03,-0.0,-0.0,0.0,274132,14.68,16.67,96.67,-1.0,-80.0,Strong Sell Signal,0.04,0.03,0.01,1.37,48.65,Target Volume,Expected Range,13.16,Absent or Weak Trend
2023-06-28,0.02,0.02,0.02,0.02,66542,0.0,0.0,5.88,11.76,0.0,0.03,0.03,-0.0,-0.0,0.0,273732,12.87,18.33,98.33,-1.0,-80.0,Strong Sell Signal,0.04,0.03,0.01,1.43,47.43,Target Volume,Expected Range,13.14,Absent or Weak Trend
2023-06-27,0.03,0.03,0.01,0.03,34139,0.0,0.02,6.67,53.33,0.01,0.03,0.03,-0.0,-0.0,0.0,340274,12.87,20.0,100.0,-1.0,-80.0,Strong Sell Signal,0.05,0.03,0.01,1.47,49.3,Target Volume,Expected Range,13.14,Absent or Weak Trend
2023-06-26,0.02,0.03,0.02,0.03,11940,0.01,0.01,20.6,20.6,0.0,0.03,0.03,-0.0,-0.0,0.0,374413,15.82,21.67,56.67,-1.0,-35.0,Weak Sell Signal,0.05,0.03,0.01,1.52,49.32,Target Volume,Expected Range,13.15,Absent or Weak Trend
2023-06-23,0.02,0.02,0.02,0.02,5050,0.0,0.0,0.0,0.0,0.0,0.03,0.03,-0.0,-0.0,-0.0,362473,12.64,23.33,58.33,-1.0,-35.0,Weak Sell Signal,0.05,0.03,0.01,1.56,47.14,Target Volume,Expected Range,13.1,Absent or Weak Trend
2023-06-22,0.02,0.02,0.02,0.02,6400,-0.0,0.0,-4.79,4.79,0.0,0.03,0.03,-0.0,-0.0,-0.0,367523,12.82,25.0,60.0,-1.0,-35.0,Weak Sell Signal,0.05,0.03,0.01,1.54,47.22,Target Volume,Expected Range,13.11,Absent or Weak Trend
