Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-03,4.4,4.4,4.35,4.38,3040,-0.02,0.05,-0.46,1.14,0.03,4.39,4.41,0.0,0.0,0.0,40141235,16.03,3.33,70.0,-1.0,-66.67,Weak Sell Signal,4.54,4.39,4.25,0.07,48.15,Target Volume,Expected Range,15.34,Absent or Weak Trend
2023-08-02,4.39,4.4,4.39,4.4,4089,0.01,0.01,0.21,0.21,0.0,4.4,4.41,0.0,0.0,0.0,40144275,17.68,5.0,71.67,-1.0,-66.67,Weak Sell Signal,4.54,4.4,4.25,0.07,48.49,Target Volume,Expected Range,15.33,Absent or Weak Trend
2023-08-01,4.39,4.39,4.38,4.38,1141,-0.01,0.01,-0.23,0.23,0.0,4.4,4.41,0.0,0.0,0.0,40140186,17.4,0.0,73.33,-1.0,-73.33,Strong Sell Signal,4.55,4.4,4.25,0.07,48.14,Target Volume,Expected Range,15.29,Absent or Weak Trend
2023-07-31,4.33,4.33,4.28,4.31,2454,-0.02,0.05,-0.46,1.16,0.02,4.4,4.41,0.0,0.0,0.0,40139045,15.69,1.67,75.0,-1.0,-73.33,Strong Sell Signal,4.56,4.4,4.24,0.07,46.88,Target Volume,Expected Range,15.26,Absent or Weak Trend
2023-07-28,4.37,4.37,4.37,4.37,180,0.0,0.0,0.0,0.0,0.0,4.4,4.41,0.01,0.0,0.01,40141499,19.5,3.33,76.67,-1.0,-73.33,Strong Sell Signal,4.56,4.4,4.25,0.07,47.92,Target Volume,Expected Range,15.25,Absent or Weak Trend
2023-07-27,4.38,4.48,4.38,4.48,2131,0.1,0.1,2.23,2.23,0.05,4.41,4.41,0.01,-0.0,0.01,40141679,19.74,0.0,78.33,-1.0,-78.33,Strong Sell Signal,4.57,4.41,4.25,0.07,49.72,Target Volume,Expected Range,15.18,Absent or Weak Trend
2023-07-26,4.36,4.36,4.36,4.36,148,0.0,0.0,0.0,0.0,0.0,4.41,4.41,0.0,-0.0,0.01,40139548,16.26,1.67,80.0,-1.0,-78.33,Strong Sell Signal,4.57,4.41,4.24,0.08,47.48,Target Volume,Expected Range,15.1,Absent or Weak Trend
2023-07-25,4.45,4.45,4.36,4.36,1185,-0.1,0.1,-2.22,2.22,0.05,4.41,4.41,0.01,-0.01,0.01,40139548,16.26,3.33,81.67,-1.0,-78.33,Strong Sell Signal,4.58,4.41,4.24,0.08,47.48,Target Volume,Expected Range,15.08,Absent or Weak Trend
2023-07-24,4.37,4.47,4.37,4.47,1096,0.1,0.1,2.3,2.3,0.05,4.42,4.41,0.01,-0.01,0.02,40140733,16.77,5.0,83.33,-1.0,-78.33,Strong Sell Signal,4.59,4.42,4.24,0.08,49.49,Target Volume,Expected Range,15.06,Absent or Weak Trend
2023-07-21,4.38,4.44,4.31,4.43,7752,0.05,0.13,1.13,2.93,0.07,4.42,4.41,0.0,-0.01,0.01,40139637,15.83,6.67,85.0,-1.0,-78.33,Strong Sell Signal,4.59,4.42,4.24,0.08,48.7,Target Volume,Expected Range,15.03,Absent or Weak Trend
2023-07-20,4.38,4.38,4.38,4.38,60,0.0,0.0,0.0,0.0,0.0,4.42,4.41,-0.0,-0.02,0.01,40131885,18.62,8.33,86.67,-1.0,-78.33,Strong Sell Signal,4.6,4.42,4.24,0.08,47.75,Target Volume,Expected Range,15.02,Absent or Weak Trend
2023-07-19,4.38,4.43,4.38,4.38,1240,0.0,0.05,0.0,1.14,0.02,4.42,4.41,-0.01,-0.02,0.01,40131885,18.62,10.0,88.33,-1.0,-78.33,Strong Sell Signal,4.61,4.42,4.24,0.08,47.75,Target Volume,Expected Range,14.96,Absent or Weak Trend
2023-07-18,4.4,4.4,4.4,4.4,687,0.0,0.0,0.0,0.0,0.0,4.42,4.41,-0.01,-0.02,0.01,40133125,19.62,11.67,90.0,-1.0,-78.33,Strong Sell Signal,4.61,4.42,4.24,0.08,48.18,Target Volume,Expected Range,14.89,Absent or Weak Trend
2023-07-17,4.43,4.44,4.38,4.38,4845,-0.05,0.07,-1.25,1.49,0.03,4.43,4.41,-0.02,-0.03,0.01,40132438,19.62,13.33,91.67,-1.0,-78.33,Strong Sell Signal,4.62,4.43,4.24,0.09,47.63,Target Volume,Expected Range,14.81,Absent or Weak Trend
2023-07-14,4.44,4.44,4.44,4.44,354,0.0,0.0,0.0,0.0,0.0,4.43,4.42,-0.02,-0.03,0.01,40137283,22.19,15.0,93.33,-1.0,-78.33,Strong Sell Signal,4.62,4.43,4.24,0.09,48.73,Target Volume,Expected Range,14.73,Absent or Weak Trend
