Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-04,98.6,98.6,96.37,96.94,400426,-1.66,2.23,-1.71,2.3,1.11,92.25,92.95,1.26,0.57,0.69,65145438,9.03,98.33,26.67,1.0,71.67,Strong Buy Signal,96.75,92.25,87.75,0.1,53.48,Target Volume,Expected Range,4.98,Absent or Weak Trend
2023-08-03,96.92,98.78,96.49,98.5,345517,1.58,2.29,1.6,2.32,1.15,92.17,92.81,1.14,0.4,0.75,65545864,9.26,100.0,28.33,1.0,71.67,Strong Buy Signal,96.5,92.17,87.83,0.09,54.79,Target Volume,Expected Range,4.91,Absent or Weak Trend
2023-08-02,93.98,97.1,93.98,97.0,371856,3.02,3.12,3.11,3.22,1.56,92.07,92.62,0.81,0.21,0.6,65200347,6.5,98.33,30.0,1.0,68.33,Weak Buy Signal,96.08,92.07,88.06,0.09,53.72,Target Volume,Expected Range,4.84,Absent or Weak Trend
2023-08-01,96.0,97.82,93.16,94.7,292150,-1.3,4.66,-1.37,4.92,2.33,91.99,92.47,0.53,0.06,0.47,64828491,6.5,100.0,31.67,1.0,68.33,Weak Buy Signal,95.79,91.99,88.19,0.08,52.0,Target Volume,Expected Range,4.81,Absent or Weak Trend
2023-07-31,93.11,97.0,92.64,96.87,577838,3.76,4.36,3.88,4.5,2.18,91.95,92.39,0.4,-0.06,0.46,65120641,5.14,100.0,33.33,1.0,66.67,Weak Buy Signal,95.69,91.95,88.22,0.08,53.85,Target Volume,Expected Range,4.78,Absent or Weak Trend
2023-07-28,91.9,94.15,90.79,93.05,490756,1.15,3.36,1.24,3.61,1.68,91.9,92.24,0.0,-0.17,0.18,64542803,0.17,0.0,35.0,-1.0,-35.0,Weak Sell Signal,95.44,91.9,88.36,0.08,50.82,Target Volume,Expected Range,4.77,Absent or Weak Trend
2023-07-27,91.0,91.85,89.79,90.39,443181,-0.61,2.06,-0.67,2.28,1.03,91.93,92.21,-0.11,-0.22,0.1,64052047,4.15,0.0,36.67,-1.0,-36.67,Weak Sell Signal,95.54,91.93,88.32,0.08,48.5,Target Volume,Expected Range,4.85,Absent or Weak Trend
2023-07-26,93.21,93.83,91.58,91.75,197667,-1.46,2.25,-1.59,2.45,1.12,92.04,92.28,0.01,-0.24,0.25,64495228,0.85,1.67,38.33,-1.0,-36.67,Weak Sell Signal,95.88,92.04,88.21,0.08,49.68,Target Volume,Expected Range,4.86,Absent or Weak Trend
2023-07-25,92.08,93.38,91.38,93.35,207723,1.27,2.0,1.36,2.14,1.0,92.13,92.29,0.03,-0.31,0.34,64692895,1.72,0.0,40.0,-1.0,-40.0,Weak Sell Signal,96.17,92.13,88.09,0.09,51.11,Target Volume,Expected Range,4.93,Absent or Weak Trend
2023-07-24,93.53,93.57,91.89,92.6,190580,-0.93,1.68,-1.0,1.81,0.84,92.18,92.26,-0.11,-0.39,0.28,64485172,0.77,0.0,41.67,-1.0,-41.67,Weak Sell Signal,96.33,92.18,88.03,0.09,50.45,Target Volume,Expected Range,4.99,Absent or Weak Trend
2023-07-21,93.1,95.04,92.82,93.38,313999,0.28,2.22,0.3,2.38,1.11,92.3,92.25,-0.21,-0.46,0.25,64675752,0.97,0.0,43.33,-1.0,-43.33,Weak Sell Signal,96.87,92.3,87.72,0.1,51.16,Target Volume,Expected Range,5.06,Absent or Weak Trend
2023-07-20,92.68,93.82,92.18,92.75,326546,0.07,1.64,0.08,1.77,0.82,92.44,92.21,-0.41,-0.52,0.12,64361753,1.32,1.67,45.0,-1.0,-43.33,Weak Sell Signal,97.61,92.44,87.26,0.11,50.61,Target Volume,Expected Range,5.13,Absent or Weak Trend
2023-07-19,90.05,92.64,90.05,92.3,384501,2.25,2.59,2.44,2.81,1.3,92.56,92.19,-0.6,-0.55,-0.04,64035207,3.61,3.33,46.67,-1.0,-43.33,Weak Sell Signal,98.07,92.56,87.04,0.12,50.22,Target Volume,Expected Range,5.19,Absent or Weak Trend
2023-07-18,90.16,91.3,89.44,89.76,189484,-0.4,1.86,-0.45,2.07,0.93,92.67,92.19,-0.78,-0.54,-0.24,63650706,6.28,5.0,48.33,-1.0,-43.33,Weak Sell Signal,98.42,92.67,86.91,0.12,47.92,Target Volume,Expected Range,5.22,Absent or Weak Trend
