Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-28,82.94,84.81,82.1,83.74,5128514,0.8,2.71,0.96,3.24,1.36,1
2023-07-27,87.0,87.24,82.57,82.67,11588723,-4.33,4.67,-5.24,5.65,2.33,-1
2023-07-26,91.27,91.94,90.88,91.63,3264052,0.36,1.06,0.39,1.16,0.53,-1
2023-07-25,91.39,92.2,91.2,91.68,2509656,0.29,1.0,0.32,1.09,0.5,1
2023-07-24,92.76,92.93,91.35,91.4,2860121,-1.36,1.58,-1.49,1.73,0.79,-1
2023-07-21,92.56,92.94,91.86,92.57,2048765,0.01,1.08,0.01,1.17,0.54,-1
2023-07-20,91.44,93.34,91.4,92.65,2336983,1.21,1.95,1.31,2.1,0.97,1
2023-07-19,92.91,93.5,90.96,91.62,2212274,-1.29,2.54,-1.41,2.77,1.27,-1
2023-07-18,92.29,92.33,91.46,91.99,2299458,-0.3,0.87,-0.33,0.95,0.44,-1
2023-07-17,92.9,93.54,92.29,92.65,1591088,-0.25,1.24,-0.27,1.34,0.62,-1
2023-07-14,93.36,94.34,92.61,93.38,2599388,0.02,1.73,0.02,1.85,0.87,1
2023-07-13,93.61,93.87,92.65,93.09,2456340,-0.52,1.22,-0.56,1.31,0.61,-1
2023-07-12,93.29,93.48,92.27,93.1,2619967,-0.19,1.21,-0.2,1.3,0.61,1
2023-07-11,91.67,92.61,91.61,92.44,1859105,0.77,1.0,0.83,1.08,0.5,1
2023-07-10,90.52,92.17,90.36,91.64,3119723,1.12,1.81,1.22,1.98,0.91,1
2023-07-07,90.02,91.01,89.65,90.26,4082651,0.24,1.36,0.27,1.51,0.68,-1
2023-07-06,90.0,90.88,89.39,90.46,2289546,0.46,1.49,0.51,1.65,0.74,-1
2023-07-05,91.03,91.65,90.08,90.96,2370841,-0.07,1.57,-0.08,1.73,0.79,-1
2023-07-03,93.62,93.66,90.76,91.49,1725482,-2.13,2.91,-2.33,3.18,1.45,-1
2023-06-30,93.27,94.87,93.13,94.33,4479401,1.06,1.74,1.12,1.84,0.87,1
2023-06-29,90.41,92.06,90.26,92.02,2710782,1.61,1.8,1.75,1.96,0.9,1
2023-06-28,90.05,90.64,89.69,90.44,1512397,0.39,0.95,0.43,1.05,0.48,1
2023-06-27,90.15,90.4,89.09,90.19,2005455,0.04,1.31,0.04,1.46,0.66,1
2023-06-26,90.25,90.39,88.66,89.49,1945447,-0.76,1.73,-0.85,1.93,0.86,-1
2023-06-23,90.67,91.0,90.18,90.34,3346076,-0.33,0.82,-0.37,0.91,0.41,-1
2023-06-22,91.3,91.38,90.55,91.33,1889187,0.03,0.83,0.03,0.91,0.41,1
2023-06-21,91.52,92.25,90.33,91.09,2177188,-0.43,1.92,-0.47,2.11,0.96,-1
2023-06-20,90.07,92.06,89.57,91.91,2694539,1.84,2.49,2.0,2.71,1.25,-1
2023-06-16,91.98,92.93,91.62,91.94,6597770,-0.04,1.31,-0.04,1.42,0.66,1
2023-06-15,90.2,91.64,89.13,91.29,3577671,1.09,2.51,1.19,2.75,1.26,1
2023-06-14,89.77,92.48,89.4,90.53,5316921,0.76,3.08,0.84,3.41,1.54,1
2023-06-13,85.75,87.5,85.72,87.4,2615251,1.65,1.78,1.89,2.04,0.89,1
2023-06-12,83.79,85.79,83.61,85.57,2581914,1.78,2.18,2.08,2.55,1.09,1
2023-06-09,84.55,84.55,83.24,84.1,2150028,-0.45,1.31,-0.54,1.56,0.66,1
2023-06-08,83.48,84.32,83.04,83.96,1562309,0.48,1.28,0.57,1.52,0.64,1
2023-06-07,85.36,85.47,82.69,83.48,2255249,-1.88,2.78,-2.25,3.33,1.39,-1
2023-06-06,86.43,86.76,84.85,85.18,1782289,-1.25,1.91,-1.47,2.24,0.96,-1
2023-06-05,84.94,85.97,84.94,85.94,1695500,1.0,1.03,1.16,1.2,0.52,1
2023-06-02,85.62,85.88,84.8,85.34,2042845,-0.28,1.08,-0.33,1.27,0.54,1
2023-06-01,84.06,85.24,82.98,85.23,2548587,1.17,2.27,1.37,2.66,1.13,1
2023-05-31,81.89,84.72,81.3,84.23,5967952,2.34,3.42,2.78,4.06,1.71,1
2023-05-30,82.21,82.3,81.03,81.41,2768538,-0.8,1.27,-0.98,1.56,0.63,-1
2023-05-26,81.54,82.1,81.3,82.01,2308782,0.47,0.8,0.57,0.98,0.4,1
2023-05-25,84.0,84.01,80.94,81.65,3438923,-2.35,3.07,-2.88,3.76,1.54,-1
2023-05-24,84.23,84.44,83.58,83.84,2012634,-0.39,0.86,-0.47,1.03,0.43,-1
2023-05-23,88.52,89.14,84.04,84.74,3061661,-3.78,5.09,-4.46,6.01,2.55,-1
2023-05-22,87.82,89.4,87.64,89.16,1812356,1.34,1.76,1.5,1.97,0.88,1
2023-05-19,87.76,88.31,87.2,87.93,3004292,0.17,1.12,0.19,1.27,0.56,1
2023-05-18,87.94,88.14,86.59,87.41,2893906,-0.53,1.55,-0.61,1.77,0.77,-1
2023-05-17,88.7,88.96,86.26,87.66,2414147,-1.04,2.7,-1.19,3.08,1.35,-1
2023-05-16,88.79,89.12,88.43,88.66,1407888,-0.13,0.69,-0.15,0.78,0.34,-1
