Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-04,0.56,0.57,0.54,0.57,438176,0.0,0.03,0.8,4.72,0.01,0.58,0.59,-0.0,-0.0,0.0,155094387,2.7,3.33,21.67,-1.0,-18.33,High Volatility / Hold Signal,0.69,0.58,0.46,0.41,47.07,Target Volume,Expected Range,5.99,Absent or Weak Trend
2023-08-03,0.59,0.6,0.56,0.56,449632,-0.03,0.04,-5.25,8.01,0.02,0.58,0.59,-0.0,-0.01,0.0,154656211,4.01,0.0,23.33,-1.0,-23.33,Weak Sell Signal,0.7,0.58,0.46,0.43,46.91,Target Volume,Expected Range,6.05,Absent or Weak Trend
2023-08-02,0.58,0.59,0.55,0.58,583344,0.0,0.04,0.34,7.71,0.02,0.58,0.6,-0.0,-0.01,0.01,155105843,3.2,1.67,25.0,-1.0,-23.33,Weak Sell Signal,0.71,0.58,0.45,0.45,47.63,Target Volume,Expected Range,6.08,Absent or Weak Trend
2023-08-01,0.58,0.58,0.54,0.57,277088,-0.01,0.04,-1.89,6.53,0.02,0.59,0.6,-0.0,-0.01,0.0,154522499,2.39,3.33,26.67,-1.0,-23.33,Weak Sell Signal,0.72,0.59,0.45,0.47,47.0,Target Volume,Expected Range,6.13,Absent or Weak Trend
2023-07-31,0.56,0.58,0.54,0.57,339006,0.01,0.04,1.75,6.46,0.02,0.59,0.6,-0.01,-0.01,0.0,154799587,2.37,0.0,28.33,-1.0,-28.33,Weak Sell Signal,0.73,0.59,0.45,0.48,47.11,Target Volume,Expected Range,6.2,Absent or Weak Trend
2023-07-28,0.55,0.58,0.54,0.55,400754,0.0,0.04,0.0,6.9,0.02,0.59,0.6,-0.01,-0.01,0.0,154460581,2.31,0.0,30.0,-1.0,-30.0,Weak Sell Signal,0.74,0.59,0.44,0.5,46.39,Target Volume,Expected Range,6.26,Absent or Weak Trend
2023-07-27,0.57,0.57,0.53,0.55,717567,-0.03,0.04,-4.58,8.21,0.02,0.59,0.6,-0.01,-0.01,0.0,154059827,2.0,0.0,31.67,-1.0,-31.67,Weak Sell Signal,0.75,0.59,0.44,0.51,46.33,Target Volume,Expected Range,6.33,Absent or Weak Trend
2023-07-26,0.55,0.6,0.54,0.56,710391,0.0,0.06,0.64,10.71,0.03,0.6,0.6,-0.01,-0.01,0.01,154777394,2.81,1.67,33.33,-1.0,-31.67,Weak Sell Signal,0.76,0.6,0.44,0.53,46.65,Target Volume,Expected Range,6.4,Absent or Weak Trend
2023-07-25,0.68,0.69,0.53,0.54,1595090,-0.14,0.16,-26.37,29.47,0.08,0.6,0.6,-0.01,-0.01,0.01,154067003,2.81,3.33,35.0,-1.0,-31.67,Weak Sell Signal,0.77,0.6,0.44,0.55,45.95,Target Volume,Expected Range,6.46,Absent or Weak Trend
2023-07-24,0.64,0.69,0.62,0.64,1865159,0.01,0.07,0.78,10.85,0.03,0.61,0.6,-0.0,-0.02,0.01,155662093,10.29,5.0,36.67,-1.0,-31.67,Weak Sell Signal,0.77,0.61,0.44,0.55,49.3,Target Volume,Expected Range,6.52,Absent or Weak Trend
2023-07-21,0.52,0.64,0.51,0.62,5562668,0.1,0.13,15.82,20.43,0.06,0.61,0.6,-0.01,-0.02,0.0,153796934,6.22,6.67,38.33,-1.0,-31.67,Weak Sell Signal,0.78,0.61,0.44,0.56,48.36,Target Volume,Expected Range,6.46,Absent or Weak Trend
2023-07-20,0.53,0.53,0.5,0.52,642197,-0.01,0.03,-1.92,5.75,0.01,0.61,0.6,-0.02,-0.02,-0.0,148234266,2.47,0.0,40.0,-1.0,-40.0,Weak Sell Signal,0.78,0.61,0.43,0.57,44.73,Target Volume,Expected Range,6.46,Absent or Weak Trend
2023-07-19,0.52,0.53,0.5,0.52,324055,-0.0,0.03,-0.54,4.93,0.01,0.61,0.61,-0.02,-0.02,-0.0,147592069,3.06,1.67,41.67,-1.0,-40.0,Weak Sell Signal,0.79,0.61,0.44,0.58,44.62,Target Volume,Expected Range,6.53,Absent or Weak Trend
2023-07-18,0.52,0.53,0.5,0.52,517487,0.01,0.03,1.07,5.69,0.01,0.62,0.61,-0.02,-0.02,-0.0,147916124,3.06,3.33,43.33,-1.0,-40.0,Weak Sell Signal,0.79,0.62,0.44,0.58,44.82,Target Volume,Expected Range,6.59,Absent or Weak Trend
2023-07-17,0.52,0.53,0.5,0.52,658402,0.0,0.03,0.19,5.29,0.01,0.62,0.61,-0.02,-0.02,-0.0,147398637,2.65,5.0,45.0,-1.0,-40.0,Weak Sell Signal,0.8,0.62,0.44,0.57,44.53,Target Volume,Expected Range,6.65,Absent or Weak Trend
2023-07-14,0.51,0.53,0.49,0.52,1072250,0.01,0.04,0.97,7.15,0.02,0.62,0.62,-0.02,-0.02,-0.0,146740235,3.05,0.0,46.67,-1.0,-46.67,Weak Sell Signal,0.8,0.62,0.44,0.57,44.49,Target Volume,Expected Range,6.72,Absent or Weak Trend
2023-07-13,0.54,0.55,0.5,0.51,1429222,-0.03,0.04,-6.28,8.84,0.02,0.63,0.62,-0.02,-0.02,-0.0,145667985,1.89,0.0,48.33,-1.0,-48.33,Weak Sell Signal,0.81,0.63,0.45,0.58,44.23,Target Volume,Expected Range,6.78,Absent or Weak Trend
2023-07-12,0.58,0.58,0.53,0.54,399508,-0.04,0.05,-7.39,8.52,0.02,0.63,0.62,-0.02,-0.01,-0.0,147097207,0.56,0.0,50.0,-1.0,-50.0,Weak Sell Signal,0.82,0.63,0.45,0.58,45.19,Target Volume,Expected Range,6.86,Absent or Weak Trend
2023-07-11,0.57,0.59,0.55,0.56,281503,-0.01,0.04,-1.8,7.11,0.02,0.64,0.62,-0.01,-0.01,0.0,147496715,1.94,1.67,51.67,-1.0,-50.0,Weak Sell Signal,0.82,0.64,0.45,0.59,45.79,Target Volume,Expected Range,6.97,Absent or Weak Trend
2023-07-10,0.56,0.59,0.55,0.57,302064,0.01,0.04,1.81,6.29,0.02,0.64,0.63,-0.01,-0.01,0.0,147778218,2.28,3.33,53.33,-1.0,-50.0,Weak Sell Signal,0.83,0.64,0.45,0.6,46.21,Target Volume,Expected Range,7.06,Absent or Weak Trend
2023-07-07,0.56,0.57,0.55,0.57,149001,0.01,0.02,2.25,3.52,0.01,0.64,0.63,-0.02,-0.01,-0.0,147476154,0.62,5.0,55.0,-1.0,-50.0,Weak Sell Signal,0.84,0.64,0.45,0.6,46.04,Target Volume,Expected Range,7.14,Absent or Weak Trend
