Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-21,7.98,8.21,7.94,8.1,70726,0.12,0.27,1.48,3.33,0.14,7.29,7.43,0.11,0.09,0.03,26176297,13.63,65.0,16.67,1.0,48.33,Weak Buy Signal,9.16,7.29,5.41,0.52,52.42,Target Volume,Expected Range,8.4,Absent or Weak Trend
2023-07-20,8.1,8.35,7.81,7.9,30035,-0.2,0.54,-2.53,6.77,0.27,7.25,7.41,0.1,0.08,0.02,26105571,13.63,66.67,18.33,1.0,48.33,Weak Buy Signal,9.15,7.25,5.35,0.52,51.83,Target Volume,Expected Range,8.31,Absent or Weak Trend
2023-07-19,8.37,8.88,7.96,8.15,67877,-0.22,0.92,-2.7,11.29,0.46,7.22,7.39,0.11,0.07,0.03,26135606,14.71,68.33,20.0,1.0,48.33,Weak Buy Signal,9.13,7.22,5.31,0.53,52.63,Target Volume,Expected Range,8.22,Absent or Weak Trend
2023-07-18,8.02,8.39,8.02,8.35,36597,0.33,0.37,3.95,4.43,0.19,7.2,7.37,0.09,0.07,0.02,26203483,12.02,70.0,21.67,1.0,48.33,Weak Buy Signal,9.1,7.2,5.3,0.53,53.27,Target Volume,Expected Range,8.11,Absent or Weak Trend
2023-07-17,7.87,8.12,7.74,7.99,42482,0.12,0.38,1.5,4.76,0.19,7.18,7.34,0.04,0.06,-0.02,26166886,10.49,71.67,23.33,1.0,48.33,Weak Buy Signal,9.05,7.18,5.3,0.52,52.24,Target Volume,Expected Range,8.04,Absent or Weak Trend
2023-07-14,7.93,7.96,7.61,7.8,33872,-0.13,0.35,-1.67,4.47,0.17,7.16,7.31,0.02,0.07,-0.05,26124404,9.57,73.33,25.0,1.0,48.33,Weak Buy Signal,9.03,7.16,5.3,0.52,51.68,Target Volume,Expected Range,8.0,Absent or Weak Trend
2023-07-13,7.82,8.09,7.55,7.95,63907,0.13,0.53,1.64,6.72,0.27,7.15,7.3,0.0,0.08,-0.07,26158276,9.57,75.0,26.67,1.0,48.33,Weak Buy Signal,9.01,7.15,5.29,0.52,52.15,Target Volume,Expected Range,7.97,Absent or Weak Trend
2023-07-12,7.61,7.9,7.4,7.74,45157,0.13,0.5,1.68,6.46,0.25,7.14,7.28,-0.03,0.1,-0.12,26094369,8.52,76.67,28.33,1.0,48.33,Weak Buy Signal,8.99,7.14,5.29,0.52,51.54,Target Volume,Expected Range,7.94,Absent or Weak Trend
2023-07-11,7.33,7.51,7.21,7.39,60999,0.06,0.3,0.81,4.06,0.15,7.13,7.26,-0.04,0.13,-0.17,26049212,6.26,78.33,30.0,1.0,48.33,Weak Buy Signal,8.97,7.13,5.29,0.52,50.51,Target Volume,Expected Range,7.93,Absent or Weak Trend
2023-07-10,7.7,7.82,7.22,7.32,51966,-0.38,0.61,-5.19,8.27,0.3,7.12,7.26,-0.03,0.17,-0.2,25988213,6.33,80.0,31.67,1.0,48.33,Weak Buy Signal,8.96,7.12,5.29,0.52,50.31,Target Volume,Expected Range,7.96,Absent or Weak Trend
2023-07-07,6.89,7.88,6.66,7.69,188691,0.8,1.22,10.4,15.86,0.61,7.11,7.25,-0.0,0.22,-0.22,26040179,6.33,81.67,33.33,1.0,48.33,Weak Buy Signal,8.96,7.11,5.25,0.52,51.43,Target Volume,Expected Range,7.99,Absent or Weak Trend
2023-07-06,6.85,7.0,6.62,6.82,49622,-0.03,0.38,-0.44,5.55,0.19,7.08,7.24,-0.0,0.28,-0.28,25851488,1.11,83.33,35.0,1.0,48.33,Weak Buy Signal,8.94,7.08,5.22,0.53,48.79,Target Volume,Expected Range,8.02,Absent or Weak Trend
2023-07-05,6.81,7.06,6.54,6.85,53587,0.04,0.52,0.58,7.59,0.26,7.07,7.25,0.08,0.35,-0.26,25901110,1.11,85.0,36.67,1.0,48.33,Weak Buy Signal,8.95,7.07,5.18,0.53,48.88,Target Volume,Expected Range,8.14,Absent or Weak Trend
2023-07-03,7.11,7.25,6.64,6.9,101037,-0.21,0.61,-3.04,8.84,0.31,7.05,7.27,0.18,0.41,-0.23,25954697,1.73,86.67,38.33,1.0,48.33,Weak Buy Signal,8.96,7.05,5.14,0.54,49.02,Target Volume,Expected Range,8.26,Absent or Weak Trend
2023-06-30,8.38,8.38,6.83,7.04,200687,-1.34,1.55,-19.03,22.02,0.78,7.03,7.28,0.31,0.47,-0.16,26055734,2.92,88.33,40.0,1.0,48.33,Weak Buy Signal,8.97,7.03,5.09,0.55,49.44,Target Volume,Expected Range,8.37,Absent or Weak Trend
2023-06-29,8.61,8.62,8.02,8.19,85532,-0.42,0.59,-5.13,7.26,0.3,7.01,7.29,0.45,0.51,-0.06,26256421,10.91,90.0,41.67,1.0,48.33,Weak Buy Signal,8.97,7.01,5.05,0.56,53.05,Target Volume,Expected Range,8.46,Absent or Weak Trend
2023-06-28,7.58,8.79,7.55,8.6,139884,1.02,1.24,11.86,14.42,0.62,6.97,7.26,0.5,0.52,-0.02,26341953,10.91,91.67,43.33,1.0,48.33,Weak Buy Signal,8.93,6.97,5.01,0.56,54.45,Target Volume,Expected Range,8.42,Absent or Weak Trend
2023-06-27,8.78,8.83,8.27,8.4,52553,-0.38,0.56,-4.52,6.67,0.28,6.93,7.21,0.52,0.53,-0.0,26202069,16.17,93.33,45.0,1.0,48.33,Weak Buy Signal,8.85,6.93,5.01,0.55,53.87,Target Volume,Expected Range,8.37,Absent or Weak Trend
2023-06-26,8.58,8.96,8.51,8.78,77183,0.2,0.46,2.28,5.18,0.23,6.89,7.17,0.56,0.53,0.03,26254622,17.96,95.0,46.67,1.0,48.33,Weak Buy Signal,8.79,6.89,5.0,0.55,55.18,Target Volume,Expected Range,8.24,Absent or Weak Trend
2023-06-23,8.3,8.92,8.15,8.65,212624,0.35,0.77,4.05,8.9,0.38,6.84,7.12,0.57,0.52,0.05,26177439,17.75,96.67,0.0,1.0,96.67,Strong Buy Signal,8.7,6.84,4.98,0.54,54.81,Target Volume,Expected Range,8.08,Absent or Weak Trend
2023-06-22,8.57,8.61,8.27,8.51,61157,-0.06,0.34,-0.71,3.99,0.17,6.79,7.06,0.58,0.51,0.07,25964815,16.09,98.33,0.0,1.0,98.33,Strong Buy Signal,8.61,6.79,4.97,0.54,54.41,Target Volume,Expected Range,7.91,Absent or Weak Trend
2023-06-21,8.55,9.25,8.36,8.7,74508,0.15,0.89,1.72,10.23,0.45,6.73,7.01,0.59,0.49,0.1,26025972,16.77,100.0,1.67,1.0,98.33,Strong Buy Signal,8.56,6.73,4.9,0.54,55.06,Target Volume,Expected Range,7.78,Absent or Weak Trend
2023-06-20,8.83,8.83,8.36,8.55,46771,-0.28,0.46,-3.27,5.44,0.23,6.66,6.96,0.59,0.47,0.12,25951464,14.49,93.33,3.33,1.0,90.0,Strong Buy Signal,8.49,6.66,4.83,0.55,54.64,Target Volume,Expected Range,7.62,Absent or Weak Trend
2023-06-16,8.66,8.88,7.77,8.84,324876,0.18,1.11,2.04,12.54,0.55,6.6,6.9,0.59,0.44,0.15,25998235,14.49,95.0,5.0,1.0,90.0,Strong Buy Signal,8.43,6.6,4.77,0.55,55.63,Target Volume,Expected Range,7.51,Absent or Weak Trend
2023-06-15,8.21,8.72,8.15,8.51,89548,0.3,0.56,3.53,6.58,0.28,6.53,6.84,0.55,0.4,0.15,25673359,17.32,96.67,6.67,1.0,90.0,Strong Buy Signal,8.33,6.53,4.73,0.55,54.71,Target Volume,Expected Range,7.39,Absent or Weak Trend
2023-06-14,8.53,8.56,8.02,8.19,78365,-0.34,0.54,-4.15,6.59,0.27,6.47,6.78,0.53,0.36,0.16,25583811,16.5,98.33,8.33,1.0,90.0,Strong Buy Signal,8.25,6.47,4.68,0.55,53.8,Target Volume,Expected Range,7.22,Absent or Weak Trend
2023-06-13,8.96,8.96,8.41,8.63,46549,-0.33,0.55,-3.82,6.42,0.28,6.41,6.73,0.52,0.32,0.2,25662176,19.4,100.0,10.0,1.0,90.0,Strong Buy Signal,8.18,6.41,4.64,0.55,55.31,Target Volume,Expected Range,7.06,Absent or Weak Trend
2023-06-12,8.0,8.81,8.0,8.55,154610,0.55,0.81,6.43,9.47,0.41,6.35,6.67,0.47,0.27,0.19,25615627,18.62,100.0,11.67,1.0,88.33,Strong Buy Signal,8.05,6.35,4.65,0.54,55.08,Target Volume,Expected Range,6.85,Absent or Weak Trend
2023-06-09,8.14,8.18,7.95,8.1,45985,-0.04,0.23,-0.49,2.84,0.11,6.29,6.6,0.39,0.22,0.17,25461017,15.27,98.33,13.33,1.0,85.0,Strong Buy Signal,7.93,6.29,4.65,0.52,53.79,Target Volume,Expected Range,6.65,Absent or Weak Trend
2023-06-08,7.91,8.25,7.66,8.1,62584,0.19,0.58,2.35,7.22,0.29,6.24,6.55,0.34,0.18,0.16,25461017,15.27,100.0,15.0,1.0,85.0,Strong Buy Signal,7.85,6.24,4.63,0.52,53.79,Target Volume,Expected Range,6.51,Absent or Weak Trend
2023-06-07,7.52,8.0,7.35,7.91,112762,0.39,0.65,4.93,8.22,0.33,6.19,6.5,0.27,0.14,0.13,25398433,13.91,100.0,16.67,1.0,83.33,Strong Buy Signal,7.75,6.19,4.64,0.5,53.25,Target Volume,Expected Range,6.36,Absent or Weak Trend
2023-06-06,7.36,7.57,7.23,7.41,87747,0.05,0.34,0.67,4.65,0.17,6.15,6.45,0.19,0.11,0.08,25285671,11.5,98.33,0.0,1.0,98.33,Strong Buy Signal,7.66,6.15,4.64,0.49,51.77,Target Volume,Expected Range,6.23,Absent or Weak Trend
2023-06-05,7.5,7.97,7.18,7.27,124097,-0.23,0.79,-3.16,10.87,0.4,6.11,6.42,0.14,0.09,0.05,25197924,11.5,100.0,1.67,1.0,98.33,Strong Buy Signal,7.6,6.11,4.62,0.49,51.35,Target Volume,Expected Range,6.14,Absent or Weak Trend
2023-06-02,6.54,7.1,6.44,7.1,48649,0.56,0.66,7.89,9.3,0.33,6.08,6.39,0.09,0.08,0.01,25073827,6.38,43.33,3.33,1.0,40.0,Weak Buy Signal,7.55,6.08,4.6,0.48,50.83,Target Volume,Expected Range,6.05,Absent or Weak Trend
2023-06-01,6.31,6.62,6.17,6.39,27807,0.08,0.45,1.25,7.04,0.23,6.05,6.37,0.04,0.07,-0.03,25025178,3.34,45.0,5.0,1.0,40.0,Weak Buy Signal,7.51,6.05,4.59,0.48,48.59,Target Volume,Expected Range,6.05,Absent or Weak Trend
2023-05-31,6.48,6.85,5.99,6.29,78265,-0.19,0.86,-3.02,13.67,0.43,6.04,6.37,0.05,0.08,-0.03,24997371,3.34,46.67,6.67,1.0,40.0,Weak Buy Signal,7.5,6.04,4.58,0.48,48.27,Target Volume,Expected Range,6.09,Absent or Weak Trend
2023-05-30,6.08,6.52,5.92,6.42,143099,0.34,0.6,5.3,9.35,0.3,6.02,6.37,0.07,0.09,-0.02,25075636,1.21,48.33,8.33,1.0,40.0,Weak Buy Signal,7.49,6.02,4.56,0.49,48.66,Target Volume,Expected Range,6.14,Absent or Weak Trend
2023-05-26,6.44,6.54,6.0,6.08,24155,-0.36,0.54,-5.92,8.8,0.27,6.01,6.37,0.08,0.09,-0.01,24932537,1.75,50.0,10.0,1.0,40.0,Weak Buy Signal,7.48,6.01,4.55,0.49,47.56,Target Volume,Expected Range,6.22,Absent or Weak Trend
2023-05-25,6.77,6.78,6.33,6.44,109540,-0.33,0.45,-5.12,6.91,0.22,6.01,6.38,0.13,0.1,0.03,24956692,3.97,51.67,11.67,1.0,40.0,Weak Buy Signal,7.48,6.01,4.55,0.49,48.65,Target Volume,Expected Range,6.3,Absent or Weak Trend
2023-05-24,6.94,6.97,6.55,6.75,69393,-0.19,0.42,-2.81,6.22,0.21,6.0,6.38,0.15,0.09,0.07,25066232,5.48,53.33,13.33,1.0,40.0,Weak Buy Signal,7.46,6.0,4.54,0.49,49.61,Target Volume,Expected Range,6.34,Absent or Weak Trend
2023-05-23,6.72,7.1,6.72,6.97,89707,0.25,0.38,3.59,5.45,0.19,5.98,6.36,0.15,0.07,0.08,25135625,6.66,55.0,15.0,1.0,40.0,Weak Buy Signal,7.43,5.98,4.53,0.48,50.3,Target Volume,Expected Range,6.35,Absent or Weak Trend
2023-05-22,7.0,7.18,6.69,6.83,96343,-0.17,0.49,-2.49,7.17,0.24,5.96,6.34,0.12,0.05,0.07,25045918,6.66,56.67,16.67,1.0,40.0,Weak Buy Signal,7.39,5.96,4.54,0.48,49.86,Target Volume,Expected Range,6.35,Absent or Weak Trend
2023-05-19,6.69,7.2,6.59,6.98,188142,0.29,0.61,4.15,8.67,0.3,5.94,6.33,0.09,0.04,0.06,25142261,6.66,58.33,18.33,1.0,40.0,Weak Buy Signal,7.36,5.94,4.53,0.48,50.33,Target Volume,Expected Range,6.34,Absent or Weak Trend
2023-05-18,6.54,6.54,6.3,6.53,78552,-0.01,0.25,-0.15,3.75,0.12,5.93,6.3,0.04,0.02,0.02,24954119,2.68,60.0,20.0,1.0,40.0,Weak Buy Signal,7.31,5.93,4.54,0.47,48.92,Target Volume,Expected Range,6.33,Absent or Weak Trend
2023-05-17,6.42,6.56,6.2,6.55,100814,0.13,0.36,1.98,5.5,0.18,5.92,6.3,0.03,0.01,0.01,25032671,2.68,61.67,21.67,1.0,40.0,Weak Buy Signal,7.29,5.92,4.54,0.47,48.98,Target Volume,Expected Range,6.4,Absent or Weak Trend
2023-05-16,6.37,6.56,6.22,6.4,99556,0.03,0.34,0.47,5.23,0.17,5.9,6.29,0.0,0.01,-0.01,24931857,2.84,63.33,23.33,1.0,40.0,Weak Buy Signal,7.27,5.9,4.53,0.46,48.51,Target Volume,Expected Range,6.46,Absent or Weak Trend
2023-05-15,6.35,6.65,6.32,6.45,129042,0.1,0.33,1.55,5.12,0.17,5.89,6.28,-0.02,0.01,-0.03,25031413,3.45,65.0,25.0,1.0,40.0,Weak Buy Signal,7.26,5.89,4.53,0.46,48.65,Target Volume,Expected Range,6.52,Absent or Weak Trend
2023-05-12,6.23,6.39,6.07,6.34,99469,0.11,0.32,1.74,5.05,0.16,5.89,6.28,-0.04,0.02,-0.06,24902371,1.88,66.67,26.67,1.0,40.0,Weak Buy Signal,7.24,5.89,4.53,0.46,48.31,Target Volume,Expected Range,6.57,Absent or Weak Trend
2023-05-11,6.16,6.21,5.93,6.13,96611,-0.03,0.28,-0.49,4.57,0.14,5.88,6.28,-0.06,0.04,-0.1,24802902,0.79,68.33,28.33,1.0,40.0,Weak Buy Signal,7.24,5.88,4.53,0.46,47.66,Target Volume,Expected Range,6.65,Absent or Weak Trend
2023-05-10,5.55,6.38,5.51,6.16,109855,0.61,0.87,9.9,14.12,0.44,5.89,6.28,-0.07,0.06,-0.13,24899513,0.79,70.0,30.0,1.0,40.0,Weak Buy Signal,7.24,5.89,4.53,0.46,47.75,Target Volume,Expected Range,6.75,Absent or Weak Trend
2023-05-09,5.27,5.43,5.09,5.37,89874,0.1,0.34,1.86,6.37,0.17,5.9,6.29,-0.08,0.1,-0.17,24789658,5.21,0.0,31.67,-1.0,-31.67,Weak Sell Signal,7.27,5.9,4.52,0.47,45.23,Target Volume,Expected Range,6.85,Absent or Weak Trend
2023-05-08,6.08,6.21,5.36,5.43,126699,-0.65,0.85,-11.97,15.75,0.43,5.93,6.32,-0.01,0.14,-0.14,24879532,3.6,1.67,33.33,-1.0,-31.67,Weak Sell Signal,7.35,5.93,4.51,0.48,45.39,Target Volume,Expected Range,6.88,Absent or Weak Trend
2023-05-05,6.05,6.15,5.71,6.05,99980,0.0,0.44,0.0,7.27,0.22,5.96,6.35,0.08,0.18,-0.1,25006231,1.41,0.0,35.0,-1.0,-35.0,Weak Sell Signal,7.42,5.96,4.5,0.49,47.12,Target Volume,Expected Range,6.94,Absent or Weak Trend
2023-05-04,6.3,6.77,5.8,5.97,92816,-0.33,0.97,-5.53,16.25,0.48,5.98,6.36,0.12,0.2,-0.08,24906251,0.85,0.0,36.67,-1.0,-36.67,Weak Sell Signal,7.49,5.98,4.48,0.5,46.86,Target Volume,Expected Range,7.03,Absent or Weak Trend
2023-05-03,6.89,7.34,6.14,6.37,104277,-0.52,1.2,-8.16,18.84,0.6,6.02,6.37,0.18,0.22,-0.04,24999067,1.3,0.0,38.33,-1.0,-38.33,Weak Sell Signal,7.62,6.02,4.42,0.53,48.01,Target Volume,Expected Range,7.14,Absent or Weak Trend
2023-05-02,6.64,7.34,6.63,6.92,73635,0.28,0.71,4.05,10.33,0.36,6.05,6.37,0.22,0.23,-0.01,25103344,4.5,0.0,40.0,-1.0,-40.0,Weak Sell Signal,7.73,6.05,4.37,0.56,49.65,Target Volume,Expected Range,7.23,Absent or Weak Trend
2023-05-01,6.67,7.18,6.41,6.81,83935,0.14,0.76,2.06,11.23,0.38,6.07,6.35,0.2,0.23,-0.03,25029709,3.46,0.0,41.67,-1.0,-41.67,Weak Sell Signal,7.85,6.07,4.3,0.58,49.31,Target Volume,Expected Range,7.28,Absent or Weak Trend
2023-04-28,6.4,6.65,6.18,6.52,68689,0.12,0.47,1.84,7.21,0.24,6.1,6.34,0.19,0.24,-0.05,24945774,0.15,1.67,43.33,-1.0,-41.67,Weak Sell Signal,7.98,6.1,4.23,0.61,48.41,Target Volume,Expected Range,7.35,Absent or Weak Trend
2023-04-27,6.74,6.79,6.27,6.36,61859,-0.38,0.52,-5.97,8.13,0.26,6.14,6.33,0.2,0.25,-0.05,24877085,0.73,3.33,45.0,-1.0,-41.67,Weak Sell Signal,8.15,6.14,4.14,0.65,47.9,Target Volume,Expected Range,7.47,Absent or Weak Trend
2023-04-26,5.83,6.87,5.54,6.65,152694,0.82,1.33,12.33,19.98,0.66,6.18,6.33,0.23,0.26,-0.03,24938944,0.73,5.0,46.67,-1.0,-41.67,Weak Sell Signal,8.28,6.18,4.08,0.68,48.75,Target Volume,Expected Range,7.58,Absent or Weak Trend
2023-04-25,6.08,6.52,5.67,5.88,108248,-0.2,0.85,-3.4,14.46,0.42,6.21,6.32,0.24,0.27,-0.04,24786250,1.48,6.67,48.33,-1.0,-41.67,Weak Sell Signal,8.4,6.21,4.03,0.7,46.26,Target Volume,Expected Range,7.7,Absent or Weak Trend
2023-04-24,5.49,6.28,5.34,6.19,260790,0.7,0.95,11.31,15.27,0.47,6.26,6.33,0.32,0.28,0.04,24894498,2.99,8.33,50.0,-1.0,-41.67,Weak Sell Signal,8.52,6.26,3.99,0.72,47.17,Target Volume,Expected Range,7.8,Absent or Weak Trend
2023-04-21,7.25,7.44,6.65,6.72,95681,-0.53,0.79,-7.89,11.76,0.4,6.29,6.34,0.39,0.27,0.11,25155288,5.67,10.0,51.67,-1.0,-41.67,Weak Sell Signal,8.62,6.29,3.97,0.74,48.78,Target Volume,Expected Range,7.88,Absent or Weak Trend
2023-04-20,7.13,7.43,6.86,7.29,32380,0.16,0.57,2.19,7.81,0.28,6.32,6.33,0.41,0.24,0.17,25250969,7.18,11.67,53.33,-1.0,-41.67,Weak Sell Signal,8.71,6.32,3.93,0.76,50.6,Target Volume,Expected Range,7.92,Absent or Weak Trend
