Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-07,1.46,1.46,1.37,1.41,286338,-0.05,0.09,-3.55,6.38,0.04,-1
2023-07-06,1.5,1.5,1.42,1.44,141574,-0.06,0.08,-4.17,5.56,0.04,-1
2023-07-05,1.51,1.54,1.46,1.52,113281,0.01,0.08,0.66,5.26,0.04,-1
2023-07-03,1.6,1.65,1.45,1.52,318700,-0.08,0.2,-5.26,13.14,0.1,-1
2023-06-30,1.63,1.63,1.57,1.6,118970,-0.03,0.06,-1.87,3.75,0.03,-1
2023-06-29,1.54,1.64,1.48,1.6,352872,0.06,0.16,3.75,10.0,0.08,1
2023-06-28,1.61,1.61,1.49,1.55,169311,-0.06,0.12,-3.87,7.74,0.06,-1
2023-06-27,1.66,1.69,1.58,1.58,186292,-0.08,0.11,-5.06,6.96,0.05,-1
2023-06-26,1.66,1.73,1.6,1.69,196400,0.03,0.13,1.78,7.69,0.06,1
2023-06-23,1.68,1.75,1.6,1.64,228881,-0.04,0.15,-2.44,9.15,0.07,-1
2023-06-22,1.69,1.74,1.63,1.64,215065,-0.05,0.11,-3.05,6.71,0.06,-1
2023-06-21,1.75,1.75,1.62,1.74,318900,-0.01,0.14,-0.57,7.76,0.07,-1
2023-06-20,1.78,1.87,1.72,1.79,406000,0.01,0.15,0.56,8.45,0.08,1
2023-06-16,1.77,1.84,1.65,1.76,578346,-0.01,0.19,-0.57,10.8,0.1,-1
2023-06-15,1.78,1.95,1.62,1.9,1481587,0.12,0.33,6.32,17.37,0.16,1
2023-06-14,1.61,1.8,1.51,1.75,3144568,0.14,0.29,8.0,16.57,0.15,1
2023-06-13,2.86,3.0,1.4,1.52,90581833,-1.34,1.6,-88.16,105.26,0.8,1
2023-06-12,1.31,1.31,1.12,1.14,149440,-0.17,0.2,-14.73,17.08,0.1,-1
2023-06-09,1.4,1.43,1.2,1.22,297411,-0.18,0.23,-14.75,18.85,0.12,-1
2023-06-08,1.75,1.78,1.28,1.4,249256,-0.35,0.5,-25.0,35.96,0.25,-1
2023-06-07,1.6,1.7,1.54,1.66,66245,0.06,0.16,3.61,9.64,0.08,1
2023-06-06,1.81,1.85,1.59,1.59,92208,-0.22,0.26,-13.83,16.35,0.13,-1
2023-06-05,1.93,1.99,1.7,1.7,128357,-0.23,0.29,-13.52,17.06,0.15,-1
2023-06-02,1.92,2.22,1.9,1.95,204701,0.03,0.32,1.54,16.41,0.16,1
