Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-25,9.71,9.98,9.64,9.94,289659,0.23,0.34,2.31,3.42,0.17,1
2023-08-24,9.94,10.0,9.71,9.73,274245,-0.21,0.29,-2.16,2.98,0.14,-1
2023-08-23,9.95,10.05,9.87,9.94,221459,-0.01,0.18,-0.1,1.81,0.09,-1
2023-08-22,10.06,10.1,9.96,9.96,576179,-0.1,0.14,-1.0,1.46,0.07,-1
2023-08-21,10.02,10.16,10.02,10.03,360063,0.01,0.14,0.1,1.45,0.07,1
2023-08-18,10.01,10.06,9.95,10.02,347462,0.01,0.11,0.1,1.12,0.06,-1
2023-08-17,10.33,10.41,10.09,10.14,366701,-0.19,0.32,-1.87,3.16,0.16,-1
2023-08-16,10.28,10.47,10.11,10.15,506968,-0.13,0.36,-1.28,3.55,0.18,-1
2023-08-15,10.25,10.47,10.22,10.28,399180,0.03,0.25,0.29,2.38,0.12,1
2023-08-14,10.02,10.34,10.02,10.21,225770,0.19,0.32,1.86,3.13,0.16,1
2023-08-11,10.17,10.24,10.07,10.11,401151,-0.06,0.17,-0.59,1.63,0.08,-1
2023-08-10,10.28,10.58,10.15,10.16,436980,-0.12,0.43,-1.18,4.23,0.21,1
2023-08-09,10.43,10.43,10.07,10.08,557299,-0.35,0.36,-3.47,3.57,0.18,-1
2023-08-08,10.09,10.52,10.02,10.4,1259225,0.31,0.5,2.98,4.81,0.25,1
2023-08-07,10.23,10.32,10.16,10.18,410114,-0.05,0.16,-0.49,1.57,0.08,-1
2023-08-04,10.22,10.6,10.2,10.38,943334,0.16,0.4,1.54,3.81,0.2,1
2023-08-03,10.1,10.41,9.99,10.32,1463534,0.22,0.42,2.13,4.07,0.21,1
2023-08-02,10.11,10.33,9.98,10.1,1682204,-0.01,0.35,-0.1,3.47,0.17,-1
2023-08-01,10.51,10.74,10.2,10.26,2051677,-0.25,0.54,-2.44,5.26,0.27,-1
2023-07-31,10.48,10.96,10.23,10.91,1661489,0.43,0.73,3.94,6.74,0.37,1
2023-07-28,10.0,10.77,9.91,10.6,1556763,0.6,0.86,5.66,8.11,0.43,1
2023-07-27,10.21,10.33,9.85,10.0,820512,-0.21,0.48,-2.1,4.76,0.24,-1
2023-07-26,9.97,10.41,9.94,10.19,917421,0.22,0.47,2.16,4.61,0.24,1
2023-07-25,9.75,10.02,9.75,9.86,864676,0.11,0.27,1.12,2.69,0.13,-1
2023-07-24,10.29,10.4,10.02,10.06,635947,-0.23,0.38,-2.29,3.78,0.19,-1
2023-07-21,10.45,10.51,10.13,10.39,3046399,-0.06,0.38,-0.58,3.66,0.19,-1
2023-07-20,10.25,10.54,10.14,10.51,603572,0.26,0.4,2.47,3.81,0.2,1
2023-07-19,10.41,10.54,10.37,10.48,548414,0.07,0.17,0.67,1.57,0.08,1
2023-07-18,9.83,10.56,9.81,10.28,1584177,0.45,0.75,4.38,7.3,0.38,1
2023-07-17,9.45,9.82,9.39,9.82,1189251,0.37,0.43,3.77,4.38,0.21,1
2023-07-14,9.55,9.63,9.42,9.45,451418,-0.1,0.21,-1.06,2.22,0.11,-1
2023-07-13,9.52,9.67,9.47,9.56,464242,0.04,0.2,0.42,2.09,0.1,1
2023-07-12,9.59,9.61,9.43,9.52,610649,-0.07,0.18,-0.74,1.89,0.09,1
2023-07-11,9.32,9.4,9.22,9.37,525740,0.05,0.18,0.53,1.87,0.09,1
2023-07-10,9.05,9.2,9.03,9.17,1259263,0.12,0.17,1.31,1.85,0.08,1
2023-07-07,9.26,9.41,8.97,8.98,1746630,-0.28,0.44,-3.12,4.9,0.22,1
2023-07-06,9.19,9.23,8.88,8.94,922047,-0.25,0.35,-2.8,3.86,0.17,-1
2023-07-05,9.19,9.31,9.16,9.19,503376,0.0,0.15,0.0,1.63,0.08,-1
2023-07-03,9.15,9.28,9.06,9.25,267531,0.1,0.22,1.08,2.38,0.11,1
2023-06-30,9.05,9.22,9.05,9.16,380638,0.11,0.16,1.2,1.8,0.08,1
2023-06-29,8.88,9.12,8.88,9.05,311589,0.17,0.24,1.88,2.65,0.12,1
2023-06-28,8.97,9.17,8.94,9.02,306359,0.05,0.23,0.55,2.61,0.12,1
2023-06-27,8.86,9.11,8.8,8.99,523060,0.13,0.31,1.45,3.45,0.15,1
2023-06-26,8.92,9.03,8.91,8.94,152424,0.02,0.12,0.22,1.34,0.06,1
2023-06-23,8.96,9.03,8.9,8.93,372169,-0.03,0.13,-0.34,1.46,0.06,-1
2023-06-22,9.14,9.3,8.98,9.11,455949,-0.03,0.31,-0.33,3.46,0.16,-1
2023-06-21,9.14,9.31,9.0,9.29,790243,0.15,0.31,1.61,3.34,0.16,1
2023-06-20,9.17,9.3,9.15,9.27,406987,0.1,0.15,1.08,1.62,0.08,1
2023-06-16,8.96,9.11,8.88,9.08,903709,0.12,0.23,1.32,2.53,0.11,1
2023-06-15,8.89,9.04,8.86,8.97,705031,0.08,0.18,0.89,2.01,0.09,-1
2023-06-14,9.2,9.37,8.99,9.02,1645613,-0.18,0.38,-2.0,4.21,0.19,1
2023-06-13,8.92,8.92,8.54,8.61,803681,-0.31,0.38,-3.6,4.41,0.19,-1
2023-06-12,8.71,8.87,8.64,8.82,888073,0.11,0.23,1.25,2.61,0.11,-1
2023-06-09,8.77,8.83,8.67,8.83,398281,0.06,0.16,0.68,1.81,0.08,1
2023-06-08,8.89,8.92,8.74,8.8,214829,-0.09,0.18,-1.02,2.05,0.09,-1
2023-06-07,9.01,9.14,8.94,9.05,535681,0.04,0.2,0.44,2.21,0.1,1
2023-06-06,8.94,8.99,8.81,8.85,605153,-0.09,0.18,-1.02,2.03,0.09,1
2023-06-05,8.81,8.86,8.68,8.71,421516,-0.1,0.17,-1.15,1.95,0.08,-1
2023-06-02,8.9,8.96,8.73,8.8,435104,-0.1,0.23,-1.14,2.6,0.11,1
2023-06-01,8.28,8.38,8.26,8.34,501428,0.06,0.11,0.72,1.32,0.05,1
2023-05-31,8.51,8.51,8.12,8.24,473182,-0.27,0.38,-3.28,4.67,0.19,-1
2023-05-30,8.85,8.85,8.55,8.61,513337,-0.24,0.3,-2.79,3.48,0.15,-1
2023-05-26,8.57,8.8,8.57,8.73,285750,0.16,0.23,1.83,2.63,0.12,1
2023-05-25,8.77,8.77,8.44,8.54,458092,-0.23,0.33,-2.69,3.92,0.17,-1
2023-05-24,8.74,8.77,8.58,8.73,384416,-0.01,0.19,-0.11,2.18,0.09,-1
2023-05-23,9.08,9.08,8.73,8.74,542276,-0.34,0.35,-3.89,4.0,0.17,-1
2023-05-22,9.01,9.07,8.92,9.01,709650,0.0,0.15,0.0,1.64,0.07,-1
2023-05-19,8.92,9.03,8.76,9.01,708957,0.09,0.27,1.0,3.0,0.13,1
2023-05-18,8.65,8.72,8.52,8.68,707118,0.03,0.2,0.35,2.3,0.1,1
2023-05-17,8.53,8.75,8.4,8.66,1176761,0.13,0.35,1.5,4.04,0.17,-1
2023-05-16,8.83,8.83,8.6,8.72,1105142,-0.11,0.23,-1.26,2.64,0.12,-1
2023-05-15,8.79,9.02,8.7,8.96,859791,0.17,0.33,1.9,3.63,0.16,1
2023-05-12,8.68,8.76,8.58,8.74,695111,0.06,0.19,0.69,2.12,0.09,1
2023-05-11,8.6,8.68,8.51,8.68,1250756,0.08,0.17,0.92,1.96,0.08,1
2023-05-10,8.47,8.74,8.3,8.58,1801247,0.11,0.44,1.28,5.19,0.22,1
2023-05-09,8.04,8.55,7.85,8.35,2179260,0.31,0.7,3.71,8.37,0.35,1
2023-05-08,7.64,7.64,7.42,7.56,1112203,-0.08,0.22,-1.06,2.91,0.11,1
2023-05-05,7.31,7.52,7.3,7.44,754489,0.13,0.22,1.75,2.96,0.11,1
2023-05-04,7.15,7.23,7.08,7.18,816828,0.03,0.15,0.42,2.09,0.08,-1
2023-05-03,7.15,7.28,7.11,7.21,799166,0.06,0.17,0.83,2.29,0.08,-1
2023-05-02,7.55,7.55,7.3,7.39,588534,-0.16,0.25,-2.17,3.38,0.12,-1
2023-05-01,7.57,7.62,7.47,7.56,868713,-0.01,0.15,-0.13,1.92,0.07,1
2023-04-28,7.44,7.52,7.3,7.46,432070,0.02,0.22,0.27,2.95,0.11,1
2023-04-27,7.16,7.36,7.16,7.36,502583,0.2,0.2,2.72,2.72,0.1,1
2023-04-26,7.26,7.31,7.18,7.2,440172,-0.06,0.13,-0.83,1.81,0.06,-1
2023-04-25,7.34,7.35,7.19,7.21,840107,-0.13,0.16,-1.8,2.22,0.08,-1
