Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-04,68.51,69.46,67.92,67.99,731705,-0.52,1.54,-0.76,2.27,0.77,72.82,72.3,-1.6,-0.84,-0.76,77160456,6.9,71.67,98.33,-1.0,-26.67,Weak Sell Signal,77.86,72.82,67.78,0.14,47.52,Target Volume,Expected Range,10.65,Absent or Weak Trend
2023-08-03,68.45,68.6,66.85,68.0,927652,-0.45,1.75,-0.66,2.57,0.88,72.91,72.45,-1.46,-0.65,-0.81,77892161,8.85,73.33,100.0,-1.0,-26.67,Weak Sell Signal,77.79,72.91,68.03,0.13,47.53,Target Volume,Expected Range,10.71,Absent or Weak Trend
2023-08-02,69.95,70.06,67.85,68.3,540239,-1.65,2.22,-2.42,3.24,1.11,72.99,72.6,-1.27,-0.45,-0.82,78819813,7.15,75.0,100.0,-1.0,-25.0,Weak Sell Signal,77.7,72.99,68.28,0.13,47.7,Target Volume,Expected Range,10.74,Absent or Weak Trend
2023-08-01,70.06,71.23,69.87,70.5,423965,0.44,1.36,0.62,1.93,0.68,73.06,72.75,-1.02,-0.24,-0.78,79360052,3.06,76.67,91.67,-1.0,-15.0,High Volatility / Hold Signal,77.6,73.06,68.51,0.12,49.78,Target Volume,Expected Range,10.8,Absent or Weak Trend
2023-07-31,70.39,70.7,69.86,70.68,589971,0.29,0.84,0.41,1.2,0.42,73.07,72.83,-0.91,-0.05,-0.86,79784017,4.23,78.33,93.33,-1.0,-15.0,High Volatility / Hold Signal,77.59,73.07,68.55,0.12,49.96,Target Volume,Expected Range,10.94,Absent or Weak Trend
2023-07-28,70.19,70.72,69.14,70.12,513090,-0.07,1.58,-0.1,2.25,0.79,73.12,72.9,-0.77,0.17,-0.94,79194046,4.23,80.0,95.0,-1.0,-15.0,High Volatility / Hold Signal,77.59,73.12,68.65,0.12,49.41,Target Volume,Expected Range,11.05,Absent or Weak Trend
2023-07-27,71.01,71.01,69.88,69.9,1014691,-1.11,1.13,-1.59,1.62,0.57,73.19,73.0,-0.53,0.4,-0.93,78680956,2.73,81.67,96.67,-1.0,-15.0,High Volatility / Hold Signal,77.59,73.19,68.78,0.12,49.2,Target Volume,Expected Range,11.16,Absent or Weak Trend
2023-07-26,70.43,71.98,70.15,70.46,1234216,0.03,1.83,0.04,2.6,0.91,73.22,73.11,-0.19,0.63,-0.82,79695647,2.18,83.33,98.33,-1.0,-15.0,High Volatility / Hold Signal,77.55,73.22,68.89,0.12,49.72,Target Volume,Expected Range,11.31,Absent or Weak Trend
2023-07-25,71.82,71.89,68.03,70.64,2728525,-1.18,3.86,-1.67,5.46,1.93,73.24,73.21,0.19,0.84,-0.64,80929863,2.37,85.0,100.0,-1.0,-15.0,High Volatility / Hold Signal,77.52,73.24,68.96,0.12,49.89,Target Volume,Expected Range,11.46,Absent or Weak Trend
2023-07-24,75.17,75.75,74.69,74.7,608523,-0.47,1.06,-0.63,1.42,0.53,73.26,73.3,0.65,1.0,-0.34,83658388,13.01,86.67,40.0,1.0,46.67,Weak Buy Signal,77.5,73.26,69.02,0.12,53.96,Target Volume,Expected Range,11.62,Absent or Weak Trend
2023-07-21,76.14,76.36,75.34,75.36,435982,-0.78,1.02,-1.04,1.35,0.51,73.2,73.26,0.82,1.08,-0.26,84266911,14.74,88.33,41.67,1.0,46.67,Weak Buy Signal,77.47,73.2,68.93,0.12,54.67,Target Volume,Expected Range,11.59,Absent or Weak Trend
2023-07-20,75.75,75.88,75.05,75.67,487002,-0.08,0.83,-0.11,1.1,0.41,73.15,73.19,0.96,1.15,-0.19,84702893,13.78,90.0,0.0,1.0,90.0,Strong Buy Signal,77.4,73.15,68.9,0.12,55.01,Target Volume,Expected Range,11.54,Absent or Weak Trend
2023-07-19,77.02,77.02,75.06,75.31,626493,-1.71,1.96,-2.27,2.6,0.98,73.03,73.11,1.09,1.19,-0.11,84215891,13.81,91.67,0.0,1.0,91.67,Strong Buy Signal,77.41,73.03,68.65,0.12,54.69,Target Volume,Expected Range,11.5,Absent or Weak Trend
2023-07-18,76.87,77.46,76.47,77.08,396486,0.21,1.0,0.27,1.29,0.5,72.91,73.04,1.27,1.22,0.05,84842384,17.57,93.33,1.67,1.0,91.67,Strong Buy Signal,77.44,72.91,68.38,0.12,56.62,Target Volume,Expected Range,11.46,Absent or Weak Trend
2023-07-17,76.15,77.53,75.81,77.18,410883,1.03,1.72,1.33,2.23,0.86,72.77,72.91,1.31,1.21,0.1,85238870,17.57,95.0,3.33,1.0,91.67,Strong Buy Signal,77.31,72.77,68.23,0.12,56.73,Target Volume,Expected Range,11.36,Absent or Weak Trend
2023-07-14,76.94,76.94,75.3,76.17,531469,-0.77,1.64,-1.01,2.15,0.82,72.62,72.77,1.33,1.18,0.15,84827987,16.46,96.67,5.0,1.0,91.67,Strong Buy Signal,77.18,72.62,68.05,0.13,55.87,Target Volume,Expected Range,11.25,Absent or Weak Trend
2023-07-13,78.13,78.28,76.96,77.01,530185,-1.12,1.32,-1.45,1.71,0.66,72.49,72.66,1.44,1.14,0.3,85359456,20.99,98.33,0.0,1.0,98.33,Strong Buy Signal,77.11,72.49,67.87,0.13,56.79,Target Volume,Expected Range,11.16,Absent or Weak Trend
2023-07-12,78.51,79.08,77.71,78.04,578238,-0.47,1.37,-0.6,1.76,0.69,72.34,72.51,1.47,1.07,0.4,85889641,23.12,100.0,0.0,1.0,100.0,Strong Buy Signal,76.95,72.34,67.73,0.13,57.95,Target Volume,Expected Range,11.0,Absent or Weak Trend
2023-07-11,77.99,78.52,77.48,77.93,546793,-0.06,1.03,-0.08,1.33,0.52,72.16,72.33,1.38,0.97,0.41,85311403,22.1,100.0,1.67,1.0,98.33,Strong Buy Signal,76.74,72.16,67.58,0.13,57.86,Target Volume,Expected Range,10.79,Absent or Weak Trend
2023-07-10,76.66,77.86,76.66,77.83,380981,1.17,1.2,1.5,1.54,0.6,72.0,72.15,1.26,0.87,0.4,84764610,20.91,100.0,3.33,1.0,96.67,Strong Buy Signal,76.46,72.0,67.53,0.12,57.78,Target Volume,Expected Range,10.6,Absent or Weak Trend
2023-07-07,75.65,77.72,75.65,76.82,353134,1.17,2.07,1.52,2.69,1.03,71.82,71.96,1.1,0.77,0.34,84383629,20.65,100.0,5.0,1.0,95.0,Strong Buy Signal,76.19,71.82,67.46,0.12,56.96,Target Volume,Expected Range,10.43,Absent or Weak Trend
2023-07-06,75.9,76.3,74.41,75.66,401752,-0.24,1.89,-0.32,2.5,0.95,71.65,71.8,0.99,0.68,0.3,84030495,18.01,98.33,0.0,1.0,98.33,Strong Buy Signal,76.05,71.65,67.26,0.12,55.99,Target Volume,Expected Range,10.25,Absent or Weak Trend
2023-07-05,75.16,76.94,74.61,76.41,665872,1.25,2.33,1.64,3.05,1.16,71.5,71.67,0.94,0.61,0.33,84432247,18.56,100.0,1.67,1.0,98.33,Strong Buy Signal,75.97,71.5,67.04,0.12,56.8,Target Volume,Expected Range,10.12,Absent or Weak Trend
2023-07-03,76.0,76.08,75.12,75.77,255747,-0.23,0.96,-0.3,1.27,0.48,71.32,71.52,0.79,0.52,0.27,83766375,16.94,98.33,3.33,1.0,95.0,Strong Buy Signal,75.88,71.32,66.77,0.13,56.27,Target Volume,Expected Range,9.98,Absent or Weak Trend
2023-06-30,74.62,76.48,74.12,76.02,805714,1.4,2.36,1.84,3.1,1.18,71.18,71.38,0.65,0.46,0.2,84022122,16.94,100.0,5.0,1.0,95.0,Strong Buy Signal,75.73,71.18,66.62,0.13,56.54,Target Volume,Expected Range,9.86,Absent or Weak Trend
2023-06-29,73.46,74.44,73.0,74.02,371497,0.56,1.44,0.76,1.95,0.72,71.04,71.22,0.44,0.41,0.04,83216408,12.96,35.0,6.67,1.0,28.33,Weak Buy Signal,75.51,71.04,66.58,0.13,54.86,Target Volume,Expected Range,9.74,Absent or Weak Trend
2023-06-28,73.85,74.15,73.2,73.35,355223,-0.5,0.95,-0.68,1.3,0.48,70.96,71.13,0.37,0.4,-0.03,82844911,12.37,36.67,8.33,1.0,28.33,Weak Buy Signal,75.4,70.96,66.53,0.12,54.27,Target Volume,Expected Range,9.69,Absent or Weak Trend
2023-06-27,71.97,73.86,71.95,73.76,396161,1.79,1.91,2.43,2.59,0.95,70.88,71.06,0.34,0.4,-0.06,83200134,11.78,38.33,10.0,1.0,28.33,Weak Buy Signal,75.33,70.88,66.42,0.13,54.7,Target Volume,Expected Range,9.64,Absent or Weak Trend
2023-06-26,71.46,72.32,70.88,71.82,413492,0.36,1.44,0.5,2.01,0.72,70.78,70.98,0.26,0.42,-0.16,82803973,8.59,40.0,11.67,1.0,28.33,Weak Buy Signal,75.24,70.78,66.32,0.13,52.98,Target Volume,Expected Range,9.6,Absent or Weak Trend
2023-06-23,72.08,72.76,71.4,71.66,441882,-0.42,1.36,-0.59,1.9,0.68,70.73,70.95,0.34,0.46,-0.11,82390481,9.9,41.67,13.33,1.0,28.33,Weak Buy Signal,75.22,70.73,66.25,0.13,52.83,Target Volume,Expected Range,9.62,Absent or Weak Trend
2023-06-22,73.19,73.37,72.26,72.87,319882,-0.32,1.11,-0.44,1.52,0.55,70.68,70.93,0.47,0.49,-0.02,82832363,12.13,43.33,15.0,1.0,28.33,Weak Buy Signal,75.21,70.68,66.15,0.13,54.07,Target Volume,Expected Range,9.62,Absent or Weak Trend
2023-06-21,72.34,73.82,72.2,73.63,268218,1.29,1.62,1.75,2.2,0.81,70.6,70.87,0.49,0.49,0.0,83152245,12.13,45.0,16.67,1.0,28.33,Weak Buy Signal,75.15,70.6,66.05,0.13,54.87,Target Volume,Expected Range,9.57,Absent or Weak Trend
2023-06-20,71.85,72.54,71.33,72.51,513481,0.66,1.21,0.91,1.67,0.61,70.49,70.78,0.44,0.49,-0.05,82884027,9.5,46.67,18.33,1.0,28.33,Weak Buy Signal,75.06,70.49,65.93,0.13,53.89,Target Volume,Expected Range,9.53,Absent or Weak Trend
2023-06-16,73.64,73.91,71.74,72.11,1131575,-1.53,2.17,-2.12,3.01,1.09,70.4,70.73,0.48,0.5,-0.02,82370546,10.54,48.33,20.0,1.0,28.33,Weak Buy Signal,75.04,70.4,65.76,0.13,53.53,Target Volume,Expected Range,9.53,Absent or Weak Trend
2023-06-15,72.35,73.24,72.14,73.21,489494,0.86,1.1,1.17,1.5,0.55,70.32,70.69,0.57,0.51,0.06,83502121,9.15,50.0,21.67,1.0,28.33,Weak Buy Signal,75.01,70.32,65.63,0.13,54.67,Target Volume,Expected Range,9.51,Absent or Weak Trend
2023-06-14,72.98,73.39,72.05,72.64,411529,-0.34,1.34,-0.47,1.85,0.67,70.24,70.61,0.56,0.49,0.07,83012627,9.15,51.67,23.33,1.0,28.33,Weak Buy Signal,74.9,70.24,65.58,0.13,54.17,Target Volume,Expected Range,9.52,Absent or Weak Trend
2023-06-13,73.36,73.86,72.87,73.0,312971,-0.36,0.99,-0.49,1.36,0.5,70.15,70.54,0.6,0.48,0.13,83424156,11.2,53.33,25.0,1.0,28.33,Weak Buy Signal,74.85,70.15,65.44,0.13,54.55,Target Volume,Expected Range,9.53,Absent or Weak Trend
2023-06-12,73.32,73.64,72.81,73.19,420267,-0.13,0.83,-0.18,1.13,0.41,70.03,70.46,0.61,0.44,0.16,83737127,10.74,55.0,0.0,1.0,55.0,Weak Buy Signal,74.81,70.03,65.25,0.14,54.74,Target Volume,Expected Range,9.5,Absent or Weak Trend
2023-06-09,73.53,73.71,72.59,73.21,536638,-0.32,1.12,-0.44,1.53,0.56,69.94,70.37,0.58,0.4,0.18,84157394,10.74,56.67,0.0,1.0,56.67,Weak Buy Signal,74.69,69.94,65.2,0.14,54.76,Target Volume,Expected Range,9.48,Absent or Weak Trend
2023-06-08,73.31,74.44,73.09,73.76,359220,0.45,1.34,0.61,1.82,0.67,69.81,70.28,0.55,0.36,0.19,84694032,11.96,58.33,1.67,1.0,56.67,Weak Buy Signal,74.62,69.81,65.01,0.14,55.31,Target Volume,Expected Range,9.46,Absent or Weak Trend
2023-06-07,72.75,73.69,72.44,73.68,455296,0.93,1.25,1.26,1.7,0.63,69.73,70.17,0.43,0.31,0.12,84334812,10.52,60.0,3.33,1.0,56.67,Weak Buy Signal,74.44,69.73,65.01,0.14,55.25,Target Volume,Expected Range,9.41,Absent or Weak Trend
2023-06-06,72.15,73.14,71.94,72.58,394294,0.43,1.2,0.59,1.66,0.6,69.63,70.06,0.29,0.28,0.01,83879516,9.44,61.67,5.0,1.0,56.67,Weak Buy Signal,74.27,69.63,64.99,0.13,54.36,Target Volume,Expected Range,9.39,Absent or Weak Trend
2023-06-05,72.68,72.79,70.88,72.18,417394,-0.5,1.91,-0.69,2.65,0.96,69.56,69.97,0.21,0.28,-0.06,83485222,8.75,63.33,6.67,1.0,56.67,Weak Buy Signal,74.15,69.56,64.96,0.13,54.03,Target Volume,Expected Range,9.39,Absent or Weak Trend
