Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-10,1.47,1.47,1.25,1.31,67242,-0.16,0.22,-11.95,16.53,0.11,1.34,1.46,-0.04,-0.02,-0.02,19139933,12.53,56.67,1.67,1.0,55.0,Weak Buy Signal,1.66,1.34,1.02,0.48,45.56,Target Volume,Expected Range,9.82,Absent or Weak Trend
2023-08-09,1.21,1.38,1.21,1.38,48742,0.17,0.17,12.32,12.32,0.08,1.34,1.46,-0.04,-0.02,-0.03,19207175,11.14,0.0,3.33,-1.0,-3.33,High Volatility / Hold Signal,1.66,1.34,1.02,0.48,46.12,Target Volume,Expected Range,9.78,Absent or Weak Trend
2023-08-08,1.26,1.29,1.18,1.22,39384,-0.04,0.11,-3.28,9.02,0.06,1.34,1.47,-0.05,-0.01,-0.04,19158433,9.67,0.0,5.0,-1.0,-5.0,High Volatility / Hold Signal,1.67,1.34,1.02,0.49,44.59,Target Volume,Expected Range,9.75,Absent or Weak Trend
2023-08-07,1.33,1.33,1.21,1.26,21920,-0.07,0.12,-5.56,9.52,0.06,1.36,1.47,-0.04,-0.0,-0.04,19197817,10.26,0.0,6.67,-1.0,-6.67,High Volatility / Hold Signal,1.76,1.36,0.96,0.59,44.9,Target Volume,Expected Range,9.75,Absent or Weak Trend
2023-08-04,1.27,1.31,1.27,1.31,10385,0.04,0.04,3.05,3.05,0.02,1.38,1.48,-0.03,0.01,-0.04,19219737,11.46,0.0,8.33,-1.0,-8.33,High Volatility / Hold Signal,1.87,1.38,0.89,0.71,45.29,Target Volume,Expected Range,9.75,Absent or Weak Trend
2023-08-03,1.27,1.34,1.26,1.27,19513,0.0,0.08,0.0,6.3,0.04,1.4,1.49,-0.02,0.02,-0.04,19209352,11.46,1.67,10.0,-1.0,-8.33,High Volatility / Hold Signal,1.97,1.4,0.83,0.82,44.92,Target Volume,Expected Range,9.72,Absent or Weak Trend
2023-08-02,1.31,1.36,1.22,1.27,88997,-0.04,0.14,-3.15,11.02,0.07,1.43,1.49,-0.01,0.03,-0.04,19209352,11.46,3.33,11.67,-1.0,-8.33,High Volatility / Hold Signal,2.09,1.43,0.76,0.94,44.92,Target Volume,Expected Range,9.69,Absent or Weak Trend
2023-08-01,1.43,1.49,1.32,1.35,110522,-0.08,0.17,-5.93,12.59,0.08,1.45,1.5,0.01,0.04,-0.03,19298349,13.41,5.0,13.33,-1.0,-8.33,High Volatility / Hold Signal,2.18,1.45,0.72,1.01,45.52,Target Volume,Expected Range,9.66,Absent or Weak Trend
2023-07-31,1.45,1.51,1.42,1.42,23502,-0.03,0.09,-2.11,6.34,0.05,1.46,1.51,0.02,0.04,-0.02,19408871,15.39,6.67,15.0,-1.0,-8.33,High Volatility / Hold Signal,2.23,1.46,0.7,1.04,46.06,Target Volume,Expected Range,9.59,Absent or Weak Trend
2023-07-28,1.49,1.49,1.4,1.45,26910,-0.04,0.09,-2.76,6.21,0.05,1.48,1.51,0.03,0.05,-0.02,19432373,15.1,8.33,16.67,-1.0,-8.33,High Volatility / Hold Signal,2.26,1.48,0.69,1.06,46.29,Target Volume,Expected Range,9.5,Absent or Weak Trend
2023-07-27,1.49,1.66,1.44,1.49,23597,0.0,0.22,0.0,14.57,0.11,1.49,1.51,0.04,0.05,-0.01,19459283,15.89,10.0,18.33,-1.0,-8.33,High Volatility / Hold Signal,2.29,1.49,0.69,1.08,46.59,Target Volume,Expected Range,9.4,Absent or Weak Trend
2023-07-26,1.4,1.5,1.39,1.46,22776,0.06,0.11,4.11,7.53,0.06,1.5,1.51,0.05,0.06,-0.01,19435686,13.61,11.67,20.0,-1.0,-8.33,High Volatility / Hold Signal,2.3,1.5,0.69,1.08,46.33,Target Volume,Expected Range,9.29,Absent or Weak Trend
2023-07-25,1.52,1.53,1.4,1.44,60188,-0.08,0.13,-5.56,8.84,0.06,1.5,1.52,0.06,0.06,-0.0,19412910,13.8,13.33,21.67,-1.0,-8.33,High Volatility / Hold Signal,2.32,1.5,0.69,1.09,46.16,Target Volume,Expected Range,9.22,Absent or Weak Trend
2023-07-24,1.55,1.58,1.53,1.56,66555,0.01,0.05,0.64,3.21,0.03,1.51,1.52,0.07,0.06,0.01,19473098,16.33,15.0,23.33,-1.0,-8.33,High Volatility / Hold Signal,2.33,1.51,0.69,1.09,47.05,Target Volume,Expected Range,9.14,Absent or Weak Trend
2023-07-21,1.62,1.68,1.56,1.58,62021,-0.04,0.12,-2.53,7.59,0.06,1.51,1.52,0.08,0.06,0.02,19539653,16.92,16.67,25.0,-1.0,-8.33,High Volatility / Hold Signal,2.33,1.51,0.69,1.09,47.2,Target Volume,Expected Range,9.02,Absent or Weak Trend
2023-07-20,1.75,1.81,1.64,1.64,72920,-0.11,0.17,-6.71,10.36,0.08,1.51,1.51,0.08,0.05,0.03,19601674,18.49,18.33,26.67,-1.0,-8.33,High Volatility / Hold Signal,2.34,1.51,0.69,1.09,47.64,Target Volume,Expected Range,8.88,Absent or Weak Trend
2023-07-19,1.52,1.78,1.52,1.75,127354,0.23,0.26,13.14,14.86,0.13,1.52,1.51,0.08,0.04,0.03,19674594,18.08,20.0,28.33,-1.0,-8.33,High Volatility / Hold Signal,2.34,1.52,0.69,1.09,48.47,Target Volume,Expected Range,8.72,Absent or Weak Trend
2023-07-18,1.52,1.63,1.51,1.61,184478,0.09,0.12,5.59,7.45,0.06,1.52,1.5,0.06,0.04,0.03,19547240,16.02,21.67,30.0,-1.0,-8.33,High Volatility / Hold Signal,2.34,1.52,0.69,1.09,47.33,Target Volume,Expected Range,8.56,Absent or Weak Trend
