Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-16,1.51,1.51,1.47,1.51,10120,-0.0,0.04,-0.07,2.65,0.02,-1
2023-08-15,1.62,1.62,1.56,1.57,8243,-0.05,0.06,-3.18,3.82,0.03,1
2023-08-14,1.62,1.62,1.54,1.54,6049,-0.08,0.08,-5.19,5.19,0.04,-1
2023-08-11,1.66,1.66,1.46,1.65,5536,-0.01,0.2,-0.64,12.13,0.1,1
2023-08-10,1.56,1.61,1.48,1.6,8243,0.04,0.13,2.27,8.23,0.07,1
2023-08-09,1.57,1.57,1.49,1.54,8472,-0.03,0.08,-1.97,5.2,0.04,1
2023-08-08,1.57,1.59,1.48,1.51,4975,-0.06,0.11,-3.97,7.28,0.06,1
2023-08-07,1.59,1.62,1.37,1.47,23053,-0.12,0.25,-8.16,17.01,0.12,-1
2023-08-04,1.68,1.69,1.61,1.61,71283,-0.07,0.08,-4.35,4.97,0.04,-1
2023-08-03,1.8,1.84,1.74,1.74,11631,-0.06,0.1,-3.45,5.75,0.05,-1
2023-08-02,1.85,1.9,1.7,1.85,35238,0.0,0.2,0.19,10.85,0.1,-1
2023-08-01,1.88,1.98,1.82,1.93,72797,0.05,0.16,2.49,8.3,0.08,1
2023-07-31,1.86,1.94,1.8,1.81,67651,-0.05,0.14,-2.76,7.73,0.07,-1
2023-07-28,1.87,1.94,1.86,1.86,4941,-0.01,0.08,-0.34,4.3,0.04,-1
2023-07-27,1.92,1.92,1.87,1.92,2937,0.0,0.05,0.01,2.6,0.02,-1
2023-07-26,1.86,1.95,1.86,1.94,3752,0.08,0.09,4.12,4.63,0.04,1
2023-07-25,1.88,1.98,1.86,1.87,7643,-0.01,0.12,-0.53,6.41,0.06,-1
2023-07-24,1.95,1.95,1.89,1.9,7138,-0.05,0.06,-2.63,3.15,0.03,-1
2023-07-21,1.94,1.98,1.91,1.97,8904,0.03,0.07,1.52,3.55,0.04,1
2023-07-20,1.97,1.97,1.86,1.96,11599,-0.01,0.11,-0.52,5.61,0.05,1
2023-07-19,1.97,1.97,1.89,1.91,12128,-0.06,0.08,-3.03,4.18,0.04,-1
2023-07-18,1.87,1.99,1.87,1.99,8204,0.12,0.12,6.03,6.03,0.06,1
2023-07-17,1.94,2.02,1.88,1.92,12176,-0.02,0.14,-1.04,7.28,0.07,-1
2023-07-14,2.0,2.02,1.86,1.96,19516,-0.04,0.16,-2.04,7.96,0.08,-1
2023-07-13,1.91,2.05,1.85,2.02,34990,0.11,0.2,5.45,9.9,0.1,1
2023-07-12,2.01,2.04,1.93,1.98,39122,-0.03,0.11,-1.54,5.56,0.06,-1
2023-07-11,1.92,2.01,1.91,2.01,35274,0.09,0.1,4.48,4.98,0.05,-1
2023-07-10,1.93,2.05,1.84,2.04,155969,0.11,0.21,5.39,10.29,0.1,1
2023-07-07,2.0,2.03,1.84,1.92,297600,-0.08,0.19,-4.17,9.9,0.09,-1
2023-07-06,2.03,2.62,1.92,2.11,6712939,0.08,0.7,3.79,33.18,0.35,1
2023-07-05,1.86,1.89,1.8,1.86,5413,0.0,0.08,0.0,4.57,0.04,-1
2023-07-03,1.87,1.87,1.82,1.86,3918,-0.01,0.06,-0.54,2.96,0.03,1
2023-06-30,1.87,1.87,1.83,1.84,1821,-0.04,0.04,-1.91,2.18,0.02,1
