Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-10,2.04,2.08,2.01,2.01,4459,-0.03,0.07,-1.51,3.47,0.04,-1
2023-08-09,2.0,2.06,2.0,2.02,12204,0.01,0.06,0.74,3.18,0.03,-1
2023-08-08,2.0,2.09,2.0,2.09,4044,0.09,0.09,4.18,4.31,0.04,1
2023-08-07,2.06,2.11,2.01,2.07,5008,0.01,0.1,0.48,4.83,0.05,1
2023-08-04,2.07,2.07,1.99,2.05,7014,-0.02,0.08,-1.14,4.06,0.04,1
2023-08-03,2.06,2.07,1.88,1.94,22105,-0.12,0.19,-6.19,9.79,0.09,-1
2023-08-02,2.09,2.14,2.02,2.14,6521,0.05,0.12,2.36,5.61,0.06,1
2023-08-01,2.14,2.14,2.04,2.06,3088,-0.07,0.1,-3.63,4.84,0.05,1
2023-07-31,2.08,2.09,2.03,2.03,1960,-0.05,0.06,-2.46,2.96,0.03,-1
2023-07-28,2.1,2.1,2.1,2.1,157,0.0,0.0,0.0,0.0,0.0,1
2023-07-27,2.1,2.14,2.03,2.06,28282,-0.04,0.11,-1.94,5.34,0.06,-1
2023-07-26,2.06,2.17,2.04,2.14,7169,0.08,0.13,3.74,6.07,0.06,1
2023-07-25,2.12,2.43,2.07,2.07,14833,-0.05,0.36,-2.2,17.36,0.18,1
2023-07-24,2.1,2.11,2.0,2.0,862,-0.1,0.1,-4.75,5.2,0.05,-1
2023-07-21,2.04,2.05,2.0,2.05,2172,0.01,0.05,0.48,2.43,0.02,1
2023-07-20,2.03,2.04,2.03,2.04,1086,0.01,0.01,0.49,0.49,0.01,-1
2023-07-19,2.04,2.1,2.01,2.06,9739,0.02,0.09,0.97,4.37,0.05,-1
2023-07-18,2.13,2.13,2.1,2.1,750,-0.02,0.02,-1.19,1.19,0.01,-1
2023-07-17,2.13,2.15,2.08,2.14,3839,0.01,0.07,0.47,3.27,0.03,1
2023-07-14,2.04,2.14,2.02,2.03,3595,-0.01,0.12,-0.49,6.16,0.06,-1
2023-07-13,1.96,2.14,1.96,2.14,6344,0.18,0.18,8.41,8.41,0.09,-1
2023-07-12,2.05,2.15,2.05,2.15,3000,0.1,0.1,4.65,4.65,0.05,1
2023-07-11,2.06,2.09,1.95,2.05,6493,-0.01,0.14,-0.49,6.89,0.07,1
2023-07-10,2.12,2.12,2.04,2.04,4901,-0.08,0.08,-3.92,3.92,0.04,-1
2023-07-07,2.15,2.19,2.09,2.15,5311,0.0,0.1,0.0,4.65,0.05,-1
2023-07-06,2.07,2.15,2.07,2.15,1539,0.08,0.08,3.72,3.72,0.04,1
2023-07-05,2.08,2.08,2.08,2.08,159,0.0,0.0,0.0,0.0,0.0,-1
2023-07-03,2.05,2.11,2.05,2.08,4137,0.04,0.06,1.68,2.88,0.03,-1
