Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-11,0.14,0.14,0.14,0.14,371,0.0,0.0,0.0,0.0,0.0,-1
2023-08-10,0.14,0.14,0.14,0.14,4553,0.0,0.0,0.0,0.0,0.0,-1
2023-08-09,0.14,0.14,0.14,0.14,595,0.0,0.0,0.0,0.0,0.0,-1
2023-08-08,0.14,0.14,0.14,0.14,3489,0.0,0.0,0.0,0.0,0.0,-1
2023-08-07,0.13,0.16,0.13,0.16,544,0.03,0.03,18.75,18.75,0.02,-1
2023-08-04,0.19,0.19,0.19,0.19,142,0.0,0.0,0.0,0.0,0.0,1
2023-08-03,0.17,0.18,0.13,0.16,4529,-0.01,0.05,-5.53,30.63,0.02,-1
2023-08-02,0.17,0.17,0.17,0.17,142,0.0,0.0,0.0,0.0,0.0,-1
2023-08-01,0.14,0.17,0.14,0.17,1039,0.03,0.03,16.94,16.94,0.01,-1
2023-07-31,0.21,0.21,0.16,0.18,899,-0.03,0.05,-15.78,26.89,0.02,1
2023-07-28,0.15,0.15,0.15,0.15,173,0.0,0.0,0.0,0.0,0.0,-1
2023-07-27,0.16,0.16,0.16,0.16,101,0.0,0.0,0.0,0.0,0.0,1
2023-07-26,0.23,0.23,0.12,0.15,11201,-0.08,0.12,-55.47,77.87,0.06,-1
2023-07-25,0.14,0.2,0.09,0.17,2961,0.03,0.11,16.49,66.07,0.06,1
2023-07-24,0.14,0.16,0.14,0.16,509,0.02,0.02,12.5,12.5,0.01,-1
2023-07-21,0.18,0.18,0.18,0.18,101,0.0,0.0,0.0,0.0,0.0,1
2023-07-20,0.12,0.21,0.08,0.16,8197,0.05,0.13,27.84,76.84,0.06,-1
2023-07-19,0.16,0.24,0.12,0.19,1933,0.03,0.12,16.48,61.95,0.06,1
2023-07-18,0.18,0.18,0.18,0.18,92,0.0,0.0,0.0,0.0,0.0,-1
2023-07-17,0.15,0.18,0.15,0.18,727,0.03,0.03,16.62,16.78,0.02,-1
2023-07-14,0.23,0.23,0.18,0.19,4363,-0.04,0.05,-20.63,26.63,0.03,-1
2023-07-13,0.15,0.2,0.15,0.2,950,0.05,0.05,23.5,27.45,0.03,-1
2023-07-12,0.22,0.22,0.21,0.21,399,-0.01,0.01,-4.71,4.71,0.0,1
2023-07-11,0.18,0.18,0.15,0.15,658,-0.03,0.03,-21.03,21.03,0.02,-1
2023-07-10,0.16,0.16,0.16,0.16,499,0.0,0.0,0.0,0.0,0.0,-1
2023-07-07,0.17,0.17,0.17,0.17,100,0.0,0.0,0.0,0.0,0.0,-1
2023-07-06,0.19,0.19,0.17,0.17,1837,-0.02,0.02,-8.7,9.55,0.01,-1
2023-07-05,0.2,0.2,0.2,0.2,198,0.0,0.0,0.0,0.0,0.0,-1
2023-07-03,0.19,0.2,0.19,0.2,1620,0.01,0.01,5.0,5.0,0.0,1
2023-06-30,0.19,0.19,0.19,0.19,517,0.0,0.0,0.0,0.0,0.0,-1
2023-06-29,0.17,0.2,0.17,0.2,1503,0.03,0.03,15.0,15.0,0.02,1
2023-06-28,0.16,0.16,0.16,0.16,5661,0.0,0.0,0.0,0.0,0.0,-1
