Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-18,36.12,38.16,35.95,37.53,4918220,1.41,2.21,3.76,5.89,1.1,1
2023-07-17,35.96,36.35,35.7,35.76,3640725,-0.2,0.65,-0.56,1.82,0.32,1
2023-07-14,36.64,36.68,35.36,35.74,3526477,-0.9,1.32,-2.52,3.69,0.66,-1
2023-07-13,35.87,36.45,35.68,36.18,4087266,0.31,0.77,0.86,2.13,0.39,1
2023-07-12,37.09,37.26,35.82,35.88,3896834,-1.21,1.44,-3.37,4.01,0.72,-1
2023-07-11,36.0,36.65,35.55,36.57,3009379,0.57,1.1,1.56,3.01,0.55,1
2023-07-10,36.05,36.56,35.81,35.82,4619353,-0.23,0.75,-0.64,2.09,0.38,-1
2023-07-07,34.87,37.18,34.81,36.75,6363623,1.88,2.37,5.12,6.45,1.18,1
2023-07-06,34.83,34.92,33.69,34.88,3581701,0.05,1.22,0.14,3.51,0.61,-1
2023-07-05,35.61,35.75,34.95,35.21,3991517,-0.4,0.8,-1.14,2.27,0.4,-1
2023-07-03,34.94,36.18,34.9,35.74,2039269,0.8,1.28,2.24,3.6,0.64,1
2023-06-30,35.09,35.57,34.74,35.0,4141394,-0.09,0.83,-0.26,2.37,0.41,1
2023-06-29,34.12,34.82,33.97,34.78,2458308,0.66,0.85,1.9,2.46,0.43,1
2023-06-28,34.58,34.7,33.88,33.93,3194922,-0.65,0.82,-1.92,2.42,0.41,-1
2023-06-27,34.2,34.78,33.32,34.74,3583560,0.54,1.46,1.55,4.2,0.73,1
2023-06-26,34.56,34.9,34.23,34.35,3461776,-0.21,0.67,-0.61,1.95,0.34,1
2023-06-23,34.63,34.63,33.94,34.21,5593875,-0.42,0.69,-1.23,2.02,0.35,-1
2023-06-22,35.42,35.62,34.64,35.09,2985461,-0.33,0.98,-0.94,2.79,0.49,-1
2023-06-21,34.74,35.86,34.63,35.5,4106216,0.76,1.23,2.14,3.46,0.61,1
2023-06-20,35.4,35.4,34.24,34.77,3906600,-0.63,1.16,-1.81,3.32,0.58,-1
2023-06-16,35.43,35.93,34.86,35.82,12261053,0.39,1.07,1.09,2.99,0.54,1
2023-06-15,35.06,35.72,35.06,35.28,3330246,0.22,0.66,0.62,1.87,0.33,1
2023-06-14,36.06,36.18,34.42,34.99,4273322,-1.07,1.76,-3.06,5.03,0.88,-1
2023-06-13,35.83,36.6,35.5,36.26,6273439,0.43,1.1,1.19,3.03,0.55,1
2023-06-12,34.75,35.91,34.67,35.52,4201792,0.77,1.24,2.17,3.49,0.62,1
2023-06-09,35.04,35.38,34.65,35.08,4019082,0.04,0.73,0.11,2.08,0.37,1
2023-06-08,36.15,36.58,34.44,34.93,4585024,-1.22,2.14,-3.49,6.14,1.07,-1
2023-06-07,34.95,36.43,34.85,36.28,4696391,1.33,1.58,3.67,4.36,0.79,1
2023-06-06,32.0,34.73,32.0,34.6,4123220,2.6,2.73,7.51,7.89,1.36,1
2023-06-05,33.35,33.86,32.85,33.24,4527709,-0.11,1.01,-0.33,3.04,0.5,1
2023-06-02,32.48,33.51,32.36,33.08,4538737,0.6,1.15,1.81,3.46,0.57,1
2023-06-01,32.2,32.25,31.44,31.71,4853256,-0.49,0.81,-1.55,2.55,0.4,-1
2023-05-31,32.77,32.77,31.76,31.96,10179476,-0.81,1.01,-2.53,3.16,0.51,-1
2023-05-30,33.5,33.67,32.6,33.35,4122490,-0.15,1.07,-0.45,3.21,0.53,-1
2023-05-26,34.76,34.92,33.76,33.89,3627718,-0.87,1.16,-2.57,3.42,0.58,-1
2023-05-25,34.68,35.02,34.02,34.17,3992152,-0.51,1.01,-1.49,2.94,0.5,-1
2023-05-24,35.67,35.79,34.94,35.16,3101834,-0.51,0.85,-1.45,2.42,0.43,-1
2023-05-23,35.93,36.11,35.3,35.68,2870209,-0.25,0.81,-0.7,2.27,0.4,-1
2023-05-22,35.9,36.35,35.23,35.98,2540947,0.08,1.12,0.22,3.11,0.56,1
2023-05-19,36.05,36.34,35.47,35.76,3193202,-0.29,0.87,-0.81,2.43,0.44,-1
2023-05-18,35.18,35.85,34.92,35.79,3845009,0.61,0.93,1.7,2.6,0.46,1
2023-05-17,35.2,35.31,34.46,35.23,7285179,0.03,0.85,0.09,2.41,0.43,-1
2023-05-16,36.14,36.4,35.19,35.26,3571230,-0.88,1.21,-2.5,3.45,0.61,-1
2023-05-15,35.71,36.6,35.52,36.6,4315711,0.89,1.08,2.43,2.95,0.54,1
2023-05-12,35.77,35.96,34.81,35.35,5842461,-0.42,1.15,-1.19,3.26,0.58,-1
2023-05-11,35.3,36.17,34.7,35.95,5997478,0.65,1.47,1.81,4.09,0.73,-1
2023-05-10,37.69,38.09,36.2,36.9,4202553,-0.79,1.89,-2.14,5.12,0.95,-1
2023-05-09,37.3,37.58,36.77,37.17,4847782,-0.13,0.81,-0.35,2.18,0.4,-1
2023-05-08,39.78,40.2,37.79,37.82,4325197,-1.96,2.41,-5.18,6.37,1.21,-1
2023-05-05,39.01,39.27,37.7,39.11,3616006,0.1,1.57,0.26,4.01,0.79,1
2023-05-04,42.08,42.38,38.3,38.59,7578468,-3.49,4.08,-9.04,10.56,2.04,-1
2023-05-03,43.85,43.85,42.84,42.87,3887527,-0.98,1.01,-2.29,2.36,0.5,-1
2023-05-02,43.25,43.99,41.8,43.33,3471163,0.08,2.19,0.18,5.05,1.1,-1
2023-05-01,43.01,43.84,42.65,43.59,3140429,0.58,1.19,1.33,2.73,0.6,1
2023-04-28,41.89,42.98,41.49,42.85,4501358,0.96,1.49,2.24,3.48,0.74,1
2023-04-27,42.57,42.64,41.84,42.08,3690098,-0.49,0.8,-1.16,1.9,0.4,-1
2023-04-26,42.74,42.9,41.84,42.18,3143459,-0.56,1.06,-1.33,2.51,0.53,-1
2023-04-25,43.53,43.7,42.3,42.67,3728620,-0.86,1.4,-2.02,3.28,0.7,-1
2023-04-24,43.93,44.44,43.67,44.43,4716195,0.5,0.77,1.13,1.73,0.38,1
2023-04-21,44.47,44.47,43.02,44.05,6752777,-0.42,1.45,-0.95,3.29,0.72,-1
2023-04-20,44.9,45.33,44.59,44.82,3437413,-0.08,0.74,-0.18,1.65,0.37,-1
2023-04-19,45.97,45.97,44.88,45.44,5942231,-0.53,1.09,-1.17,2.39,0.54,-1
2023-04-18,47.25,47.42,45.83,46.24,3119423,-1.01,1.59,-2.18,3.44,0.8,-1
2023-04-17,47.04,47.58,47.04,47.46,2051984,0.42,0.54,0.88,1.14,0.27,1
2023-04-14,47.71,48.92,46.93,46.99,2851153,-0.72,1.99,-1.53,4.23,1.0,1
2023-04-13,46.58,47.08,46.15,46.75,2316621,0.17,0.93,0.36,1.99,0.46,-1
2023-04-12,47.1,47.1,46.1,46.76,2551308,-0.34,1.0,-0.73,2.14,0.5,-1
2023-04-11,45.25,47.08,45.16,46.9,4961515,1.65,1.92,3.52,4.09,0.96,1
2023-04-10,44.1,45.94,43.88,44.91,3926993,0.81,2.06,1.8,4.59,1.03,1
2023-04-06,44.61,44.63,43.26,43.67,6379738,-0.94,1.37,-2.15,3.14,0.69,-1
2023-04-05,45.88,46.34,45.21,46.29,4479216,0.41,1.13,0.89,2.44,0.57,1
2023-04-04,46.5,46.5,44.79,46.19,4391381,-0.31,1.71,-0.67,3.7,0.86,-1
2023-04-03,46.7,47.3,45.76,46.56,3500064,-0.14,1.54,-0.3,3.31,0.77,1
2023-03-31,45.41,46.04,44.8,45.88,3594625,0.47,1.24,1.02,2.7,0.62,1
2023-03-30,45.9,46.25,45.06,45.26,2291090,-0.64,1.19,-1.41,2.63,0.59,1
