Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-18,3.61,3.77,3.54,3.57,1932877,-0.04,0.23,-1.12,6.58,0.12,-1
2023-07-17,3.69,3.79,3.51,3.59,1568777,-0.1,0.28,-2.79,7.8,0.14,-1
2023-07-14,3.7,3.7,3.55,3.65,1170192,-0.05,0.15,-1.37,4.11,0.08,-1
2023-07-13,3.79,3.81,3.67,3.69,1155485,-0.1,0.14,-2.71,3.74,0.07,-1
2023-07-12,3.76,3.88,3.64,3.79,2620213,0.03,0.24,0.79,6.33,0.12,1
2023-07-11,3.85,3.85,3.62,3.71,1532696,-0.14,0.23,-3.77,6.2,0.12,-1
2023-07-10,3.65,3.84,3.62,3.82,1805639,0.17,0.22,4.45,5.89,0.11,1
2023-07-07,3.48,3.68,3.48,3.65,2611173,0.17,0.2,4.66,5.48,0.1,1
2023-07-06,3.37,3.59,3.31,3.5,2066752,0.13,0.28,3.71,8.0,0.14,1
2023-07-05,3.37,3.49,3.29,3.44,1318181,0.07,0.2,2.03,5.81,0.1,1
2023-07-03,3.28,3.51,3.25,3.42,870156,0.14,0.26,4.09,7.6,0.13,1
2023-06-30,3.25,3.37,3.15,3.29,2456047,0.04,0.22,1.22,6.69,0.11,1
2023-06-29,3.5,3.51,3.15,3.2,2503500,-0.3,0.36,-9.37,11.25,0.18,-1
2023-06-28,3.52,3.61,3.42,3.48,2743903,-0.04,0.19,-1.15,5.46,0.09,-1
2023-06-27,3.23,3.62,3.12,3.59,3807311,0.36,0.5,10.03,13.79,0.25,1
2023-06-26,3.1,3.32,3.06,3.25,2914275,0.15,0.26,4.62,8.0,0.13,1
2023-06-23,3.21,3.23,3.01,3.08,5667232,-0.13,0.22,-4.22,7.11,0.11,-1
2023-06-22,3.22,3.33,3.15,3.24,3598990,0.02,0.18,0.62,5.56,0.09,-1
2023-06-21,3.42,3.42,2.98,3.28,8861501,-0.14,0.44,-4.27,13.57,0.22,-1
2023-06-20,3.46,3.55,3.33,3.44,7133319,-0.02,0.22,-0.58,6.39,0.11,-1
2023-06-16,3.89,3.92,3.32,3.47,17661941,-0.42,0.6,-12.1,17.29,0.3,-1
2023-06-15,3.71,4.6,3.64,3.89,31706239,0.18,0.96,4.63,24.58,0.48,-1
2023-06-14,9.23,9.6,9.09,9.55,3689766,0.32,0.51,3.35,5.34,0.25,1
2023-06-13,8.88,9.51,8.7,9.29,3739139,0.41,0.81,4.41,8.72,0.41,1
2023-06-12,8.61,9.62,8.58,8.81,3587861,0.2,1.04,2.27,11.8,0.52,1
2023-06-09,8.67,8.81,8.44,8.55,1700048,-0.12,0.37,-1.4,4.33,0.19,-1
2023-06-08,8.57,8.72,8.41,8.64,1959227,0.07,0.31,0.81,3.65,0.16,1
2023-06-07,8.83,8.95,8.52,8.56,2666308,-0.27,0.42,-3.15,4.96,0.21,-1
2023-06-06,8.62,8.87,8.19,8.83,2439637,0.21,0.68,2.38,7.7,0.34,1
2023-06-05,7.72,8.64,7.69,8.6,2336495,0.88,0.94,10.23,10.99,0.47,1
2023-06-02,7.63,7.77,7.53,7.76,919653,0.13,0.24,1.68,3.09,0.12,1
2023-06-01,7.51,7.96,7.38,7.57,1653983,0.06,0.58,0.79,7.66,0.29,1
2023-05-31,7.1,7.56,6.96,7.52,2094705,0.42,0.61,5.59,8.05,0.3,1
2023-05-30,7.59,7.81,6.86,7.07,1320555,-0.52,0.95,-7.36,13.51,0.48,-1
2023-05-26,7.49,7.76,7.36,7.57,883470,0.08,0.4,1.06,5.35,0.2,1
2023-05-25,7.43,7.51,7.16,7.44,1364397,0.01,0.35,0.13,4.7,0.17,1
2023-05-24,7.53,7.54,7.26,7.41,1168681,-0.12,0.28,-1.62,3.78,0.14,-1
