Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2019-08-07,25.01,25.07,24.96,25.01,72370,0.0,0.11,0.0,0.44,0.05,1
2019-08-06,25.01,25.06,24.96,24.98,71600,-0.03,0.1,-0.12,0.4,0.05,-1
2019-08-05,25.01,25.05,24.96,25.04,72510,0.03,0.09,0.12,0.36,0.04,1
2019-08-02,25.01,25.05,24.96,25.03,73230,0.02,0.09,0.08,0.36,0.04,1
2019-08-01,25.02,25.05,24.96,25.0,72760,-0.02,0.09,-0.08,0.36,0.04,-1
2019-07-31,25.0,25.05,24.96,25.0,78700,0.0,0.09,0.0,0.36,0.04,-1
2019-07-30,25.01,25.05,24.98,25.03,81590,0.02,0.07,0.08,0.28,0.04,-1
2019-07-29,25.1,25.1,25.1,25.1,12080,0.0,0.0,0.0,0.0,0.0,-1
2019-07-26,24.75,25.1,24.75,25.1,18000,0.35,0.35,1.39,1.39,0.18,1
2019-07-25,25.0,25.02,25.0,25.02,11880,0.02,0.02,0.08,0.08,0.01,-1
2019-07-24,26.0,26.0,26.0,26.0,10860,0.0,0.0,0.0,0.0,0.0,-1
2019-07-23,26.0,26.0,26.0,26.0,11270,0.0,0.0,0.0,0.0,0.0,-1
2019-07-22,26.0,26.0,26.0,26.0,9730,0.0,0.0,0.0,0.0,0.0,-1
2019-07-19,26.0,26.0,26.0,26.0,8280,0.0,0.0,0.0,0.0,0.0,-1
2019-07-18,26.0,26.0,26.0,26.0,9790,0.0,0.0,0.0,0.0,0.0,-1
2019-07-17,26.0,26.0,26.0,26.0,10270,0.0,0.0,0.0,0.0,0.0,-1
2019-07-16,26.0,26.0,26.0,26.0,9810,0.0,0.0,0.0,0.0,0.0,-1
2019-07-12,26.0,26.0,26.0,26.0,9220,0.0,0.0,0.0,0.0,0.0,-1
2019-07-11,26.0,26.0,26.0,26.0,8870,0.0,0.0,0.0,0.0,0.0,-1
2019-07-10,26.0,26.0,26.0,26.0,9960,0.0,0.0,0.0,0.0,0.0,-1
2019-07-09,26.0,26.0,26.0,26.0,8780,0.0,0.0,0.0,0.0,0.0,-1
2019-07-08,26.0,26.0,26.0,26.0,2430,0.0,0.0,0.0,0.0,0.0,-1
2019-07-05,26.0,26.0,26.0,26.0,10030,0.0,0.0,0.0,0.0,0.0,-1
2019-07-03,26.0,26.0,26.0,26.0,7650,0.0,0.0,0.0,0.0,0.0,-1
2019-07-02,26.0,26.0,26.0,26.0,8440,0.0,0.0,0.0,0.0,0.0,-1
