Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-13,5.32,5.39,5.12,5.12,36473,-0.2,0.27,-3.91,5.27,0.13,-1
2023-07-12,5.15,5.37,5.07,5.3,27952,0.15,0.3,2.92,5.66,0.15,1
2023-07-11,5.07,5.2,5.04,5.11,13588,0.04,0.16,0.78,3.17,0.08,1
2023-07-10,5.03,5.15,5.03,5.09,8328,0.06,0.12,1.18,2.36,0.06,1
2023-07-07,5.12,5.15,5.01,5.02,37044,-0.1,0.14,-1.99,2.79,0.07,-1
2023-07-06,5.12,5.3,5.0,5.14,10072,0.02,0.3,0.39,5.84,0.15,-1
2023-07-05,5.24,5.24,5.11,5.14,3697,-0.1,0.13,-1.89,2.53,0.06,-1
2023-07-03,5.22,5.35,5.16,5.26,13222,0.04,0.19,0.76,3.61,0.09,1
2023-06-30,5.16,5.24,5.12,5.21,6241,0.05,0.12,0.96,2.3,0.06,1
2023-06-29,5.14,5.21,5.08,5.15,19137,0.01,0.13,0.19,2.52,0.06,-1
2023-06-28,5.22,5.22,5.04,5.2,13115,-0.02,0.18,-0.38,3.54,0.09,-1
2023-06-27,5.3,5.47,5.05,5.23,31418,-0.07,0.42,-1.34,8.03,0.21,-1
2023-06-26,5.5,5.54,5.11,5.3,81955,-0.2,0.43,-3.77,8.21,0.22,-1
2023-06-23,4.85,5.35,4.85,5.35,56965,0.5,0.5,9.35,9.35,0.25,1
2023-06-22,4.94,4.95,4.85,4.88,17902,-0.06,0.1,-1.23,2.05,0.05,-1
2023-06-21,4.9,5.05,4.82,5.05,12152,0.15,0.23,2.97,4.55,0.11,1
2023-06-20,4.81,4.9,4.81,4.85,31469,0.04,0.09,0.82,1.86,0.05,-1
2023-06-16,4.94,5.08,4.81,5.06,82202,0.12,0.27,2.37,5.34,0.14,1
2023-06-15,5.0,5.09,4.91,4.91,24350,-0.09,0.18,-1.83,3.66,0.09,-1
2023-06-14,4.99,5.04,4.92,4.95,25275,-0.04,0.12,-0.81,2.36,0.06,-1
2023-06-13,5.01,5.09,4.92,5.0,34731,-0.01,0.17,-0.2,3.4,0.08,-1
2023-06-12,4.9,5.12,4.9,5.0,29006,0.1,0.22,2.0,4.47,0.11,1
2023-06-09,4.97,5.03,4.87,4.87,38268,-0.1,0.16,-2.05,3.29,0.08,-1
2023-06-08,5.11,5.11,4.93,4.97,20309,-0.14,0.18,-2.82,3.62,0.09,-1
2023-06-07,5.09,5.15,5.02,5.08,16006,-0.01,0.13,-0.2,2.55,0.06,-1
2023-06-06,4.96,5.15,4.95,5.15,31785,0.19,0.2,3.69,3.88,0.1,1
2023-06-05,4.91,5.1,4.9,4.93,40372,0.02,0.2,0.41,4.05,0.1,-1
2023-06-02,4.98,5.18,4.91,5.1,18595,0.12,0.27,2.35,5.29,0.13,1
2023-06-01,4.9,4.99,4.85,4.98,19410,0.08,0.14,1.61,2.81,0.07,1
2023-05-31,4.88,5.07,4.8,4.83,30693,-0.05,0.27,-1.04,5.6,0.14,-1
2023-05-30,5.05,5.13,4.91,4.91,16382,-0.14,0.22,-2.85,4.48,0.11,-1
2023-05-26,5.02,5.24,5.02,5.17,21014,0.15,0.22,2.98,4.33,0.11,1
2023-05-25,5.32,5.59,4.8,4.97,59292,-0.35,0.79,-6.93,15.86,0.39,-1
2023-05-24,5.22,5.48,5.08,5.26,12242,0.04,0.4,0.76,7.6,0.2,-1
2023-05-23,5.67,5.74,5.12,5.27,82482,-0.4,0.62,-7.59,11.76,0.31,-1
2023-05-22,5.69,5.93,5.65,5.74,104194,0.05,0.28,0.87,4.84,0.14,1
2023-05-19,5.34,5.58,5.2,5.46,96688,0.12,0.38,2.2,6.96,0.19,1
2023-05-18,5.41,5.51,4.76,5.09,116325,-0.32,0.75,-6.29,14.73,0.38,-1
2023-05-17,5.38,5.48,5.27,5.35,61256,-0.03,0.21,-0.56,3.84,0.1,-1
2023-05-16,5.33,5.53,5.3,5.4,76136,0.07,0.23,1.3,4.26,0.12,1
2023-05-15,5.48,5.7,5.22,5.38,187816,-0.1,0.48,-1.86,8.92,0.24,1
2023-05-12,5.5,5.52,5.11,5.14,45730,-0.36,0.41,-7.0,7.9,0.2,-1
2023-05-11,5.74,5.8,5.3,5.5,40989,-0.24,0.5,-4.28,9.09,0.25,-1
2023-05-10,5.69,5.9,5.48,5.78,98468,0.09,0.42,1.56,7.21,0.21,1
2023-05-09,5.85,5.94,5.45,5.69,61152,-0.16,0.49,-2.81,8.61,0.25,-1
2023-05-08,4.96,5.83,4.96,5.83,132283,0.87,0.87,14.92,14.92,0.44,1
2023-05-05,4.82,4.95,4.79,4.87,29857,0.05,0.16,1.03,3.29,0.08,1
2023-05-04,4.71,4.91,4.67,4.81,34116,0.1,0.24,2.08,4.99,0.12,1
2023-05-03,4.99,4.99,4.61,4.73,147712,-0.26,0.38,-5.5,8.03,0.19,1
2023-05-02,4.85,4.94,4.6,4.68,42311,-0.17,0.34,-3.63,7.26,0.17,-1
2023-05-01,4.77,4.94,4.77,4.84,18688,0.07,0.17,1.45,3.51,0.09,1
2023-04-28,4.96,4.98,4.79,4.81,19364,-0.15,0.19,-3.12,3.95,0.1,-1
2023-04-27,4.68,5.06,4.66,4.88,23874,0.2,0.4,4.1,8.3,0.2,1
2023-04-26,4.93,5.0,4.66,4.68,18244,-0.25,0.34,-5.45,7.27,0.17,-1
2023-04-25,4.84,4.98,4.78,4.78,47610,-0.06,0.2,-1.26,4.16,0.1,1
2023-04-24,4.73,5.04,4.72,4.72,8081,-0.01,0.32,-0.21,6.79,0.16,-1
2023-04-21,4.91,4.91,4.72,4.83,34979,-0.08,0.19,-1.66,3.98,0.1,-1
2023-04-20,5.03,5.09,4.87,4.9,13557,-0.13,0.22,-2.65,4.49,0.11,-1
2023-04-19,5.08,5.26,4.98,5.0,67832,-0.08,0.28,-1.6,5.6,0.14,1
2023-04-18,5.1,5.2,4.98,4.99,11953,-0.11,0.22,-2.2,4.41,0.11,-1
2023-04-17,4.93,5.25,4.93,5.05,17915,0.12,0.32,2.38,6.34,0.16,1
2023-04-14,5.08,5.12,5.0,5.01,31080,-0.07,0.12,-1.3,2.49,0.06,-1
2023-04-13,4.81,5.14,4.81,5.04,60547,0.24,0.34,4.66,6.64,0.17,1
2023-04-12,5.14,5.31,4.75,4.81,93601,-0.33,0.56,-6.86,11.66,0.28,-1
2023-04-11,5.17,5.67,5.12,5.16,154510,-0.01,0.55,-0.19,10.61,0.27,-1
2023-04-10,5.24,5.64,5.17,5.23,44689,-0.01,0.47,-0.19,8.99,0.23,-1
2023-04-06,5.28,5.5,5.2,5.35,44004,0.07,0.3,1.33,5.61,0.15,1
2023-04-05,5.12,5.55,4.9,5.22,51491,0.1,0.65,1.92,12.45,0.32,1
2023-04-04,5.44,5.48,5.13,5.16,29576,-0.28,0.35,-5.38,6.86,0.18,-1
2023-04-03,5.31,5.7,5.31,5.44,53132,0.13,0.39,2.39,7.17,0.2,1
2023-03-31,5.1,5.55,5.07,5.37,65869,0.27,0.48,5.03,8.94,0.24,1
2023-03-30,5.3,5.3,5.07,5.19,27193,-0.11,0.23,-2.12,4.43,0.11,-1
2023-03-29,5.11,5.3,5.11,5.22,17981,0.11,0.19,2.2,3.64,0.09,1
2023-03-28,4.9,5.3,4.9,5.07,83704,0.17,0.4,3.35,7.86,0.2,1
2023-03-27,4.92,4.97,4.7,4.81,60842,-0.11,0.27,-2.29,5.61,0.13,-1
2023-03-24,5.0,5.11,4.75,4.91,74846,-0.09,0.36,-1.83,7.33,0.18,-1
2023-03-23,5.03,5.22,5.01,5.12,218912,0.09,0.21,1.76,4.1,0.1,1
2023-03-22,5.31,5.35,5.0,5.02,71390,-0.29,0.35,-5.78,6.97,0.17,-1
2023-03-21,5.04,5.37,4.88,5.37,204878,0.33,0.49,6.15,9.12,0.25,1
2023-03-20,4.58,4.91,4.24,4.85,157522,0.27,0.67,5.57,13.81,0.33,1
2023-03-17,4.55,4.68,4.5,4.58,50804,0.03,0.18,0.66,3.93,0.09,-1
2023-03-16,4.96,5.18,4.51,4.66,137566,-0.3,0.67,-6.44,14.38,0.34,-1
2023-03-15,5.38,5.38,5.1,5.2,39618,-0.18,0.28,-3.46,5.38,0.14,-1
2023-03-14,5.0,5.38,4.84,5.38,78488,0.38,0.54,7.06,10.04,0.27,1
2023-03-13,4.73,5.18,4.7,4.95,99026,0.22,0.48,4.44,9.7,0.24,1
2023-03-10,5.42,5.42,4.75,4.8,180485,-0.62,0.67,-12.92,13.96,0.34,1
2023-03-09,0.55,0.55,0.54,0.54,757750,-0.01,0.02,-2.77,3.72,0.01,-1
2023-03-08,0.57,0.59,0.54,0.55,649107,-0.02,0.05,-3.84,8.74,0.02,-1
2023-03-07,0.58,0.61,0.54,0.57,1104961,-0.01,0.07,-2.17,12.42,0.04,1
2023-03-06,0.55,0.58,0.52,0.55,1873078,0.0,0.06,0.76,10.91,0.03,1
2023-03-03,0.48,0.48,0.47,0.48,121671,0.0,0.02,0.0,3.4,0.01,-1
2023-03-02,0.47,0.48,0.47,0.48,35383,0.01,0.02,1.95,3.28,0.01,1
2023-03-01,0.46,0.51,0.45,0.46,348622,0.0,0.06,0.78,12.12,0.03,-1
2023-02-28,0.48,0.48,0.45,0.46,362736,-0.02,0.03,-3.91,6.15,0.01,-1
2023-02-27,0.48,0.5,0.46,0.48,328576,0.0,0.03,0.0,7.27,0.02,-1
2023-02-24,0.47,0.53,0.47,0.48,1701514,0.01,0.06,2.47,12.45,0.03,-1
2023-02-23,0.55,0.59,0.52,0.55,92214,0.0,0.07,0.02,12.02,0.03,-1
2023-02-22,0.52,0.56,0.52,0.55,561505,0.03,0.04,4.83,6.93,0.02,-1
2023-02-21,0.65,0.65,0.52,0.55,1530442,-0.1,0.13,-17.8,24.0,0.07,-1
2023-02-17,0.61,0.62,0.56,0.6,195730,-0.01,0.06,-1.67,9.98,0.03,-1
2023-02-16,0.54,0.62,0.51,0.6,1074561,0.06,0.11,10.0,17.69,0.05,1
2023-02-15,0.51,0.56,0.46,0.54,728431,0.03,0.1,5.01,19.37,0.05,1
2023-02-14,0.48,0.5,0.48,0.5,433486,0.02,0.02,4.58,4.98,0.01,1
2023-02-13,0.48,0.5,0.48,0.48,345426,-0.01,0.03,-1.23,5.22,0.01,-1
2023-02-10,0.52,0.52,0.48,0.48,740199,-0.04,0.04,-7.84,8.65,0.02,-1
2023-02-09,0.57,0.58,0.53,0.53,283207,-0.03,0.05,-6.37,9.76,0.03,-1
2023-02-08,0.6,0.6,0.52,0.54,192339,-0.06,0.08,-10.93,14.4,0.04,-1
2023-02-07,0.54,0.54,0.52,0.54,201408,-0.0,0.02,-0.76,3.73,0.01,-1
2023-02-06,0.58,0.59,0.54,0.54,194970,-0.04,0.05,-7.41,9.26,0.02,-1
2023-02-03,0.56,0.59,0.55,0.58,220603,0.02,0.04,3.03,6.75,0.02,1
2023-02-02,0.59,0.59,0.55,0.57,153974,-0.02,0.04,-3.75,7.03,0.02,-1
2023-02-01,0.55,0.57,0.54,0.57,146816,0.02,0.03,3.51,4.56,0.01,1
2023-01-31,0.56,0.57,0.56,0.56,77338,-0.0,0.01,-0.61,2.69,0.01,-1
2023-01-30,0.58,0.58,0.54,0.57,343356,-0.01,0.04,-2.39,7.55,0.02,-1
2023-01-27,0.58,0.6,0.54,0.57,463711,-0.01,0.06,-2.46,10.56,0.03,-1
2023-01-26,0.6,0.61,0.57,0.6,200960,-0.0,0.04,-0.03,6.34,0.02,1
2023-01-25,0.59,0.62,0.57,0.58,285585,-0.01,0.05,-2.06,8.18,0.02,-1
2023-01-24,0.62,0.62,0.58,0.61,291142,-0.01,0.04,-1.64,6.13,0.02,-1
2023-01-23,0.66,0.66,0.62,0.63,320875,-0.03,0.04,-4.93,5.6,0.02,-1
2023-01-20,0.66,0.66,0.62,0.65,210963,-0.01,0.04,-1.55,6.31,0.02,1
2023-01-19,0.62,0.65,0.62,0.64,331650,0.01,0.04,2.21,5.49,0.02,1
2023-01-18,0.62,0.67,0.6,0.62,771125,0.0,0.07,0.37,11.22,0.04,-1
2023-01-17,0.62,0.62,0.59,0.62,419765,-0.0,0.03,-0.65,5.45,0.02,1
2023-01-13,0.59,0.63,0.57,0.61,294819,0.02,0.06,2.89,9.85,0.03,1
2023-01-12,0.64,0.64,0.57,0.6,724932,-0.04,0.07,-7.47,11.75,0.04,-1
2023-01-11,0.63,0.63,0.6,0.62,259299,-0.01,0.03,-1.61,4.84,0.02,-1
2023-01-10,0.65,0.65,0.57,0.62,920354,-0.03,0.08,-5.37,12.95,0.04,-1
2023-01-09,0.57,0.66,0.55,0.66,1172218,0.09,0.11,13.81,16.34,0.05,1
2023-01-06,0.56,0.6,0.53,0.58,2641615,0.02,0.06,2.93,11.21,0.03,-1
2023-01-05,0.69,0.72,0.6,0.63,29354942,-0.06,0.12,-9.25,18.79,0.06,1
2023-01-04,0.46,0.52,0.46,0.52,1147900,0.05,0.06,10.68,11.42,0.03,1
2023-01-03,0.37,0.44,0.37,0.44,779432,0.07,0.07,15.64,15.64,0.03,1
2022-12-30,0.36,0.38,0.36,0.37,774767,0.01,0.02,1.62,4.82,0.01,-1
2022-12-29,0.36,0.39,0.36,0.37,610393,0.0,0.03,0.3,8.9,0.02,1
2022-12-28,0.37,0.38,0.36,0.36,439861,-0.0,0.02,-0.49,4.11,0.01,-1
2022-12-27,0.38,0.39,0.36,0.37,539759,-0.01,0.03,-3.23,6.79,0.01,-1
2022-12-23,0.38,0.38,0.38,0.38,182574,-0.0,0.01,-0.32,2.3,0.0,-1
2022-12-22,0.39,0.39,0.38,0.38,581317,-0.01,0.01,-2.11,3.92,0.01,-1
2022-12-21,0.4,0.4,0.38,0.39,232427,-0.01,0.02,-2.88,3.86,0.01,-1
2022-12-20,0.41,0.41,0.39,0.39,489901,-0.02,0.02,-5.13,6.38,0.01,-1
2022-12-19,0.42,0.43,0.4,0.4,1341049,-0.02,0.04,-5.06,9.67,0.02,-1
2022-12-16,0.43,0.45,0.42,0.42,1038885,-0.02,0.03,-4.12,8.19,0.02,-1
2022-12-15,0.44,0.45,0.43,0.44,1048320,0.0,0.02,0.0,4.55,0.01,-1
2022-12-14,0.44,0.45,0.44,0.44,328083,0.0,0.01,0.0,2.89,0.01,-1
2022-12-13,0.46,0.48,0.44,0.44,1309034,-0.02,0.04,-4.32,10.23,0.02,-1
2022-12-12,0.43,0.52,0.43,0.49,1944765,0.06,0.09,12.57,18.3,0.05,1
2022-12-09,0.43,0.44,0.43,0.43,222798,0.0,0.01,0.0,2.28,0.0,-1
2022-12-08,0.44,0.44,0.43,0.43,167162,-0.01,0.01,-2.05,2.28,0.0,-1
2022-12-07,0.44,0.45,0.43,0.44,390679,-0.0,0.02,-0.69,4.6,0.01,-1
2022-12-06,0.45,0.46,0.44,0.44,213249,-0.01,0.02,-2.74,5.18,0.01,-1
2022-12-05,0.45,0.46,0.44,0.45,151761,-0.0,0.02,-0.16,5.45,0.01,-1
2022-12-02,0.44,0.47,0.44,0.46,358053,0.02,0.03,4.31,6.81,0.02,1
2022-12-01,0.44,0.45,0.44,0.44,496863,-0.0,0.02,-0.11,3.43,0.01,-1
2022-11-30,0.44,0.46,0.44,0.44,149839,0.0,0.02,0.52,4.52,0.01,-1
2022-11-29,0.45,0.45,0.44,0.45,165929,0.0,0.01,0.0,2.22,0.0,1
2022-11-28,0.45,0.46,0.44,0.44,225298,-0.0,0.02,-0.27,3.37,0.01,-1
2022-11-25,0.46,0.46,0.45,0.45,17972,-0.01,0.01,-3.07,3.09,0.01,-1
2022-11-23,0.45,0.46,0.44,0.45,106827,-0.0,0.02,-0.9,3.36,0.01,-1
2022-11-22,0.45,0.46,0.45,0.45,169244,0.0,0.01,0.0,3.24,0.01,-1
2022-11-21,0.44,0.46,0.44,0.45,211267,0.01,0.02,1.35,4.26,0.01,1
2022-11-18,0.44,0.46,0.44,0.44,243392,0.01,0.03,1.16,6.82,0.02,-1
2022-11-17,0.45,0.47,0.44,0.44,265809,-0.0,0.03,-1.09,7.67,0.02,-1
2022-11-16,0.44,0.46,0.44,0.44,157433,0.0,0.02,0.18,3.82,0.01,-1
2022-11-15,0.45,0.47,0.44,0.45,188332,0.0,0.03,0.0,7.64,0.02,-1
2022-11-14,0.48,0.48,0.44,0.45,248036,-0.03,0.03,-5.73,7.73,0.02,-1
2022-11-11,0.44,0.47,0.44,0.47,132986,0.03,0.03,7.43,7.43,0.02,1
2022-11-10,0.43,0.45,0.43,0.44,147384,0.01,0.02,2.14,4.43,0.01,1
2022-11-09,0.44,0.45,0.43,0.43,498527,-0.01,0.02,-2.3,4.65,0.01,-1
2022-11-08,0.44,0.45,0.44,0.44,102257,0.0,0.01,0.92,2.25,0.01,-1
2022-11-07,0.44,0.46,0.43,0.45,294144,0.01,0.03,2.4,6.71,0.01,-1
2022-11-04,0.45,0.46,0.44,0.46,193275,0.01,0.02,1.89,5.39,0.01,1
2022-11-03,0.45,0.46,0.44,0.45,156214,-0.0,0.02,-0.18,3.58,0.01,-1
2022-11-02,0.46,0.46,0.45,0.45,153638,-0.01,0.02,-2.31,3.49,0.01,-1
2022-11-01,0.45,0.46,0.45,0.45,100977,-0.0,0.01,-0.44,2.2,0.0,-1
2022-10-31,0.44,0.46,0.44,0.45,101622,0.01,0.02,1.81,3.54,0.01,-1
2022-10-28,0.44,0.46,0.44,0.45,101545,0.01,0.02,1.16,3.54,0.01,-1
2022-10-27,0.45,0.46,0.44,0.45,72124,-0.0,0.02,-0.34,3.58,0.01,-1
2022-10-26,0.44,0.45,0.44,0.45,160260,0.0,0.0,0.38,0.83,0.0,1
2022-10-25,0.44,0.45,0.44,0.44,71385,0.0,0.01,0.7,2.19,0.0,-1
2022-10-24,0.44,0.45,0.44,0.44,129939,-0.0,0.01,-0.07,2.21,0.0,-1
2022-10-21,0.46,0.46,0.44,0.45,228861,-0.01,0.02,-2.22,3.78,0.01,-1
2022-10-20,0.45,0.46,0.44,0.46,103910,0.01,0.02,2.42,4.14,0.01,1
2022-10-19,0.46,0.46,0.44,0.45,313424,-0.01,0.02,-1.96,4.47,0.01,-1
2022-10-18,0.47,0.48,0.42,0.45,580602,-0.02,0.06,-4.38,12.4,0.03,-1
2022-10-17,0.48,0.5,0.46,0.47,350966,-0.01,0.04,-1.28,9.49,0.02,1
2022-10-14,0.46,0.46,0.46,0.46,162209,0.0,0.0,0.55,1.07,0.0,-1
2022-10-13,0.46,0.48,0.46,0.46,334301,-0.0,0.02,-0.98,4.59,0.01,-1
2022-10-12,0.47,0.47,0.46,0.46,156807,-0.01,0.02,-1.82,3.27,0.01,-1
2022-10-11,0.46,0.48,0.46,0.47,344556,0.01,0.02,3.12,5.24,0.01,-1
2022-10-10,0.47,0.49,0.46,0.47,221000,0.0,0.03,0.13,6.71,0.02,-1
2022-10-07,0.49,0.49,0.47,0.47,162528,-0.02,0.02,-4.22,4.46,0.01,-1
2022-10-06,0.51,0.51,0.49,0.5,37845,-0.01,0.02,-2.64,3.82,0.01,-1
2022-10-05,0.49,0.52,0.48,0.52,159864,0.02,0.04,4.17,7.53,0.02,1
2022-10-04,0.48,0.51,0.48,0.5,169079,0.02,0.03,4.0,6.86,0.02,-1
2022-10-03,0.48,0.5,0.47,0.5,110125,0.02,0.03,3.03,5.66,0.01,-1
2022-09-30,0.47,0.5,0.46,0.5,250558,0.03,0.04,5.6,8.0,0.02,1
2022-09-29,0.48,0.49,0.47,0.48,88565,-0.0,0.02,-0.67,4.09,0.01,-1
2022-09-28,0.47,0.5,0.46,0.49,203842,0.02,0.03,3.67,7.19,0.02,-1
2022-09-27,0.5,0.51,0.47,0.49,470772,-0.01,0.04,-2.28,8.15,0.02,-1
2022-09-26,0.48,0.5,0.46,0.49,584959,0.01,0.04,2.19,8.1,0.02,-1
2022-09-23,0.48,0.49,0.46,0.49,612467,0.01,0.03,1.18,5.98,0.01,1
2022-09-22,0.48,0.5,0.47,0.48,480892,0.0,0.03,0.33,6.17,0.01,-1
2022-09-21,0.45,0.5,0.45,0.48,1396364,0.03,0.05,6.23,10.27,0.02,1
2022-09-20,0.47,0.47,0.45,0.45,2323961,-0.02,0.02,-3.82,5.3,0.01,-1
2022-09-19,0.46,0.48,0.46,0.47,400513,0.01,0.02,1.16,4.98,0.01,1
2022-09-16,0.49,0.49,0.44,0.46,1244555,-0.03,0.05,-5.98,11.7,0.03,-1
2022-09-15,0.5,0.51,0.49,0.49,571440,-0.01,0.02,-1.02,4.55,0.01,-1
2022-09-14,0.5,0.51,0.49,0.5,516063,-0.0,0.02,-0.02,4.0,0.01,-1
