Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-25,0.98,0.99,0.84,0.87,347966,-0.11,0.15,-12.62,17.24,0.08,-1
2023-07-24,1.0,1.0,0.91,0.94,255417,-0.06,0.09,-6.33,9.55,0.04,-1
2023-07-21,1.0,1.02,0.99,0.99,147237,-0.0,0.03,-0.41,2.7,0.01,-1
2023-07-20,1.01,1.03,0.98,1.0,110227,-0.01,0.05,-1.0,5.0,0.03,-1
2023-07-19,1.01,1.04,1.0,1.01,246984,0.0,0.04,0.0,3.96,0.02,-1
2023-07-18,1.04,1.05,0.98,1.01,96792,-0.03,0.07,-2.97,6.67,0.03,1
2023-07-17,1.0,1.04,0.98,1.0,104134,0.0,0.06,0.0,6.0,0.03,-1
2023-07-14,1.0,1.03,1.0,1.0,232878,0.0,0.03,0.5,3.03,0.02,-1
2023-07-13,0.97,1.01,0.96,1.01,138544,0.04,0.05,3.86,4.92,0.02,1
2023-07-12,0.97,0.99,0.94,0.97,303141,0.0,0.05,0.0,4.96,0.02,-1
2023-07-11,0.94,0.97,0.92,0.97,313147,0.03,0.05,3.21,5.36,0.03,1
2023-07-10,0.94,0.95,0.91,0.93,177703,-0.01,0.04,-1.05,4.25,0.02,1
2023-07-07,0.91,0.95,0.88,0.92,72338,0.01,0.07,1.09,7.33,0.03,1
2023-07-06,0.88,0.9,0.86,0.9,89687,0.02,0.05,1.99,5.14,0.02,-1
2023-07-05,0.89,0.91,0.88,0.9,172180,0.01,0.03,0.85,2.79,0.01,-1
2023-07-03,0.93,0.95,0.88,0.91,181201,-0.02,0.07,-2.63,7.7,0.03,-1
2023-06-30,0.92,1.0,0.9,0.94,817671,0.02,0.1,2.26,10.61,0.05,1
2023-06-29,0.81,0.91,0.81,0.9,602241,0.09,0.1,10.28,11.08,0.05,1
2023-06-28,0.83,0.85,0.81,0.82,650303,-0.01,0.04,-1.72,4.9,0.02,-1
2023-06-27,0.82,0.85,0.8,0.83,778010,0.01,0.05,1.2,5.98,0.02,-1
2023-06-26,0.82,0.84,0.8,0.83,337815,0.01,0.04,1.76,5.33,0.02,-1
2023-06-23,0.83,0.83,0.8,0.83,335637,-0.0,0.03,-0.01,3.43,0.01,-1
2023-06-22,0.88,0.88,0.82,0.83,312987,-0.05,0.06,-5.42,7.24,0.03,-1
2023-06-21,0.91,0.91,0.82,0.87,647486,-0.04,0.09,-4.23,10.32,0.05,-1
2023-06-20,0.95,0.96,0.91,0.93,201863,-0.02,0.05,-2.5,5.39,0.02,-1
2023-06-16,0.94,0.96,0.92,0.96,123858,0.02,0.04,2.24,4.37,0.02,1
2023-06-15,0.94,0.95,0.9,0.95,208634,0.0,0.05,0.35,5.25,0.02,1
2023-06-14,0.93,0.96,0.91,0.91,779757,-0.02,0.05,-2.31,5.32,0.02,-1
2023-06-13,1.0,1.03,0.93,0.94,3100635,-0.06,0.1,-6.72,10.16,0.05,-1
2023-06-12,1.01,1.03,0.98,1.02,248000,0.01,0.05,0.98,4.9,0.03,1
2023-06-09,0.97,1.07,0.96,0.96,236621,-0.01,0.11,-0.94,11.34,0.05,-1
2023-06-08,1.0,1.02,0.97,0.98,219985,-0.02,0.05,-1.85,4.81,0.02,-1
2023-06-07,0.97,1.03,0.97,1.0,131427,0.03,0.06,2.89,6.01,0.03,1
2023-06-06,1.0,1.01,0.96,0.97,333542,-0.03,0.05,-3.09,5.05,0.02,-1
2023-06-05,0.99,1.01,0.96,0.99,105808,-0.0,0.05,-0.1,4.95,0.02,1
2023-06-02,0.98,1.0,0.96,0.96,165781,-0.02,0.04,-1.55,4.04,0.02,-1
2023-06-01,0.95,0.98,0.95,0.97,60522,0.02,0.03,2.46,3.08,0.02,1
2023-05-31,0.98,0.99,0.95,0.95,94043,-0.03,0.04,-3.05,4.52,0.02,-1
2023-05-30,1.05,1.05,0.96,0.97,126699,-0.08,0.09,-8.38,9.29,0.05,-1
2023-05-26,1.0,1.04,0.99,1.02,40053,0.02,0.05,1.55,4.92,0.03,1
2023-05-25,1.02,1.03,1.0,1.0,99237,-0.02,0.03,-2.0,3.5,0.02,-1
2023-05-24,1.04,1.07,1.01,1.03,203098,-0.01,0.06,-0.97,5.83,0.03,-1
2023-05-23,1.02,1.09,1.0,1.07,140089,0.05,0.09,4.67,8.41,0.05,1
2023-05-22,0.99,1.04,0.99,1.03,84452,0.04,0.05,3.88,5.34,0.03,1
2023-05-19,1.0,1.01,0.97,0.99,54065,-0.01,0.04,-1.01,3.74,0.02,1
2023-05-18,0.99,1.0,0.95,0.98,85146,-0.01,0.05,-1.28,5.1,0.02,-1
2023-05-17,1.01,1.01,0.98,0.98,61773,-0.03,0.03,-2.85,3.05,0.02,-1
2023-05-16,1.03,1.04,1.0,1.0,39935,-0.03,0.04,-3.0,4.0,0.02,-1
2023-05-15,1.02,1.06,1.0,1.03,123430,0.01,0.06,0.97,5.83,0.03,1
2023-05-12,1.01,1.05,0.98,1.01,53358,0.0,0.07,0.0,6.83,0.03,1
2023-05-11,1.0,1.05,0.98,1.0,145927,0.0,0.08,0.0,7.5,0.04,-1
2023-05-10,1.03,1.04,1.01,1.01,58924,-0.02,0.03,-1.98,3.12,0.02,-1
2023-05-09,1.0,1.05,0.99,1.04,116728,0.04,0.06,3.85,5.74,0.03,1
2023-05-08,1.0,1.04,0.99,1.01,63401,0.01,0.05,0.99,4.57,0.02,-1
2023-05-05,1.04,1.07,0.98,1.03,242544,-0.01,0.1,-0.97,9.22,0.05,-1
2023-05-04,0.97,1.1,0.97,1.04,55567,0.07,0.13,6.73,12.5,0.07,1
2023-05-03,0.98,1.05,0.97,0.98,73766,-0.0,0.08,-0.23,7.84,0.04,-1
2023-05-02,1.0,1.01,0.97,0.99,26293,-0.01,0.04,-1.01,3.84,0.02,-1
2023-05-01,1.06,1.06,1.0,1.01,60247,-0.05,0.06,-4.95,5.94,0.03,-1
2023-04-28,1.01,1.12,1.01,1.04,119786,0.03,0.11,2.88,10.58,0.06,1
2023-04-27,0.95,1.05,0.95,1.03,68487,0.08,0.1,7.75,9.69,0.05,1
2023-04-26,0.99,1.01,0.95,0.95,117645,-0.04,0.06,-4.05,6.31,0.03,-1
2023-04-25,1.01,1.01,0.96,0.99,86061,-0.02,0.05,-1.69,4.53,0.02,-1
2023-04-24,0.99,1.02,0.95,1.01,82851,0.02,0.07,1.9,6.6,0.03,1
2023-04-21,1.02,1.05,0.98,0.98,150776,-0.04,0.08,-4.6,7.69,0.04,-1
2023-04-20,1.03,1.08,1.0,1.01,157797,-0.02,0.08,-1.98,7.92,0.04,-1
2023-04-19,1.05,1.1,1.02,1.03,131714,-0.02,0.08,-1.94,7.77,0.04,-1
2023-04-18,1.03,1.13,1.03,1.07,339700,0.04,0.1,3.74,9.35,0.05,1
2023-04-17,1.07,1.12,1.05,1.05,72365,-0.02,0.07,-1.9,6.67,0.04,-1
2023-04-14,1.05,1.16,1.04,1.07,142612,0.02,0.12,1.87,11.21,0.06,-1
2023-04-13,1.12,1.12,1.04,1.07,184315,-0.05,0.08,-4.67,7.48,0.04,1
2023-04-12,1.05,1.1,1.03,1.05,110298,0.0,0.07,0.0,6.67,0.04,1
2023-04-11,1.02,1.08,1.01,1.04,76014,0.02,0.07,1.92,6.73,0.04,1
2023-04-10,1.03,1.06,1.01,1.03,107408,0.0,0.05,0.0,4.85,0.03,-1
2023-04-06,1.02,1.08,1.01,1.04,201410,0.02,0.07,1.92,6.73,0.04,-1
2023-04-05,1.04,1.07,1.01,1.04,268726,0.0,0.06,0.48,5.74,0.03,-1
2023-04-04,1.2,1.21,1.01,1.06,242686,-0.14,0.2,-13.21,18.87,0.1,-1
2023-04-03,1.0,1.25,1.0,1.19,881983,0.19,0.25,15.97,21.01,0.12,1
2023-03-31,0.99,1.02,0.95,0.96,325665,-0.03,0.07,-3.37,7.31,0.04,-1
2023-03-30,1.0,1.01,0.96,0.98,93546,-0.02,0.05,-2.03,4.9,0.02,-1
2023-03-29,1.0,1.15,0.96,0.99,187498,-0.01,0.19,-1.07,18.89,0.09,1
2023-03-28,1.0,1.02,0.95,0.97,130769,-0.03,0.07,-3.09,7.01,0.03,-1
2023-03-27,1.0,1.04,1.0,1.03,151879,0.03,0.04,2.91,3.88,0.02,-1
2023-03-24,1.02,1.08,1.02,1.04,77283,0.02,0.06,1.92,5.77,0.03,-1
2023-03-23,1.08,1.1,1.03,1.04,175681,-0.04,0.07,-3.85,6.73,0.04,-1
2023-03-22,1.07,1.14,1.05,1.09,115772,0.02,0.09,1.83,8.26,0.04,1
2023-03-21,1.1,1.13,1.06,1.08,51798,-0.02,0.07,-1.85,6.09,0.03,-1
2023-03-20,1.1,1.12,1.06,1.11,80569,0.01,0.06,0.9,5.41,0.03,-1
2023-03-17,1.06,1.12,1.05,1.12,326192,0.06,0.07,5.36,6.25,0.04,1
