Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-31,40.78,41.82,40.7,41.76,710670,0.98,1.12,2.35,2.69,0.56,1
2023-07-28,39.91,40.78,39.7,40.61,518023,0.7,1.08,1.72,2.66,0.54,1
2023-07-27,40.34,40.59,39.32,39.41,476321,-0.93,1.27,-2.36,3.22,0.63,-1
2023-07-26,39.38,40.69,39.37,40.07,399404,0.69,1.32,1.72,3.29,0.66,1
2023-07-25,39.16,39.77,39.12,39.38,333581,0.22,0.65,0.56,1.66,0.33,1
2023-07-24,39.91,39.97,39.02,39.22,432928,-0.69,0.96,-1.76,2.44,0.48,-1
2023-07-21,40.77,40.81,39.93,39.94,489341,-0.83,0.88,-2.08,2.2,0.44,-1
2023-07-20,40.22,40.54,40.0,40.33,473990,0.11,0.54,0.27,1.34,0.27,1
2023-07-19,40.75,41.24,39.71,40.22,441231,-0.53,1.53,-1.32,3.82,0.77,-1
2023-07-18,40.13,40.6,39.91,40.5,474020,0.37,0.69,0.91,1.7,0.35,1
2023-07-17,38.74,40.1,38.7,40.07,615885,1.33,1.39,3.32,3.48,0.7,1
2023-07-14,39.32,39.63,38.53,38.8,469176,-0.52,1.1,-1.34,2.84,0.55,-1
2023-07-13,38.72,39.25,38.52,39.19,595126,0.47,0.73,1.2,1.86,0.36,1
2023-07-12,38.88,38.88,38.21,38.63,765402,-0.25,0.67,-0.65,1.73,0.34,1
2023-07-11,38.2,38.35,37.43,38.29,484456,0.09,0.92,0.24,2.4,0.46,1
2023-07-10,37.12,38.29,37.12,38.25,579142,1.13,1.17,2.95,3.06,0.59,1
2023-07-07,37.01,37.54,37.01,37.31,523001,0.3,0.53,0.8,1.42,0.27,1
2023-07-06,37.36,37.53,36.68,37.01,401290,-0.35,0.85,-0.95,2.3,0.43,-1
2023-07-05,38.29,38.62,37.72,37.84,432340,-0.45,0.9,-1.19,2.38,0.45,-1
2023-07-03,39.17,39.24,38.25,38.55,343385,-0.62,0.99,-1.61,2.58,0.5,-1
2023-06-30,39.4,39.89,39.04,39.34,635529,-0.06,0.85,-0.15,2.16,0.43,1
2023-06-29,37.95,39.27,37.91,38.99,1001684,1.04,1.36,2.67,3.49,0.68,1
2023-06-28,37.47,38.02,36.88,37.95,492035,0.48,1.14,1.26,3.02,0.57,1
2023-06-27,37.24,37.61,36.99,37.45,486626,0.21,0.62,0.56,1.66,0.31,1
2023-06-26,36.56,37.43,36.43,37.19,468320,0.63,1.0,1.69,2.69,0.5,1
2023-06-23,37.0,37.47,36.46,36.59,927531,-0.41,1.01,-1.12,2.77,0.51,-1
2023-06-22,38.13,38.13,37.36,37.48,698309,-0.65,0.77,-1.73,2.05,0.39,-1
2023-06-21,38.48,38.89,37.84,38.25,560580,-0.23,1.05,-0.6,2.75,0.52,-1
2023-06-20,38.61,39.28,38.25,38.61,623849,0.0,1.03,0.0,2.67,0.52,-1
2023-06-16,40.32,40.53,38.55,38.94,1014904,-1.38,1.98,-3.54,5.08,0.99,-1
2023-06-15,39.4,40.06,38.68,40.01,765070,0.61,1.38,1.52,3.45,0.69,1
2023-06-14,40.04,40.17,38.61,39.4,776387,-0.64,1.56,-1.62,3.96,0.78,-1
2023-06-13,39.71,40.05,39.02,40.04,935226,0.33,1.02,0.82,2.56,0.51,1
2023-06-12,39.7,39.92,38.24,39.5,1634779,-0.2,1.67,-0.51,4.24,0.84,-1
2023-06-09,41.0,41.54,40.17,40.32,649035,-0.68,1.38,-1.69,3.41,0.69,-1
2023-06-08,40.59,41.24,40.19,40.94,662651,0.35,1.05,0.85,2.56,0.53,1
2023-06-07,41.6,42.13,40.22,40.38,866333,-1.22,1.91,-3.02,4.73,0.96,-1
2023-06-06,40.18,41.53,40.1,41.38,839122,1.2,1.43,2.9,3.46,0.71,1
2023-06-05,38.64,40.76,38.64,40.14,792430,1.5,2.12,3.74,5.28,1.06,1
2023-06-02,38.47,39.09,38.08,39.02,691229,0.55,1.01,1.41,2.6,0.51,1
2023-06-01,37.14,38.04,36.68,37.86,699521,0.72,1.37,1.9,3.61,0.68,1
2023-05-31,37.2,38.08,36.99,37.25,847859,0.05,1.09,0.13,2.93,0.54,1
2023-05-30,37.54,38.47,37.19,37.23,492910,-0.31,1.28,-0.83,3.44,0.64,-1
2023-05-26,37.63,38.5,37.12,37.39,395369,-0.24,1.38,-0.64,3.7,0.69,-1
2023-05-25,38.31,38.41,36.39,37.39,712530,-0.92,2.02,-2.46,5.4,1.01,-1
2023-05-24,37.89,38.42,37.15,38.24,548177,0.35,1.27,0.92,3.32,0.64,1
2023-05-23,38.56,39.44,37.9,38.16,931801,-0.4,1.54,-1.05,4.04,0.77,-1
2023-05-22,37.84,39.35,37.53,38.71,1130292,0.87,1.82,2.25,4.7,0.91,1
2023-05-19,35.97,37.2,35.55,37.13,942146,1.16,1.65,3.12,4.44,0.83,1
2023-05-18,35.41,36.34,35.04,35.63,933218,0.22,1.3,0.62,3.65,0.65,1
2023-05-17,35.99,36.24,34.85,35.49,905010,-0.5,1.39,-1.41,3.93,0.7,-1
2023-05-16,35.64,36.36,35.27,35.95,1092427,0.31,1.09,0.86,3.05,0.55,-1
2023-05-15,36.54,36.95,35.92,35.99,658774,-0.55,1.03,-1.53,2.86,0.52,-1
2023-05-12,36.63,36.7,35.85,36.61,827447,-0.02,0.85,-0.05,2.32,0.43,1
2023-05-11,37.3,37.45,36.03,36.48,943137,-0.82,1.42,-2.25,3.89,0.71,-1
2023-05-10,38.55,38.89,37.25,37.54,1217798,-1.01,1.64,-2.69,4.37,0.82,-1
2023-05-09,36.22,38.63,35.75,37.8,2625911,1.58,2.88,4.18,7.62,1.44,1
2023-05-08,34.53,35.38,34.25,34.85,1016915,0.32,1.13,0.92,3.26,0.57,1
2023-05-05,34.0,34.77,33.74,34.58,573733,0.58,1.03,1.68,2.98,0.52,1
2023-05-04,33.86,33.99,33.06,33.46,416733,-0.4,0.93,-1.2,2.78,0.46,-1
2023-05-03,33.25,34.7,33.25,34.1,565259,0.85,1.45,2.49,4.25,0.73,1
2023-05-02,33.4,33.68,32.76,33.22,698444,-0.18,0.93,-0.54,2.78,0.46,-1
2023-05-01,33.25,33.79,32.99,33.59,524682,0.34,0.8,1.01,2.38,0.4,1
2023-04-28,33.23,33.52,32.84,33.24,459864,0.01,0.68,0.03,2.04,0.34,-1
2023-04-27,32.78,33.76,32.6,33.51,706200,0.73,1.16,2.18,3.47,0.58,1
2023-04-26,32.1,33.22,32.09,32.57,609725,0.47,1.13,1.44,3.47,0.56,1
2023-04-25,34.2,34.31,32.39,32.4,1013296,-1.8,1.92,-5.56,5.93,0.96,-1
2023-04-24,34.61,35.05,34.25,34.52,794880,-0.09,0.8,-0.26,2.32,0.4,-1
2023-04-21,34.57,35.09,34.04,34.64,808505,0.07,1.05,0.2,3.03,0.53,1
2023-04-20,33.55,34.52,33.52,34.24,1105108,0.69,0.99,2.02,2.91,0.5,1
2023-04-19,32.41,34.08,32.3,34.06,785525,1.65,1.78,4.84,5.23,0.89,1
2023-04-18,32.85,33.0,32.08,32.56,716481,-0.29,0.92,-0.89,2.82,0.46,-1
2023-04-17,32.4,32.72,32.22,32.59,412464,0.19,0.5,0.58,1.55,0.25,1
2023-04-14,33.08,33.08,32.04,32.39,563464,-0.69,1.04,-2.13,3.21,0.52,-1
2023-04-13,32.35,33.16,32.17,32.91,606113,0.56,0.99,1.7,3.01,0.49,1
2023-04-12,33.03,33.12,31.65,32.26,1076144,-0.77,1.47,-2.39,4.56,0.73,-1
2023-04-11,31.43,33.0,31.38,32.65,1221800,1.22,1.62,3.74,4.98,0.81,1
2023-04-10,30.94,31.35,30.72,31.04,473730,0.1,0.62,0.32,2.01,0.31,-1
2023-04-06,31.12,31.28,30.54,31.2,416751,0.08,0.74,0.26,2.37,0.37,1
2023-04-05,31.63,31.63,30.5,31.07,634323,-0.56,1.13,-1.8,3.64,0.56,-1
2023-04-04,31.56,31.98,31.12,31.64,699478,0.08,0.86,0.25,2.72,0.43,-1
2023-04-03,32.13,32.18,30.89,31.67,757734,-0.46,1.29,-1.45,4.07,0.64,-1
2023-03-31,31.71,32.69,31.12,32.12,1623361,0.41,1.57,1.28,4.89,0.78,1
2023-03-30,33.4,33.4,31.18,31.29,1033969,-2.11,2.23,-6.74,7.11,1.11,-1
2023-03-29,33.75,33.75,32.46,32.92,635040,-0.83,1.29,-2.52,3.92,0.64,-1
2023-03-28,33.71,33.93,33.19,33.2,389899,-0.51,0.74,-1.54,2.23,0.37,-1
2023-03-27,33.87,33.94,33.31,33.69,442774,-0.18,0.63,-0.53,1.87,0.31,1
2023-03-24,32.58,33.37,32.15,33.1,564688,0.52,1.22,1.57,3.69,0.61,1
2023-03-23,33.41,33.97,32.47,33.05,805713,-0.36,1.5,-1.09,4.54,0.75,1
2023-03-22,33.64,34.6,32.97,33.02,805204,-0.62,1.62,-1.88,4.92,0.81,-1
2023-03-21,32.78,33.69,32.66,33.5,848976,0.72,1.03,2.15,3.07,0.52,1
2023-03-20,32.75,33.18,31.79,32.12,1030269,-0.63,1.39,-1.96,4.33,0.7,-1
2023-03-17,34.08,34.27,32.54,32.6,1088919,-1.48,1.73,-4.54,5.31,0.87,-1
2023-03-16,33.82,34.49,33.59,34.08,850981,0.26,0.9,0.76,2.66,0.45,1
2023-03-15,32.19,33.93,32.17,33.86,1033452,1.67,1.76,4.93,5.2,0.88,1
