Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-11,12.2,12.4,11.74,12.4,1453,0.2,0.66,1.61,5.32,0.33,11.98,11.97,0.11,0.09,0.01,855724,6.4,31.67,28.33,1.0,3.33,High Volatility / Hold Signal,12.82,11.98,11.13,0.14,51.38,Target Volume,Expected Range,8.22,Absent or Weak Trend
2023-08-10,12.2,12.48,12.2,12.28,2152,0.08,0.28,0.61,2.28,0.14,11.97,11.95,0.09,0.09,0.0,854271,4.12,33.33,30.0,1.0,3.33,High Volatility / Hold Signal,12.81,11.97,11.13,0.14,51.06,Target Volume,Expected Range,8.25,Absent or Weak Trend
2023-08-09,12.04,12.27,12.04,12.27,1929,0.22,0.22,1.83,1.83,0.11,11.96,11.94,0.09,0.09,-0.0,852119,5.27,35.0,31.67,1.0,3.33,High Volatility / Hold Signal,12.8,11.96,11.12,0.14,51.05,Target Volume,Expected Range,8.32,Absent or Weak Trend
2023-08-08,11.94,11.94,11.94,11.94,6,0.0,0.0,0.0,0.0,0.0,11.94,11.93,0.08,0.09,-0.01,850190,7.1,36.67,0.0,1.0,36.67,Weak Buy Signal,12.8,11.94,11.07,0.14,50.22,Target Volume,Expected Range,8.37,Absent or Weak Trend
2023-08-07,12.3,12.3,11.64,11.94,1144,-0.36,0.66,-3.02,5.53,0.33,11.91,11.93,0.1,0.09,0.01,850190,7.1,0.0,1.67,-1.0,-1.67,High Volatility / Hold Signal,12.88,11.91,10.94,0.16,50.22,Target Volume,Expected Range,8.39,Absent or Weak Trend
2023-08-04,12.5,12.5,12.5,12.5,3711,0.0,0.0,0.0,0.0,0.0,11.92,11.93,0.13,0.09,0.04,851334,2.84,1.67,3.33,-1.0,-1.67,High Volatility / Hold Signal,12.92,11.92,10.93,0.17,51.65,Target Volume,Expected Range,8.42,Absent or Weak Trend
2023-08-03,12.5,12.5,12.5,12.5,301,0.0,0.0,0.0,0.0,0.0,11.92,11.91,0.1,0.08,0.02,851334,2.84,3.33,5.0,-1.0,-1.67,High Volatility / Hold Signal,12.92,11.92,10.93,0.17,51.65,Target Volume,Expected Range,8.51,Absent or Weak Trend
2023-08-02,12.0,12.0,12.0,12.0,7,0.0,0.0,0.0,0.0,0.0,11.92,11.89,0.07,0.07,-0.01,851033,5.56,5.0,6.67,-1.0,-1.67,High Volatility / Hold Signal,12.91,11.92,10.93,0.17,50.43,Target Volume,Expected Range,8.61,Absent or Weak Trend
2023-08-01,12.0,12.0,12.0,12.0,5,0.0,0.0,0.0,0.0,0.0,11.91,11.88,0.07,0.08,-0.0,851033,5.56,6.67,8.33,-1.0,-1.67,High Volatility / Hold Signal,12.91,11.91,10.9,0.17,50.43,Target Volume,Expected Range,8.66,Absent or Weak Trend
2023-07-31,12.0,12.0,12.0,12.0,270,0.0,0.0,0.0,0.0,0.0,11.89,11.88,0.08,0.08,0.0,851033,5.56,8.33,10.0,-1.0,-1.67,High Volatility / Hold Signal,12.92,11.89,10.86,0.17,50.43,Target Volume,Expected Range,8.71,Absent or Weak Trend
2023-07-28,12.0,12.0,12.0,12.0,124,0.0,0.0,0.0,0.0,0.0,11.88,11.88,0.08,0.08,0.01,851033,5.56,10.0,11.67,-1.0,-1.67,High Volatility / Hold Signal,12.92,11.88,10.83,0.18,50.43,Target Volume,Expected Range,8.76,Absent or Weak Trend
2023-07-27,11.62,12.0,11.04,12.0,3647,0.38,0.96,3.21,8.0,0.48,11.86,11.87,0.09,0.07,0.02,851033,5.56,11.67,13.33,-1.0,-1.67,High Volatility / Hold Signal,12.93,11.86,10.79,0.18,50.43,Target Volume,Expected Range,8.82,Absent or Weak Trend
2023-07-26,11.86,11.86,11.86,11.86,189,0.0,0.0,0.0,0.0,0.0,11.84,11.87,0.1,0.07,0.03,847386,1.64,13.33,15.0,-1.0,-1.67,High Volatility / Hold Signal,12.93,11.84,10.75,0.18,50.1,Target Volume,Expected Range,8.87,Absent or Weak Trend
2023-07-25,11.86,11.86,11.86,11.86,202,0.0,0.0,0.0,0.0,0.0,11.83,11.87,0.12,0.06,0.06,847386,1.64,15.0,16.67,-1.0,-1.67,High Volatility / Hold Signal,12.94,11.83,10.73,0.19,50.1,Target Volume,Expected Range,9.0,Absent or Weak Trend
