Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-17,5.59,5.59,5.34,5.39,152349,-0.2,0.25,-3.71,4.64,0.12,5.29,5.4,0.03,-0.0,0.04,-5036764,0.03,1.67,10.0,-1.0,-8.33,High Volatility / Hold Signal,5.71,5.29,4.88,0.16,49.0,Target Volume,Expected Range,9.32,Absent or Weak Trend
2023-08-16,5.45,5.7,5.42,5.54,164177,0.09,0.28,1.62,5.05,0.14,5.3,5.4,0.03,-0.01,0.04,-4884415,1.44,3.33,11.67,-1.0,-8.33,High Volatility / Hold Signal,5.73,5.3,4.87,0.16,50.17,Target Volume,Expected Range,9.48,Absent or Weak Trend
2023-08-15,5.3,5.59,5.3,5.41,210996,0.11,0.29,2.03,5.36,0.15,5.3,5.39,0.01,-0.02,0.03,-5048592,0.48,0.0,13.33,-1.0,-13.33,High Volatility / Hold Signal,5.74,5.3,4.87,0.17,49.14,Target Volume,Expected Range,9.62,Absent or Weak Trend
2023-08-14,5.22,5.42,5.18,5.38,191653,0.16,0.25,2.97,4.65,0.12,5.31,5.39,-0.01,-0.03,0.02,-5259588,3.45,0.0,15.0,-1.0,-15.0,High Volatility / Hold Signal,5.76,5.31,4.86,0.17,48.9,Target Volume,Expected Range,9.77,Absent or Weak Trend
2023-08-11,5.17,5.27,5.15,5.2,146527,0.03,0.12,0.58,2.31,0.06,5.32,5.39,-0.03,-0.03,0.01,-5451241,6.35,0.0,16.67,-1.0,-16.67,High Volatility / Hold Signal,5.81,5.32,4.83,0.18,47.43,Target Volume,Expected Range,9.88,Absent or Weak Trend
2023-08-10,5.16,5.3,5.16,5.2,136667,0.04,0.14,0.77,2.69,0.07,5.33,5.4,-0.03,-0.03,0.01,-5451241,6.18,1.67,18.33,-1.0,-16.67,High Volatility / Hold Signal,5.85,5.33,4.82,0.19,47.43,Target Volume,Expected Range,9.94,Absent or Weak Trend
2023-08-09,5.15,5.28,5.15,5.17,100457,0.02,0.13,0.39,2.51,0.06,5.36,5.4,-0.03,-0.04,0.01,-5587908,6.56,3.33,20.0,-1.0,-16.67,High Volatility / Hold Signal,5.95,5.36,4.76,0.22,47.19,Target Volume,Expected Range,10.0,Absent or Weak Trend
2023-08-08,5.25,5.25,5.07,5.21,93175,-0.04,0.18,-0.77,3.45,0.09,5.38,5.41,-0.03,-0.04,0.01,-5487451,7.11,5.0,21.67,-1.0,-16.67,High Volatility / Hold Signal,6.03,5.38,4.72,0.24,47.48,Target Volume,Expected Range,10.06,Absent or Weak Trend
2023-08-07,5.21,5.34,5.2,5.27,101119,0.06,0.13,1.14,2.56,0.07,5.4,5.42,-0.03,-0.04,0.01,-5394276,5.0,6.67,23.33,-1.0,-16.67,High Volatility / Hold Signal,6.09,5.4,4.7,0.26,47.91,Target Volume,Expected Range,10.11,Absent or Weak Trend
2023-08-04,5.17,5.25,5.1,5.16,74047,-0.01,0.15,-0.19,2.91,0.08,5.41,5.42,-0.04,-0.04,0.0,-5495395,6.56,8.33,25.0,-1.0,-16.67,High Volatility / Hold Signal,6.15,5.41,4.67,0.27,47.04,Target Volume,Expected Range,10.2,Absent or Weak Trend
