Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-01,2.93,2.93,2.78,2.87,42970,-0.06,0.15,-2.09,5.23,0.08,2.58,2.76,0.09,0.19,-0.11,30238809,5.12,78.33,41.67,1.0,36.67,Weak Buy Signal,3.7,2.58,1.46,0.87,51.6,Target Volume,Expected Range,8.52,Absent or Weak Trend
2023-07-31,2.91,3.01,2.8,2.9,89743,-0.01,0.21,-0.34,7.19,0.1,2.57,2.75,0.12,0.22,-0.1,30281779,5.44,80.0,43.33,1.0,36.67,Weak Buy Signal,3.69,2.57,1.45,0.87,51.82,Target Volume,Expected Range,8.58,Absent or Weak Trend
2023-07-28,2.86,3.02,2.86,2.96,60013,0.1,0.16,3.38,5.41,0.08,2.56,2.75,0.15,0.25,-0.1,30371522,6.41,81.67,45.0,1.0,36.67,Weak Buy Signal,3.68,2.56,1.44,0.88,52.24,Target Volume,Expected Range,8.64,Absent or Weak Trend
2023-07-27,3.2,3.2,2.78,2.85,128316,-0.35,0.42,-12.28,14.7,0.21,2.55,2.74,0.19,0.27,-0.08,30311509,6.41,83.33,46.67,1.0,36.67,Weak Buy Signal,3.66,2.55,1.43,0.88,51.52,Target Volume,Expected Range,8.67,Absent or Weak Trend
2023-07-26,3.24,3.3,3.1,3.16,105963,-0.08,0.2,-2.53,6.27,0.1,2.54,2.74,0.24,0.29,-0.05,30439825,11.68,85.0,48.33,1.0,36.67,Weak Buy Signal,3.65,2.54,1.42,0.88,53.75,Target Volume,Expected Range,8.71,Absent or Weak Trend
2023-07-25,3.28,3.33,3.01,3.26,100032,-0.02,0.32,-0.61,9.82,0.16,2.52,2.72,0.27,0.3,-0.03,30545788,11.68,86.67,50.0,1.0,36.67,Weak Buy Signal,3.63,2.52,1.41,0.88,54.5,Target Volume,Expected Range,8.66,Absent or Weak Trend
2023-07-24,3.48,3.63,3.26,3.35,84765,-0.13,0.37,-3.88,10.98,0.18,2.51,2.71,0.3,0.31,-0.01,30645820,16.0,88.33,51.67,1.0,36.67,Weak Buy Signal,3.6,2.51,1.42,0.87,55.18,Target Volume,Expected Range,8.61,Absent or Weak Trend
2023-07-21,3.32,3.66,3.26,3.54,182126,0.22,0.4,6.21,11.3,0.2,2.49,2.68,0.32,0.32,0.0,30730585,16.01,90.0,53.33,1.0,36.67,Weak Buy Signal,3.56,2.49,1.42,0.86,56.65,Target Volume,Expected Range,8.48,Absent or Weak Trend
2023-07-20,3.25,3.44,3.16,3.29,117048,0.04,0.28,1.22,8.51,0.14,2.47,2.66,0.32,0.32,0.01,30548459,13.15,91.67,55.0,1.0,36.67,Weak Buy Signal,3.5,2.47,1.43,0.84,55.1,Target Volume,Expected Range,8.36,Absent or Weak Trend
2023-07-19,3.33,3.41,3.21,3.25,98321,-0.08,0.2,-2.46,6.15,0.1,2.45,2.63,0.35,0.31,0.03,30431411,14.02,93.33,56.67,1.0,36.67,Weak Buy Signal,3.47,2.45,1.43,0.83,54.85,Target Volume,Expected Range,8.28,Absent or Weak Trend
2023-07-18,3.57,3.57,3.15,3.32,256628,-0.25,0.42,-7.53,12.65,0.21,2.43,2.61,0.38,0.3,0.07,30529732,14.02,95.0,58.33,1.0,36.67,Weak Buy Signal,3.43,2.43,1.44,0.82,55.39,Target Volume,Expected Range,8.18,Absent or Weak Trend
2023-07-17,3.5,3.64,3.43,3.57,219772,0.07,0.21,1.96,5.88,0.1,2.42,2.59,0.41,0.29,0.12,30786360,18.97,96.67,60.0,1.0,36.67,Weak Buy Signal,3.39,2.42,1.45,0.8,57.36,Target Volume,Expected Range,8.08,Absent or Weak Trend
2023-07-14,3.82,3.95,3.39,3.76,320922,-0.06,0.56,-1.6,14.84,0.28,2.4,2.56,0.41,0.26,0.15,31006132,18.97,98.33,61.67,1.0,36.67,Weak Buy Signal,3.32,2.4,1.48,0.77,58.93,Target Volume,Expected Range,7.9,Absent or Weak Trend
2023-07-13,3.91,4.04,3.85,3.86,273139,-0.05,0.19,-1.3,4.86,0.09,2.38,2.52,0.39,0.22,0.17,31327054,27.74,100.0,63.33,1.0,36.67,Weak Buy Signal,3.23,2.38,1.53,0.71,59.78,Target Volume,Expected Range,7.71,Absent or Weak Trend
2023-07-12,3.5,4.03,3.48,4.01,606169,0.51,0.55,12.72,13.72,0.28,2.36,2.47,0.34,0.18,0.17,31600193,27.65,100.0,65.0,1.0,35.0,Weak Buy Signal,3.11,2.36,1.6,0.64,61.07,Trending Low,Bearish Trend,7.37,Absent or Weak Trend
2023-07-11,3.3,3.5,3.25,3.48,212080,0.18,0.25,5.17,7.18,0.12,2.33,2.42,0.27,0.13,0.13,30994024,21.14,100.0,66.67,1.0,33.33,Weak Buy Signal,2.96,2.33,1.71,0.54,57.9,Target Volume,Expected Range,7.02,Absent or Weak Trend
2023-07-10,3.15,3.41,3.12,3.15,397753,0.0,0.29,0.0,9.21,0.15,2.31,2.38,0.22,0.1,0.12,30781944,19.93,100.0,68.33,1.0,31.67,Weak Buy Signal,2.86,2.31,1.76,0.48,55.7,Target Volume,Expected Range,6.79,Absent or Weak Trend
2023-07-07,2.94,3.23,2.77,3.19,388982,0.25,0.46,7.84,14.42,0.23,2.3,2.36,0.19,0.07,0.12,31179697,17.45,100.0,70.0,1.0,30.0,Weak Buy Signal,2.81,2.3,1.8,0.44,56.05,Target Volume,Expected Range,6.56,Absent or Weak Trend
2023-07-06,2.77,2.91,2.7,2.87,229244,0.1,0.22,3.48,7.49,0.11,2.29,2.33,0.15,0.04,0.1,30790715,12.73,95.0,71.67,1.0,23.33,Weak Buy Signal,2.74,2.29,1.84,0.39,53.77,Target Volume,Expected Range,6.38,Absent or Weak Trend
2023-07-05,2.97,3.08,2.6,2.86,917464,-0.11,0.48,-3.85,16.78,0.24,2.28,2.31,0.12,0.02,0.1,30561471,12.73,96.67,73.33,1.0,23.33,Weak Buy Signal,2.71,2.28,1.85,0.37,53.69,Target Volume,Expected Range,6.27,Absent or Weak Trend
2023-07-03,2.9,3.16,2.85,3.09,1737717,0.19,0.31,6.15,10.03,0.16,2.27,2.29,0.08,-0.01,0.09,31478935,17.82,98.33,75.0,1.0,23.33,Weak Buy Signal,2.68,2.27,1.87,0.35,55.71,Target Volume,Expected Range,6.16,Absent or Weak Trend
2023-06-30,2.89,3.17,2.59,2.92,32560970,0.03,0.58,1.03,19.86,0.29,2.26,2.26,0.02,-0.03,0.05,29741218,17.82,100.0,76.67,1.0,23.33,Weak Buy Signal,2.6,2.26,1.92,0.3,54.47,Target Volume,Expected Range,5.96,Absent or Weak Trend
2023-06-29,1.92,2.1,1.92,2.07,847477,0.15,0.18,7.25,8.7,0.09,2.25,2.24,-0.05,-0.04,-0.01,-2819752,1.06,63.33,78.33,-1.0,-15.0,High Volatility / Hold Signal,2.55,2.25,1.96,0.26,47.18,Target Volume,Expected Range,5.76,Absent or Weak Trend
