Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-01,1.03,1.03,1.03,1.03,0,0.0,0.0,0.0,0.0,0.0,-1
2023-07-31,1.02,1.06,0.97,1.03,5931302,0.01,0.09,0.97,8.58,0.04,-1
2023-07-28,0.97,1.03,0.97,1.03,3241204,0.06,0.06,5.68,5.68,0.03,1
2023-07-27,0.99,0.99,0.96,0.97,733191,-0.01,0.03,-1.45,2.97,0.01,-1
2023-07-26,0.98,0.99,0.97,0.98,1106555,0.0,0.02,0.32,1.9,0.01,-1
2023-07-25,1.04,1.04,0.97,0.98,3028517,-0.07,0.07,-6.67,7.02,0.03,-1
2023-07-24,1.01,1.04,1.0,1.03,936966,0.02,0.04,1.94,4.17,0.02,1
2023-07-21,0.99,1.01,0.98,1.0,875378,0.01,0.03,0.92,2.5,0.01,1
2023-07-20,0.99,1.0,0.98,0.99,652297,0.0,0.02,0.17,2.22,0.01,1
2023-07-19,0.99,1.01,0.97,0.98,797124,-0.0,0.04,-0.26,3.98,0.02,-1
2023-07-18,0.97,0.99,0.97,0.98,530094,0.01,0.02,1.21,2.19,0.01,1
2023-07-17,0.94,0.98,0.94,0.97,483897,0.03,0.04,3.22,4.09,0.02,1
2023-07-14,0.96,0.96,0.93,0.94,712260,-0.03,0.03,-2.79,3.42,0.02,-1
2023-07-13,0.95,0.97,0.95,0.95,528051,0.0,0.02,0.49,2.44,0.01,-1
2023-07-12,0.94,0.96,0.94,0.95,387433,0.01,0.02,0.66,2.49,0.01,1
2023-07-11,0.97,0.99,0.93,0.94,1709282,-0.03,0.06,-3.51,6.5,0.03,-1
2023-07-10,0.95,0.99,0.95,0.96,673166,0.01,0.04,0.84,4.15,0.02,-1
2023-07-07,0.95,0.98,0.95,0.96,437111,0.02,0.03,1.7,3.56,0.02,1
2023-07-06,0.94,0.96,0.94,0.94,397772,0.0,0.02,0.41,1.9,0.01,-1
2023-07-05,0.97,0.98,0.95,0.95,555485,-0.02,0.03,-1.62,3.25,0.02,-1
2023-07-03,0.95,1.0,0.95,0.99,398164,0.04,0.05,3.57,5.06,0.02,1
2023-06-30,0.96,0.98,0.94,0.96,514352,0.0,0.04,0.39,4.26,0.02,1
2023-06-29,0.94,0.97,0.94,0.95,542131,0.0,0.03,0.52,3.14,0.01,1
2023-06-28,0.96,0.98,0.93,0.94,893291,-0.02,0.05,-1.8,4.78,0.02,-1
2023-06-27,0.99,0.99,0.95,0.95,1603894,-0.04,0.05,-4.42,4.76,0.02,-1
2023-06-26,0.98,1.0,0.96,0.97,1962710,-0.01,0.04,-1.09,4.04,0.02,-1
2023-06-23,1.09,1.09,1.01,1.02,1309077,-0.07,0.08,-6.86,7.84,0.04,-1
2023-06-22,1.09,1.11,1.08,1.09,790665,0.0,0.03,0.0,2.75,0.02,-1
2023-06-21,1.08,1.13,1.08,1.09,985941,0.01,0.05,0.92,4.58,0.02,1
2023-06-20,1.05,1.1,1.04,1.06,1005146,0.01,0.06,0.94,5.19,0.03,-1
2023-06-16,1.04,1.1,1.04,1.06,1706995,0.02,0.06,1.89,5.66,0.03,1
2023-06-15,1.02,1.08,1.02,1.04,676438,0.02,0.06,1.92,5.77,0.03,1
2023-06-14,1.07,1.08,1.02,1.02,899277,-0.05,0.06,-4.9,5.88,0.03,-1
2023-06-13,1.01,1.09,0.99,1.06,6146836,0.05,0.1,4.72,9.44,0.05,1
2023-06-12,1.04,1.05,1.03,1.04,812443,0.0,0.02,0.0,1.92,0.01,1
2023-06-09,1.03,1.05,1.01,1.02,966106,-0.01,0.04,-0.98,3.92,0.02,-1
2023-06-08,1.08,1.1,1.04,1.05,1325838,-0.03,0.06,-2.86,5.71,0.03,-1
2023-06-07,1.06,1.09,1.06,1.07,657213,0.01,0.03,0.93,2.8,0.02,-1
2023-06-06,1.07,1.1,1.06,1.08,885005,0.01,0.04,0.93,3.7,0.02,-1
2023-06-05,1.11,1.12,1.06,1.1,636428,-0.01,0.06,-0.91,5.45,0.03,-1
2023-06-02,1.1,1.12,1.09,1.11,760239,0.01,0.03,0.9,2.7,0.02,-1
2023-06-01,1.07,1.12,1.07,1.11,522106,0.04,0.05,3.6,4.5,0.03,1
2023-05-31,1.09,1.12,1.06,1.07,880343,-0.02,0.06,-1.87,5.61,0.03,-1
2023-05-30,1.12,1.13,1.04,1.1,974960,-0.02,0.09,-1.82,8.18,0.04,-1
2023-05-26,1.1,1.14,1.07,1.11,860177,0.01,0.07,0.9,6.31,0.03,1
2023-05-25,1.12,1.14,1.09,1.09,615701,-0.03,0.05,-2.75,4.59,0.02,-1
2023-05-24,1.14,1.14,1.07,1.14,1432321,0.0,0.07,0.0,6.58,0.04,1
2023-05-23,1.2,1.22,1.11,1.13,2016500,-0.07,0.11,-6.19,9.73,0.05,-1
2023-05-22,1.23,1.27,1.17,1.2,963200,-0.03,0.1,-2.93,8.37,0.05,-1
2023-05-19,1.21,1.26,1.2,1.24,1658325,0.03,0.06,2.02,5.26,0.03,1
2023-05-18,1.21,1.24,1.19,1.21,1159221,0.0,0.05,0.0,4.13,0.03,-1
2023-05-17,1.15,1.23,1.15,1.22,1820796,0.07,0.08,5.74,6.56,0.04,1
2023-05-16,1.22,1.24,1.16,1.18,2403700,-0.04,0.08,-3.39,6.89,0.04,-1
2023-05-15,1.22,1.29,1.22,1.25,1680966,0.03,0.07,2.4,5.6,0.04,-1
2023-05-12,1.32,1.33,1.26,1.3,2892317,-0.02,0.07,-1.54,5.38,0.04,-1
2023-05-11,1.26,1.36,1.25,1.31,3673972,0.05,0.11,3.82,8.27,0.05,1
2023-05-10,1.2,1.32,1.19,1.28,6879870,0.08,0.13,6.64,10.16,0.07,1
2023-05-09,1.16,1.27,1.1,1.2,11514267,0.04,0.17,3.33,14.17,0.08,1
2023-05-08,1.05,1.12,1.05,1.1,1623370,0.05,0.07,4.55,6.36,0.04,1
2023-05-05,1.07,1.1,1.04,1.09,2211271,0.02,0.06,1.83,5.05,0.03,1
2023-05-04,1.08,1.1,1.03,1.05,2080115,-0.03,0.07,-2.86,6.67,0.04,-1
2023-05-03,1.0,1.1,1.0,1.1,5639176,0.1,0.1,9.09,9.09,0.05,1
2023-05-02,1.0,1.03,0.98,1.02,1960902,0.02,0.05,1.96,4.92,0.03,1
2023-05-01,0.95,1.01,0.94,0.98,3143562,0.03,0.07,3.31,6.91,0.03,-1
2023-04-28,0.91,0.98,0.9,0.98,5031333,0.06,0.08,6.62,8.1,0.04,1
2023-04-27,0.85,0.95,0.85,0.92,4333821,0.07,0.1,7.5,10.46,0.05,1
