Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-18,5.48,5.72,5.44,5.48,310391,0.0,0.28,0.0,5.11,0.14,-1
2023-08-17,5.5,5.62,5.4,5.56,346415,0.06,0.22,1.08,3.96,0.11,1
2023-08-16,5.56,5.61,5.34,5.45,168966,-0.11,0.27,-2.02,4.95,0.14,-1
2023-08-15,5.45,5.7,5.38,5.57,375077,0.12,0.32,2.15,5.7,0.16,1
2023-08-14,5.38,5.51,5.22,5.46,218673,0.08,0.29,1.47,5.31,0.15,1
2023-08-11,5.67,5.76,5.3,5.44,1129337,-0.23,0.46,-4.23,8.46,0.23,-1
2023-08-10,5.61,5.86,5.6,5.68,188027,0.07,0.26,1.23,4.58,0.13,1
2023-08-09,5.55,5.65,5.3,5.58,1072726,0.03,0.35,0.54,6.27,0.18,1
2023-08-08,5.73,5.78,5.33,5.55,524228,-0.18,0.45,-3.24,8.06,0.22,-1
2023-08-07,5.61,5.97,5.4,5.85,558747,0.24,0.58,4.1,9.83,0.29,-1
2023-08-04,5.93,6.14,5.91,6.12,353049,0.19,0.23,3.1,3.76,0.11,1
2023-08-03,6.19,6.23,5.79,5.85,440411,-0.34,0.44,-5.81,7.52,0.22,-1
2023-08-02,6.27,6.37,6.11,6.26,457909,-0.01,0.26,-0.16,4.15,0.13,-1
2023-08-01,6.47,6.58,6.32,6.38,266622,-0.09,0.26,-1.41,4.08,0.13,-1
2023-07-31,6.34,6.7,6.27,6.64,555802,0.3,0.43,4.52,6.48,0.22,1
2023-07-28,6.25,6.52,6.0,6.33,1521258,0.08,0.53,1.26,8.29,0.26,1
2023-07-27,6.06,6.29,5.88,6.14,1231377,0.08,0.41,1.3,6.68,0.21,1
2023-07-26,6.32,6.47,5.9,6.0,1208731,-0.32,0.57,-5.33,9.5,0.28,-1
2023-07-25,6.74,6.96,6.12,6.47,4929762,-0.27,0.84,-4.17,13.06,0.42,-1
2023-07-24,12.0,12.32,9.49,9.53,660436,-2.47,2.83,-25.92,29.69,1.41,-1
2023-07-21,11.35,12.45,11.35,11.99,685411,0.64,1.1,5.34,9.17,0.55,1
2023-07-20,11.45,11.51,10.93,11.13,204940,-0.32,0.58,-2.88,5.21,0.29,-1
