Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-07,1.01,1.04,1.01,1.04,72364,0.03,0.03,2.88,2.88,0.02,0.98,1.04,-0.0,0.04,-0.05,103809892,3.42,81.67,28.33,1.0,53.33,Weak Buy Signal,1.4,0.98,0.57,0.83,51.27,Target Volume,Expected Range,12.6,Absent or Weak Trend
2023-07-06,1.02,1.08,1.0,1.01,151892,-0.01,0.08,-0.99,7.92,0.04,0.98,1.04,0.01,0.05,-0.05,103737528,3.42,83.33,30.0,1.0,53.33,Weak Buy Signal,1.39,0.98,0.57,0.84,50.55,Target Volume,Expected Range,12.75,Absent or Weak Trend
2023-07-05,1.0,1.08,0.95,1.01,332853,0.01,0.13,0.99,12.86,0.06,0.98,1.05,0.02,0.07,-0.05,103737528,3.42,85.0,31.67,1.0,53.33,Weak Buy Signal,1.39,0.98,0.57,0.84,50.55,Target Volume,Expected Range,12.91,Absent or Weak Trend
2023-07-03,1.05,1.1,1.02,1.06,155542,0.01,0.08,0.94,7.15,0.04,0.98,1.05,0.04,0.08,-0.04,104070381,7.1,86.67,33.33,1.0,53.33,Weak Buy Signal,1.39,0.98,0.57,0.84,51.78,Target Volume,Expected Range,13.07,Absent or Weak Trend
2023-06-30,1.07,1.12,0.97,1.05,324066,-0.02,0.15,-1.9,13.98,0.07,0.98,1.05,0.05,0.09,-0.04,103914839,7.1,88.33,35.0,1.0,53.33,Weak Buy Signal,1.39,0.98,0.56,0.85,51.55,Target Volume,Expected Range,13.17,Absent or Weak Trend
2023-06-29,1.11,1.14,1.08,1.11,140867,0.0,0.06,0.0,5.41,0.03,0.97,1.05,0.07,0.1,-0.03,104238905,12.67,90.0,36.67,1.0,53.33,Weak Buy Signal,1.38,0.97,0.56,0.85,53.04,Target Volume,Expected Range,13.28,Absent or Weak Trend
2023-06-28,1.24,1.26,1.1,1.15,226049,-0.09,0.16,-7.83,13.91,0.08,0.97,1.04,0.09,0.1,-0.01,104379772,13.76,91.67,38.33,1.0,53.33,Weak Buy Signal,1.38,0.97,0.56,0.85,54.07,Target Volume,Expected Range,13.29,Absent or Weak Trend
2023-06-27,1.36,1.37,1.22,1.29,163964,-0.07,0.15,-5.43,11.62,0.07,0.97,1.04,0.11,0.11,0.0,104605821,20.66,93.33,40.0,1.0,53.33,Weak Buy Signal,1.37,0.97,0.56,0.85,57.95,Target Volume,Expected Range,13.28,Absent or Weak Trend
2023-06-26,1.36,1.45,1.3,1.36,175380,0.0,0.15,0.0,11.03,0.07,0.96,1.03,0.12,0.11,0.01,104769785,25.64,95.0,41.67,1.0,53.33,Weak Buy Signal,1.36,0.96,0.56,0.83,60.06,Trending Low,Bearish Trend,13.15,Absent or Weak Trend
2023-06-23,1.4,1.4,1.2,1.34,386356,-0.06,0.2,-4.48,14.93,0.1,0.95,1.02,0.12,0.1,0.02,104594405,23.71,96.67,43.33,1.0,53.33,Weak Buy Signal,1.34,0.95,0.57,0.81,59.65,Target Volume,Expected Range,12.94,Absent or Weak Trend
2023-06-22,1.47,1.47,1.25,1.37,299927,-0.1,0.22,-7.3,16.06,0.11,0.94,1.01,0.13,0.1,0.03,104980761,26.96,98.33,45.0,1.0,53.33,Weak Buy Signal,1.32,0.94,0.57,0.79,60.57,Trending Low,Bearish Trend,12.76,Absent or Weak Trend
2023-06-21,1.49,1.59,1.46,1.48,493088,-0.01,0.13,-0.68,8.78,0.07,0.93,1.0,0.13,0.09,0.03,105280688,42.44,100.0,46.67,1.0,53.33,Weak Buy Signal,1.29,0.93,0.57,0.77,64.16,Trending Low,Bearish Trend,12.52,Absent or Weak Trend
2023-06-20,1.38,1.59,1.38,1.47,962958,0.09,0.21,6.12,14.29,0.11,0.92,0.98,0.11,0.08,0.03,104787600,42.44,100.0,48.33,1.0,51.67,Weak Buy Signal,1.25,0.92,0.59,0.72,63.97,Trending Low,Bearish Trend,12.01,Absent or Weak Trend
