Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2022-11-30,10.04,10.04,10.04,10.04,2500,0.0,0.0,0.0,0.0,0.0,9.93,9.95,0.02,0.03,-0.0,3642475,25.23,98.33,16.67,1.0,81.67,Strong Buy Signal,10.08,9.93,9.78,0.03,58.77,Target Volume,Expected Range,20.93,Absent or Weak Trend
2022-11-29,10.02,10.05,10.02,10.05,8568,0.03,0.03,0.3,0.3,0.02,9.93,9.95,0.02,0.03,-0.0,3644975,25.23,100.0,18.33,1.0,81.67,Strong Buy Signal,10.08,9.93,9.77,0.03,59.58,Target Volume,Expected Range,20.86,Absent or Weak Trend
2022-11-28,10.02,10.02,10.02,10.02,0,0.0,0.0,0.0,0.0,0.0,9.92,9.95,0.02,0.03,-0.0,3636407,22.75,95.0,20.0,1.0,75.0,Strong Buy Signal,10.07,9.92,9.77,0.03,57.86,Target Volume,Expected Range,20.78,Absent or Weak Trend
2022-11-25,10.03,10.03,10.02,10.02,1347,-0.01,0.01,-0.1,0.1,0.0,9.92,9.94,0.02,0.03,-0.0,3636407,22.75,96.67,21.67,1.0,75.0,Strong Buy Signal,10.07,9.92,9.77,0.03,57.86,Target Volume,Expected Range,20.75,Absent or Weak Trend
2022-11-23,10.02,10.02,10.02,10.02,2034,0.0,0.0,0.0,0.0,0.0,9.92,9.94,0.03,0.03,-0.0,3636407,21.92,98.33,23.33,1.0,75.0,Strong Buy Signal,10.06,9.92,9.77,0.03,57.86,Target Volume,Expected Range,20.71,Absent or Weak Trend
2022-11-22,10.04,10.04,10.04,10.04,200,0.0,0.0,0.0,0.0,0.0,9.92,9.94,0.03,0.03,-0.0,3638441,23.89,100.0,25.0,1.0,75.0,Strong Buy Signal,10.06,9.92,9.77,0.03,59.05,Target Volume,Expected Range,20.69,Absent or Weak Trend
2022-11-21,10.02,10.02,10.02,10.02,3610,0.0,0.0,0.0,0.0,0.0,9.91,9.93,0.03,0.03,-0.0,3638241,22.66,91.67,26.67,1.0,65.0,Weak Buy Signal,10.05,9.91,9.77,0.03,58.2,Target Volume,Expected Range,20.64,Absent or Weak Trend
2022-11-18,10.02,10.02,10.02,10.02,2941,0.0,0.0,0.0,0.0,0.0,9.91,9.93,0.03,0.03,-0.0,3638241,22.66,93.33,28.33,1.0,65.0,Weak Buy Signal,10.05,9.91,9.77,0.03,58.2,Target Volume,Expected Range,20.61,Absent or Weak Trend
2022-11-17,10.02,10.02,10.02,10.02,5403,0.0,0.0,0.05,0.05,0.0,9.91,9.93,0.03,0.03,-0.0,3638241,22.66,95.0,30.0,1.0,65.0,Weak Buy Signal,10.04,9.91,9.77,0.03,58.2,Target Volume,Expected Range,20.57,Absent or Weak Trend
2022-11-16,10.0,10.02,10.0,10.02,23008,0.02,0.02,0.2,0.2,0.01,9.9,9.93,0.03,0.03,-0.0,3638241,22.66,96.67,31.67,1.0,65.0,Weak Buy Signal,10.04,9.9,9.77,0.03,58.2,Target Volume,Expected Range,20.54,Absent or Weak Trend
2022-11-15,9.92,10.0,9.92,10.0,440,0.08,0.08,0.8,0.8,0.04,9.9,9.92,0.03,0.03,-0.0,3615233,21.06,98.33,33.33,1.0,65.0,Weak Buy Signal,10.03,9.9,9.77,0.03,57.1,Target Volume,Expected Range,20.5,Absent or Weak Trend
2022-11-14,10.02,10.02,10.02,10.02,15669,0.0,0.0,0.0,0.03,0.0,9.9,9.92,0.04,0.04,0.0,3615673,34.66,100.0,35.0,1.0,65.0,Weak Buy Signal,10.03,9.9,9.77,0.03,58.63,Target Volume,Expected Range,20.49,Absent or Weak Trend
2022-11-11,10.02,10.02,10.02,10.02,7502,0.0,0.0,0.03,0.03,0.0,9.9,9.92,0.04,0.04,0.0,3631342,34.64,96.67,36.67,1.0,60.0,Weak Buy Signal,10.02,9.9,9.77,0.03,58.86,Target Volume,Expected Range,20.25,Absent or Weak Trend
2022-11-10,10.02,10.02,10.02,10.02,1826,0.0,0.0,0.0,0.0,0.0,9.89,9.91,0.04,0.03,0.0,3623840,34.43,98.33,38.33,1.0,60.0,Weak Buy Signal,10.02,9.89,9.77,0.03,58.7,Target Volume,Expected Range,20.01,Absent or Weak Trend
2022-11-09,10.02,10.02,10.02,10.02,21449,0.0,0.0,0.0,0.03,0.0,9.89,9.91,0.04,0.03,0.0,3623840,34.43,100.0,40.0,1.0,60.0,Weak Buy Signal,10.01,9.89,9.77,0.02,58.7,Target Volume,Expected Range,19.76,Absent or Weak Trend
2022-11-08,10.0,10.0,10.0,10.0,0,0.0,0.0,0.0,0.0,0.0,9.89,9.9,0.04,0.03,0.0,3602391,32.78,85.0,41.67,1.0,43.33,Weak Buy Signal,10.0,9.89,9.77,0.02,57.63,Target Volume,Expected Range,19.51,Absent or Weak Trend
2022-11-07,10.0,10.0,10.0,10.0,0,0.0,0.0,0.0,0.0,0.0,9.89,9.9,0.04,0.03,0.0,3602391,32.78,86.67,43.33,1.0,43.33,Weak Buy Signal,10.0,9.89,9.77,0.02,57.63,Target Volume,Expected Range,19.29,Absent or Weak Trend
2022-11-04,10.0,10.0,10.0,10.0,535,0.0,0.0,0.0,0.0,0.0,9.88,9.9,0.04,0.03,0.01,3602391,32.78,88.33,45.0,1.0,43.33,Weak Buy Signal,9.99,9.88,9.78,0.02,57.63,Target Volume,Expected Range,19.06,Absent or Weak Trend
2022-11-03,10.0,10.0,10.0,10.0,3100,0.0,0.0,0.0,0.0,0.0,9.88,9.89,0.04,0.03,0.01,3602391,32.78,90.0,46.67,1.0,43.33,Weak Buy Signal,9.99,9.88,9.78,0.02,57.63,Target Volume,Expected Range,18.83,Absent or Weak Trend
2022-11-02,10.0,10.0,10.0,10.0,0,0.0,0.0,0.0,0.0,0.0,9.88,9.89,0.04,0.03,0.01,3602391,32.78,91.67,48.33,1.0,43.33,Weak Buy Signal,9.98,9.88,9.78,0.02,57.63,Target Volume,Expected Range,18.59,Absent or Weak Trend
2022-11-01,10.0,10.0,10.0,10.0,33857,0.0,0.0,0.0,0.0,0.0,9.88,9.89,0.04,0.03,0.01,3602391,32.78,93.33,50.0,1.0,43.33,Weak Buy Signal,9.97,9.88,9.78,0.02,57.63,Target Volume,Expected Range,18.35,Absent or Weak Trend
2022-10-31,10.0,10.0,10.0,10.0,3,0.0,0.0,0.0,0.0,0.0,9.87,9.88,0.04,0.02,0.01,3602391,32.78,95.0,51.67,1.0,43.33,Weak Buy Signal,9.96,9.87,9.79,0.02,57.63,Target Volume,Expected Range,18.11,Absent or Weak Trend
