Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-27,8.95,8.95,8.04,8.19,3162570,-0.76,0.91,-9.28,11.11,0.46,10.93,10.56,-0.37,-0.2,-0.17,-25736132,15.51,46.67,100.0,-1.0,-53.33,Weak Sell Signal,12.7,10.93,9.17,0.32,42.44,Target Volume,Expected Range,6.38,Absent or Weak Trend
2023-07-26,9.88,10.02,9.4,9.46,698430,-0.42,0.62,-4.44,6.55,0.31,10.97,10.64,-0.23,-0.16,-0.08,-22573562,7.94,48.33,0.0,1.0,48.33,Weak Buy Signal,12.59,10.97,9.35,0.3,45.52,Target Volume,Expected Range,6.23,Absent or Weak Trend
2023-07-25,9.81,9.9,9.55,9.82,479071,0.01,0.35,0.1,3.56,0.17,10.97,10.68,-0.18,-0.14,-0.04,-21875132,7.04,50.0,0.0,1.0,50.0,Weak Buy Signal,12.59,10.97,9.35,0.3,46.46,Target Volume,Expected Range,6.2,Absent or Weak Trend
2023-07-24,10.45,10.58,9.77,9.83,642610,-0.62,0.81,-6.31,8.24,0.41,10.96,10.71,-0.14,-0.13,-0.01,-21396061,5.71,51.67,0.0,1.0,51.67,Weak Buy Signal,12.63,10.96,9.28,0.31,46.48,Target Volume,Expected Range,6.19,Absent or Weak Trend
2023-07-21,10.49,10.82,10.37,10.44,674945,-0.05,0.45,-0.48,4.29,0.22,10.93,10.74,-0.1,-0.13,0.03,-20753451,1.93,53.33,0.0,1.0,53.33,Weak Buy Signal,12.7,10.93,9.16,0.32,48.11,Target Volume,Expected Range,6.19,Absent or Weak Trend
2023-07-20,10.47,10.77,10.41,10.49,447872,0.02,0.36,0.19,3.43,0.18,10.9,10.75,-0.1,-0.13,0.03,-20078506,2.26,55.0,0.0,1.0,55.0,Weak Buy Signal,12.77,10.9,9.04,0.34,48.25,Target Volume,Expected Range,6.27,Absent or Weak Trend
2023-07-19,10.56,10.89,10.43,10.5,343163,-0.06,0.46,-0.57,4.38,0.23,10.87,10.76,-0.1,-0.14,0.04,-19630634,2.13,56.67,1.67,1.0,55.0,Weak Buy Signal,12.83,10.87,8.9,0.36,48.27,Target Volume,Expected Range,6.33,Absent or Weak Trend
2023-07-18,10.4,10.8,10.3,10.5,423763,0.1,0.5,0.95,4.76,0.25,10.84,10.77,-0.11,-0.15,0.04,-19630634,2.72,58.33,3.33,1.0,55.0,Weak Buy Signal,12.89,10.84,8.79,0.38,48.27,Target Volume,Expected Range,6.41,Absent or Weak Trend
2023-07-17,10.29,10.7,10.25,10.34,400522,0.05,0.45,0.48,4.35,0.22,10.8,10.78,-0.12,-0.16,0.04,-20054397,3.37,60.0,5.0,1.0,55.0,Weak Buy Signal,12.93,10.8,8.67,0.39,47.82,Target Volume,Expected Range,6.47,Absent or Weak Trend
2023-07-14,10.65,10.65,10.12,10.28,355979,-0.37,0.53,-3.6,5.16,0.27,10.78,10.8,-0.11,-0.17,0.06,-20454919,3.69,61.67,6.67,1.0,55.0,Weak Buy Signal,12.96,10.78,8.59,0.41,47.66,Target Volume,Expected Range,6.52,Absent or Weak Trend
2023-07-13,11.03,11.1,10.59,10.6,368529,-0.43,0.51,-4.06,4.81,0.25,10.76,10.81,-0.09,-0.19,0.1,-20098940,0.83,63.33,8.33,1.0,55.0,Weak Buy Signal,12.98,10.76,8.53,0.41,48.47,Target Volume,Expected Range,6.57,Absent or Weak Trend
2023-07-12,10.99,11.29,10.9,10.98,375216,-0.01,0.39,-0.09,3.55,0.19,10.74,10.82,-0.09,-0.21,0.12,-19730411,1.13,65.0,10.0,1.0,55.0,Weak Buy Signal,12.99,10.74,8.49,0.42,49.46,Target Volume,Expected Range,6.67,Absent or Weak Trend
2023-07-11,11.16,11.16,10.68,10.82,319479,-0.34,0.48,-3.14,4.44,0.24,10.71,10.82,-0.14,-0.24,0.11,-20105627,0.32,66.67,11.67,1.0,55.0,Weak Buy Signal,12.99,10.71,8.44,0.42,49.03,Target Volume,Expected Range,6.76,Absent or Weak Trend
2023-07-10,10.68,11.22,10.68,11.2,493927,0.52,0.54,4.64,4.78,0.27,10.69,10.82,-0.18,-0.27,0.09,-19786148,0.32,68.33,13.33,1.0,55.0,Weak Buy Signal,12.98,10.69,8.4,0.43,50.03,Target Volume,Expected Range,6.87,Absent or Weak Trend
2023-07-07,10.47,10.91,10.44,10.7,318575,0.23,0.47,2.15,4.44,0.24,10.65,10.8,-0.26,-0.29,0.03,-20280075,1.57,70.0,15.0,1.0,55.0,Weak Buy Signal,12.99,10.65,8.32,0.44,48.68,Target Volume,Expected Range,6.98,Absent or Weak Trend
2023-07-06,10.12,10.48,9.91,10.43,303976,0.31,0.57,2.97,5.47,0.29,10.63,10.81,-0.32,-0.3,-0.02,-20598650,4.3,71.67,16.67,1.0,55.0,Weak Buy Signal,13.0,10.63,8.26,0.45,47.93,Target Volume,Expected Range,7.07,Absent or Weak Trend
2023-07-05,10.05,10.38,9.9,10.26,278524,0.21,0.48,2.05,4.68,0.24,10.61,10.82,-0.35,-0.3,-0.06,-20902626,4.95,73.33,18.33,1.0,55.0,Weak Buy Signal,13.0,10.61,8.22,0.45,47.46,Target Volume,Expected Range,7.12,Absent or Weak Trend
2023-07-03,10.14,10.27,9.81,10.04,342903,-0.1,0.46,-1.0,4.58,0.23,10.61,10.84,-0.38,-0.28,-0.1,-21181150,5.66,75.0,20.0,1.0,55.0,Weak Buy Signal,13.0,10.61,8.21,0.45,46.84,Target Volume,Expected Range,7.16,Absent or Weak Trend
2023-06-30,10.11,10.28,10.0,10.12,447310,0.01,0.28,0.1,2.77,0.14,10.6,10.86,-0.39,-0.26,-0.13,-20838247,4.56,76.67,21.67,1.0,55.0,Weak Buy Signal,13.0,10.6,8.21,0.45,47.04,Target Volume,Expected Range,7.18,Absent or Weak Trend
2023-06-29,9.89,10.09,9.82,9.98,459902,0.09,0.28,0.9,2.76,0.14,10.6,10.89,-0.39,-0.22,-0.17,-21285557,5.77,78.33,23.33,1.0,55.0,Weak Buy Signal,13.0,10.6,8.21,0.45,46.65,Target Volume,Expected Range,7.23,Absent or Weak Trend
2023-06-28,9.93,9.93,9.46,9.9,833976,-0.03,0.46,-0.3,4.7,0.23,10.61,10.92,-0.39,-0.18,-0.21,-21745459,6.79,80.0,25.0,1.0,55.0,Weak Buy Signal,13.0,10.61,8.21,0.45,46.44,Target Volume,Expected Range,7.25,Absent or Weak Trend
2023-06-27,9.9,10.17,9.76,9.95,550786,0.05,0.41,0.5,4.12,0.21,10.61,10.96,-0.36,-0.13,-0.23,-20911483,5.13,81.67,26.67,1.0,55.0,Weak Buy Signal,13.0,10.61,8.22,0.45,46.55,Target Volume,Expected Range,7.26,Absent or Weak Trend
2023-06-26,9.97,10.06,9.8,9.86,373934,-0.11,0.26,-1.12,2.64,0.13,10.61,10.99,-0.33,-0.07,-0.26,-21462269,5.82,83.33,28.33,1.0,55.0,Weak Buy Signal,13.0,10.61,8.22,0.45,46.31,Target Volume,Expected Range,7.29,Absent or Weak Trend
2023-06-23,10.1,10.21,9.76,10.0,2576711,-0.1,0.45,-1.0,4.45,0.22,10.61,11.03,-0.27,-0.01,-0.27,-21088335,5.82,85.0,30.0,1.0,55.0,Weak Buy Signal,13.0,10.61,8.22,0.45,46.63,Target Volume,Expected Range,7.32,Absent or Weak Trend
2023-06-22,10.2,10.4,10.01,10.23,484646,0.03,0.39,0.29,3.81,0.2,10.6,11.06,-0.22,0.06,-0.27,-18511624,4.47,86.67,31.67,1.0,55.0,Weak Buy Signal,13.01,10.6,8.19,0.45,47.16,Target Volume,Expected Range,7.34,Absent or Weak Trend
2023-06-21,10.12,10.36,9.84,10.21,858589,0.09,0.52,0.88,5.09,0.26,10.59,11.09,-0.16,0.13,-0.29,-18996270,4.71,88.33,33.33,1.0,55.0,Weak Buy Signal,13.01,10.59,8.16,0.46,47.11,Target Volume,Expected Range,7.39,Absent or Weak Trend
2023-06-20,10.17,10.33,9.88,10.19,866757,0.02,0.45,0.2,4.42,0.22,10.57,11.12,-0.08,0.2,-0.28,-19854859,4.49,90.0,35.0,1.0,55.0,Weak Buy Signal,13.02,10.57,8.12,0.46,47.06,Target Volume,Expected Range,7.44,Absent or Weak Trend
2023-06-16,10.89,10.89,10.1,10.21,1850559,-0.68,0.79,-6.66,7.74,0.4,10.56,11.15,0.01,0.27,-0.26,-18988102,3.31,91.67,36.67,1.0,55.0,Weak Buy Signal,13.02,10.56,8.09,0.47,47.1,Target Volume,Expected Range,7.49,Absent or Weak Trend
2023-06-15,10.72,10.83,10.48,10.74,914514,0.02,0.35,0.19,3.26,0.17,10.54,11.18,0.14,0.34,-0.2,-17137543,1.22,93.33,38.33,1.0,55.0,Weak Buy Signal,13.02,10.54,8.06,0.47,48.29,Target Volume,Expected Range,7.56,Absent or Weak Trend
2023-06-14,10.99,11.1,10.0,10.75,3006511,-0.24,1.1,-2.23,10.23,0.55,10.53,11.2,0.24,0.39,-0.14,-16223029,1.22,95.0,40.0,1.0,55.0,Weak Buy Signal,13.01,10.53,8.04,0.47,48.31,Target Volume,Expected Range,7.67,Absent or Weak Trend
2023-06-13,12.27,12.45,11.78,11.81,674865,-0.46,0.67,-3.9,5.67,0.34,10.51,11.21,0.37,0.42,-0.05,-13216518,9.5,96.67,41.67,1.0,55.0,Weak Buy Signal,13.01,10.51,8.02,0.47,50.77,Target Volume,Expected Range,7.78,Absent or Weak Trend
2023-06-12,12.47,12.67,12.12,12.19,420034,-0.28,0.55,-2.3,4.51,0.27,10.48,11.19,0.42,0.43,-0.02,-12541653,11.78,98.33,43.33,1.0,55.0,Weak Buy Signal,12.96,10.48,8.01,0.47,51.7,Target Volume,Expected Range,7.75,Absent or Weak Trend
2023-06-09,12.61,12.69,12.22,12.39,570531,-0.22,0.46,-1.78,3.75,0.23,10.44,11.16,0.43,0.44,-0.0,-12121619,12.49,100.0,45.0,1.0,55.0,Weak Buy Signal,12.88,10.44,8.0,0.47,52.2,Target Volume,Expected Range,7.68,Absent or Weak Trend
2023-06-08,12.09,12.56,11.94,12.48,532865,0.39,0.62,3.13,4.97,0.31,10.4,11.12,0.43,0.44,-0.01,-11551088,11.81,100.0,46.67,1.0,53.33,Weak Buy Signal,12.79,10.4,8.02,0.46,52.42,Target Volume,Expected Range,7.6,Absent or Weak Trend
2023-06-07,11.88,12.2,11.77,12.11,425018,0.23,0.43,1.9,3.55,0.21,10.37,11.07,0.41,0.44,-0.03,-12083953,9.89,96.67,48.33,1.0,48.33,Weak Buy Signal,12.69,10.37,8.04,0.45,51.59,Target Volume,Expected Range,7.53,Absent or Weak Trend
2023-06-06,11.8,12.1,11.69,11.86,488440,0.06,0.41,0.51,3.46,0.21,10.34,11.04,0.41,0.45,-0.04,-12508971,9.36,98.33,50.0,1.0,48.33,Weak Buy Signal,12.62,10.34,8.06,0.44,51.02,Target Volume,Expected Range,7.49,Absent or Weak Trend
2023-06-05,12.08,12.45,11.78,11.78,568996,-0.3,0.67,-2.55,5.69,0.34,10.31,11.01,0.44,0.46,-0.02,-12997411,9.94,100.0,51.67,1.0,48.33,Weak Buy Signal,12.56,10.31,8.06,0.44,50.84,Target Volume,Expected Range,7.45,Absent or Weak Trend
2023-06-02,12.21,12.35,11.92,12.15,747189,-0.06,0.43,-0.49,3.54,0.21,10.29,10.98,0.47,0.46,0.01,-12428415,10.84,88.33,53.33,1.0,35.0,Weak Buy Signal,12.51,10.29,8.08,0.43,51.71,Target Volume,Expected Range,7.41,Absent or Weak Trend
2023-06-01,11.97,12.18,11.73,12.08,379438,0.11,0.45,0.91,3.75,0.23,10.27,10.94,0.47,0.46,0.01,-13175604,9.96,90.0,55.0,1.0,35.0,Weak Buy Signal,12.44,10.27,8.1,0.42,51.55,Target Volume,Expected Range,7.35,Absent or Weak Trend
2023-05-31,11.95,12.36,11.73,11.91,627751,-0.04,0.63,-0.34,5.29,0.31,10.25,10.91,0.47,0.46,0.01,-13555042,9.98,91.67,56.67,1.0,35.0,Weak Buy Signal,12.37,10.25,8.13,0.41,51.18,Target Volume,Expected Range,7.31,Absent or Weak Trend
2023-05-30,12.01,12.34,11.66,11.93,741323,-0.08,0.68,-0.67,5.7,0.34,10.24,10.87,0.47,0.46,0.02,-12927291,9.88,93.33,58.33,1.0,35.0,Weak Buy Signal,12.33,10.24,8.15,0.41,51.23,Target Volume,Expected Range,7.26,Absent or Weak Trend
2023-05-26,11.59,12.14,11.43,11.98,1286852,0.39,0.71,3.26,5.93,0.36,10.23,10.84,0.48,0.46,0.02,-12185968,8.87,95.0,60.0,1.0,35.0,Weak Buy Signal,12.3,10.23,8.16,0.4,51.34,Target Volume,Expected Range,7.22,Absent or Weak Trend
2023-05-25,12.07,12.14,11.32,11.42,559500,-0.65,0.82,-5.69,7.18,0.41,10.22,10.8,0.47,0.45,0.01,-13472820,8.87,96.67,61.67,1.0,35.0,Weak Buy Signal,12.25,10.22,8.18,0.4,50.13,Target Volume,Expected Range,7.19,Absent or Weak Trend
2023-05-24,11.85,12.07,11.58,11.95,479276,0.1,0.49,0.84,4.1,0.25,10.21,10.78,0.5,0.45,0.06,-12913320,10.42,0.0,63.33,-1.0,-63.33,Weak Sell Signal,12.23,10.21,8.19,0.4,51.32,Target Volume,Expected Range,7.16,Absent or Weak Trend
2023-05-23,11.54,12.42,11.46,12.01,1695134,0.47,0.95,3.91,7.95,0.48,10.23,10.74,0.49,0.43,0.06,-12434044,10.42,1.67,65.0,-1.0,-63.33,Weak Sell Signal,12.38,10.23,8.09,0.42,51.45,Target Volume,Expected Range,7.11,Absent or Weak Trend
2023-05-22,11.51,11.65,11.22,11.54,592706,0.03,0.44,0.26,3.8,0.22,10.26,10.69,0.46,0.42,0.04,-14129178,6.66,3.33,66.67,-1.0,-63.33,Weak Sell Signal,12.54,10.26,7.98,0.44,50.44,Target Volume,Expected Range,7.05,Absent or Weak Trend
2023-05-19,11.24,11.62,11.24,11.42,507275,0.18,0.38,1.58,3.33,0.19,10.29,10.66,0.46,0.41,0.05,-14721884,6.49,5.0,68.33,-1.0,-63.33,Weak Sell Signal,12.67,10.29,7.91,0.46,50.18,Target Volume,Expected Range,7.06,Absent or Weak Trend
2023-05-18,11.39,11.47,10.74,11.1,470840,-0.29,0.73,-2.61,6.58,0.37,10.32,10.64,0.47,0.4,0.07,-15229159,5.73,6.67,70.0,-1.0,-63.33,Weak Sell Signal,12.8,10.32,7.84,0.48,49.49,Target Volume,Expected Range,7.07,Absent or Weak Trend
2023-05-17,11.06,11.46,10.83,11.44,550458,0.38,0.63,3.32,5.55,0.32,10.35,10.62,0.5,0.38,0.12,-14758319,6.24,8.33,71.67,-1.0,-63.33,Weak Sell Signal,12.91,10.35,7.79,0.49,50.22,Target Volume,Expected Range,7.09,Absent or Weak Trend
2023-05-16,11.5,11.5,10.99,11.03,412644,-0.47,0.51,-4.26,4.62,0.25,10.37,10.59,0.5,0.35,0.15,-15308777,7.13,10.0,73.33,-1.0,-63.33,Weak Sell Signal,12.99,10.37,7.76,0.5,49.33,Target Volume,Expected Range,7.11,Absent or Weak Trend
2023-05-15,11.42,11.93,11.4,11.64,490508,0.22,0.53,1.89,4.55,0.26,10.42,10.58,0.54,0.31,0.23,-14896133,9.47,11.67,75.0,-1.0,-63.33,Weak Sell Signal,13.16,10.42,7.67,0.53,50.65,Target Volume,Expected Range,7.1,Absent or Weak Trend
2023-05-12,11.87,11.9,11.27,11.42,476590,-0.45,0.63,-3.94,5.52,0.31,10.43,10.54,0.52,0.26,0.26,-15386641,9.32,13.33,76.67,-1.0,-63.33,Weak Sell Signal,13.22,10.43,7.65,0.53,50.18,Target Volume,Expected Range,7.06,Absent or Weak Trend
2023-05-11,11.75,11.93,11.41,11.78,495267,0.03,0.52,0.25,4.43,0.26,10.46,10.51,0.51,0.19,0.32,-14910051,10.12,15.0,78.33,-1.0,-63.33,Weak Sell Signal,13.3,10.46,7.61,0.54,50.97,Target Volume,Expected Range,7.03,Absent or Weak Trend
2023-05-10,11.42,11.83,11.28,11.79,804148,0.37,0.55,3.14,4.66,0.28,10.48,10.47,0.45,0.11,0.33,-14414784,9.65,16.67,80.0,-1.0,-63.33,Weak Sell Signal,13.37,10.48,7.58,0.55,50.99,Target Volume,Expected Range,6.97,Absent or Weak Trend
2023-05-09,11.24,11.5,11.16,11.33,764847,0.09,0.34,0.79,3.0,0.17,10.49,10.43,0.36,0.03,0.33,-15218932,8.12,0.0,81.67,-1.0,-81.67,Strong Sell Signal,13.42,10.49,7.56,0.56,50.02,Target Volume,Expected Range,6.93,Absent or Weak Trend
2023-05-08,11.49,11.65,11.11,11.3,473523,-0.19,0.54,-1.68,4.78,0.27,10.52,10.4,0.3,-0.05,0.35,-15983779,8.12,1.67,83.33,-1.0,-81.67,Strong Sell Signal,13.5,10.52,7.53,0.57,49.96,Target Volume,Expected Range,6.91,Absent or Weak Trend
2023-05-05,11.54,12.0,11.34,11.43,966339,-0.11,0.67,-0.96,5.82,0.33,10.55,10.36,0.21,-0.14,0.35,-15510256,9.37,3.33,85.0,-1.0,-81.67,Strong Sell Signal,13.6,10.55,7.5,0.58,50.23,Target Volume,Expected Range,6.89,Absent or Weak Trend
