Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-11,0.4,0.42,0.37,0.41,627587,0.01,0.05,2.42,12.42,0.03,1
2023-08-10,0.38,0.38,0.34,0.36,137523,-0.01,0.04,-3.08,9.72,0.02,-1
2023-08-09,0.4,0.4,0.35,0.39,218206,-0.02,0.06,-4.65,15.35,0.03,1
2023-08-08,0.39,0.39,0.36,0.37,156441,-0.02,0.03,-5.41,6.76,0.01,-1
2023-08-07,0.4,0.4,0.38,0.38,71863,-0.02,0.02,-6.05,6.05,0.01,-1
2023-08-04,0.38,0.39,0.36,0.39,119761,0.01,0.03,1.63,7.77,0.02,1
2023-08-03,0.38,0.4,0.37,0.38,33094,-0.0,0.03,-0.26,9.13,0.02,-1
2023-08-02,0.4,0.4,0.38,0.4,72803,0.01,0.03,1.23,7.41,0.02,1
2023-08-01,0.4,0.41,0.38,0.39,83241,-0.01,0.03,-1.32,7.6,0.01,1
2023-07-31,0.36,0.4,0.36,0.38,105976,0.02,0.04,5.26,10.53,0.02,1
2023-07-28,0.39,0.39,0.36,0.37,48087,-0.02,0.03,-4.28,8.02,0.02,-1
2023-07-27,0.37,0.4,0.35,0.37,298400,-0.0,0.05,-0.76,12.77,0.02,-1
2023-07-26,0.4,0.4,0.35,0.4,249190,0.0,0.05,0.55,11.28,0.02,1
2023-07-25,0.42,0.42,0.35,0.38,497640,-0.04,0.07,-11.08,18.75,0.04,-1
2023-07-24,0.4,0.42,0.39,0.4,129523,-0.0,0.03,-0.95,7.5,0.01,-1
2023-07-21,0.4,0.42,0.38,0.41,404069,0.01,0.03,2.91,7.77,0.02,1
2023-07-20,0.39,0.41,0.37,0.4,142735,0.01,0.04,3.25,9.05,0.02,-1
2023-07-19,0.36,0.4,0.36,0.4,176205,0.04,0.04,9.25,9.5,0.02,-1
2023-07-18,0.4,0.4,0.37,0.4,276512,0.0,0.03,0.0,8.7,0.02,1
2023-07-17,0.39,0.4,0.37,0.38,149276,-0.01,0.03,-1.3,7.79,0.02,1
2023-07-14,0.4,0.4,0.36,0.36,239082,-0.04,0.05,-12.42,12.68,0.02,-1
2023-07-13,0.4,0.42,0.38,0.39,228874,-0.01,0.04,-2.83,10.54,0.02,-1
2023-07-12,0.42,0.42,0.38,0.41,56889,-0.01,0.04,-1.68,10.51,0.02,-1
2023-07-11,0.4,0.42,0.38,0.41,62395,0.01,0.04,3.38,9.4,0.02,1
2023-07-10,0.4,0.42,0.4,0.4,77348,0.0,0.02,0.85,6.23,0.01,-1
2023-07-07,0.39,0.4,0.38,0.4,54960,0.01,0.02,1.88,5.0,0.01,1
2023-07-06,0.41,0.42,0.34,0.38,169970,-0.03,0.08,-8.8,21.14,0.04,-1
2023-07-05,0.41,0.42,0.38,0.38,364026,-0.03,0.04,-7.91,9.55,0.02,-1
2023-07-03,0.46,0.47,0.41,0.43,89061,-0.03,0.06,-6.7,14.96,0.03,-1
2023-06-30,0.44,0.5,0.4,0.44,289573,0.01,0.1,1.12,23.6,0.05,1
2023-06-29,0.42,0.42,0.4,0.42,37828,-0.0,0.02,-0.96,5.99,0.01,1
2023-06-28,0.4,0.43,0.4,0.4,93208,-0.0,0.03,-1.08,8.39,0.02,-1
2023-06-27,0.43,0.45,0.38,0.4,526094,-0.03,0.06,-8.12,16.34,0.03,-1
2023-06-26,0.46,0.49,0.42,0.43,227864,-0.03,0.07,-6.98,16.28,0.04,1
2023-06-23,0.52,0.52,0.42,0.42,451696,-0.1,0.1,-23.02,23.02,0.05,-1
2023-06-22,0.54,0.56,0.51,0.51,104303,-0.03,0.05,-6.51,9.8,0.03,-1
2023-06-21,0.57,0.58,0.5,0.56,140923,-0.01,0.08,-1.79,13.98,0.04,-1
2023-06-20,0.58,0.62,0.57,0.57,175076,-0.01,0.05,-1.63,8.66,0.02,-1
2023-06-16,0.65,0.65,0.58,0.59,291758,-0.06,0.07,-10.19,11.65,0.03,-1
2023-06-15,0.68,0.68,0.62,0.64,51224,-0.04,0.06,-6.27,9.89,0.03,-1
2023-06-14,0.59,0.68,0.57,0.66,139015,0.07,0.11,10.41,16.76,0.06,1
2023-06-13,0.6,0.64,0.56,0.57,90677,-0.03,0.07,-5.23,12.4,0.04,-1
2023-06-12,0.66,0.66,0.57,0.6,100109,-0.06,0.09,-10.0,14.98,0.04,-1
2023-06-09,0.63,0.65,0.62,0.62,179599,-0.01,0.04,-1.63,6.03,0.02,-1
2023-06-08,0.65,0.67,0.61,0.65,41689,-0.0,0.06,-0.22,9.28,0.03,-1
2023-06-07,0.7,0.74,0.61,0.65,208264,-0.05,0.13,-7.36,19.67,0.06,1
2023-06-06,0.63,0.93,0.55,0.64,4099085,0.01,0.38,1.71,58.69,0.19,-1
2023-06-05,0.59,0.66,0.58,0.65,406923,0.06,0.08,9.23,12.54,0.04,1
2023-06-02,0.6,0.72,0.55,0.61,1474705,0.01,0.17,2.17,27.4,0.08,-1
2023-06-01,0.66,0.67,0.59,0.62,791915,-0.04,0.08,-6.88,12.49,0.04,1
2023-05-31,0.59,0.66,0.59,0.61,83484,0.02,0.07,3.28,11.02,0.03,-1
2023-05-30,0.67,0.69,0.58,0.62,51464,-0.05,0.1,-7.89,16.93,0.05,-1
2023-05-26,0.61,0.69,0.6,0.62,171104,0.01,0.09,1.61,14.68,0.05,-1
