Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-27,352.38,352.9,348.67,349.64,895570,-2.74,4.23,-0.78,1.21,2.11,344.17,342.8,3.43,3.97,-0.53,169406213,9.97,93.33,36.67,1.0,56.67,Weak Buy Signal,362.55,344.17,325.78,0.11,54.62,Target Volume,Expected Range,10.04,Absent or Weak Trend
2023-07-26,356.26,356.26,349.54,351.91,1233257,-4.35,6.72,-1.24,1.91,3.36,344.09,342.57,4.15,4.1,0.05,170301783,10.53,95.0,38.33,1.0,56.67,Weak Buy Signal,362.42,344.09,325.75,0.11,55.25,Target Volume,Expected Range,10.04,Absent or Weak Trend
2023-07-25,355.0,358.47,352.52,358.06,1359981,3.06,5.95,0.85,1.66,2.98,343.9,342.25,4.78,4.09,0.69,171535040,12.43,96.67,40.0,1.0,56.67,Weak Buy Signal,362.14,343.9,325.66,0.11,57.0,Target Volume,Expected Range,10.04,Absent or Weak Trend
2023-07-24,361.82,362.86,355.71,357.05,1170463,-4.77,7.15,-1.34,2.0,3.58,343.59,341.72,4.88,3.92,0.96,170175059,14.51,98.33,0.0,1.0,98.33,Strong Buy Signal,361.49,343.59,325.69,0.1,56.78,Target Volume,Expected Range,9.99,Absent or Weak Trend
2023-07-21,364.93,367.0,361.42,362.46,4433243,-2.47,5.58,-0.68,1.54,2.79,343.03,341.2,5.04,3.68,1.37,171345522,18.37,100.0,1.67,1.0,98.33,Strong Buy Signal,361.32,343.03,324.74,0.11,58.36,Target Volume,Expected Range,9.92,Absent or Weak Trend
2023-07-20,360.7,365.56,360.27,361.82,1128081,1.12,5.29,0.31,1.46,2.65,342.52,340.48,4.62,3.33,1.29,166912279,17.68,100.0,3.33,1.0,96.67,Strong Buy Signal,360.31,342.52,324.73,0.1,58.23,Target Volume,Expected Range,9.78,Absent or Weak Trend
2023-07-19,360.0,365.53,358.45,358.57,1000159,-1.43,7.08,-0.4,1.97,3.54,342.04,339.75,4.09,3.01,1.08,165784198,17.66,100.0,5.0,1.0,95.0,Strong Buy Signal,359.27,342.04,324.8,0.1,57.54,Target Volume,Expected Range,9.64,Absent or Weak Trend
2023-07-18,356.32,359.33,353.49,358.98,935478,2.66,5.84,0.74,1.63,2.92,341.58,339.11,3.68,2.74,0.94,166784357,14.67,98.33,6.67,1.0,91.67,Strong Buy Signal,358.48,341.58,324.67,0.1,57.66,Target Volume,Expected Range,9.51,Absent or Weak Trend
2023-07-17,351.74,359.34,351.63,357.98,1244694,6.24,7.71,1.74,2.15,3.85,341.08,338.44,3.06,2.51,0.55,165848879,14.67,100.0,8.33,1.0,91.67,Strong Buy Signal,357.66,341.08,324.5,0.1,57.45,Target Volume,Expected Range,9.42,Absent or Weak Trend
2023-07-14,348.84,353.4,348.18,352.74,961397,3.9,5.22,1.11,1.48,2.61,340.59,337.78,2.33,2.37,-0.04,164604185,11.7,85.0,10.0,1.0,75.0,Strong Buy Signal,356.89,340.59,324.29,0.1,56.34,Target Volume,Expected Range,9.33,Absent or Weak Trend
2023-07-13,347.53,349.97,346.09,349.02,756417,1.49,3.88,0.43,1.11,1.94,340.13,337.27,1.89,2.38,-0.49,163642788,9.92,86.67,11.67,1.0,75.0,Strong Buy Signal,356.58,340.13,323.67,0.1,55.53,Target Volume,Expected Range,9.29,Absent or Weak Trend
2023-07-12,342.78,347.62,341.91,346.06,795780,3.28,5.71,0.95,1.65,2.86,339.77,336.87,1.69,2.5,-0.81,162886371,8.68,88.33,13.33,1.0,75.0,Strong Buy Signal,356.36,339.77,323.18,0.1,54.87,Target Volume,Expected Range,9.28,Absent or Weak Trend
2023-07-11,342.63,344.79,340.02,341.74,939960,-0.89,4.77,-0.26,1.4,2.39,339.56,336.56,1.7,2.7,-1.0,162090591,7.16,90.0,15.0,1.0,75.0,Strong Buy Signal,356.15,339.56,322.98,0.1,53.9,Target Volume,Expected Range,9.29,Absent or Weak Trend
2023-07-10,339.02,346.69,339.02,344.46,1008993,5.44,7.67,1.58,2.23,3.84,339.42,336.39,2.14,2.95,-0.81,163030551,7.16,91.67,16.67,1.0,75.0,Strong Buy Signal,356.08,339.42,322.77,0.1,54.63,Target Volume,Expected Range,9.32,Absent or Weak Trend
2023-07-07,345.66,345.66,335.82,338.18,1268519,-7.48,9.84,-2.21,2.91,4.92,339.12,336.11,2.39,3.16,-0.77,162021558,6.62,93.33,18.33,1.0,75.0,Strong Buy Signal,356.05,339.12,322.2,0.1,53.18,Target Volume,Expected Range,9.36,Absent or Weak Trend
2023-07-06,347.0,347.92,344.52,345.76,829747,-1.24,3.4,-0.36,0.98,1.7,338.9,336.04,3.31,3.35,-0.04,163290077,12.09,95.0,20.0,1.0,75.0,Strong Buy Signal,356.22,338.9,321.58,0.1,55.27,Target Volume,Expected Range,9.41,Absent or Weak Trend
2023-07-05,347.57,349.99,343.11,348.32,854294,0.75,6.88,0.22,1.98,3.44,338.53,335.71,3.66,3.36,0.31,164119824,12.09,96.67,21.67,1.0,75.0,Strong Buy Signal,356.2,338.53,320.85,0.1,56.0,Target Volume,Expected Range,9.36,Absent or Weak Trend
2023-07-03,348.77,348.84,343.84,347.57,688820,-1.2,4.99,-0.35,1.44,2.5,338.08,335.29,3.8,3.28,0.52,163265530,11.51,98.33,0.0,1.0,98.33,Strong Buy Signal,356.09,338.08,320.07,0.11,55.83,Target Volume,Expected Range,9.32,Absent or Weak Trend
2023-06-30,349.86,354.94,349.57,351.91,1453335,2.05,5.37,0.58,1.53,2.69,337.65,334.87,4.0,3.15,0.85,163954350,15.23,100.0,0.0,1.0,100.0,Strong Buy Signal,355.96,337.65,319.35,0.11,57.07,Target Volume,Expected Range,9.28,Absent or Weak Trend
2023-06-29,349.91,352.77,347.7,348.18,1050989,-1.73,5.07,-0.5,1.46,2.53,337.03,334.29,3.76,2.94,0.82,162501015,14.16,33.33,1.67,1.0,31.67,Weak Buy Signal,355.89,337.03,318.17,0.11,56.25,Target Volume,Expected Range,9.18,Absent or Weak Trend
2023-06-28,348.0,351.94,345.03,350.78,1045285,2.78,6.91,0.79,1.97,3.45,336.5,333.82,3.77,2.73,1.04,163552004,13.75,35.0,0.0,1.0,35.0,Weak Buy Signal,355.86,336.5,317.13,0.12,57.0,Target Volume,Expected Range,9.09,Absent or Weak Trend
2023-06-27,348.05,350.08,342.63,347.12,1258051,-0.93,7.45,-0.27,2.15,3.72,335.9,333.25,3.47,2.47,0.99,162506719,12.84,36.67,0.0,1.0,36.67,Weak Buy Signal,355.67,335.9,316.14,0.12,56.19,Target Volume,Expected Range,9.01,Absent or Weak Trend
