Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-11,11.12,11.41,11.08,11.35,7867298,0.23,0.33,2.03,2.91,0.17,1
2023-08-10,11.33,11.43,11.12,11.16,5841653,-0.17,0.31,-1.52,2.78,0.16,-1
2023-08-09,11.15,11.48,11.13,11.26,10216520,0.11,0.35,0.98,3.11,0.17,1
2023-08-08,10.97,11.18,10.76,11.15,9842281,0.18,0.41,1.61,3.72,0.21,1
2023-08-07,10.85,11.48,10.85,11.0,22262736,0.15,0.63,1.36,5.73,0.32,1
2023-08-04,10.46,10.63,10.39,10.59,12745542,0.13,0.24,1.23,2.27,0.12,1
2023-08-03,10.43,10.48,10.3,10.45,6847905,0.02,0.19,0.19,1.77,0.09,1
2023-08-02,10.17,10.48,10.13,10.43,8362704,0.26,0.35,2.49,3.32,0.17,1
2023-08-01,10.51,10.54,10.15,10.22,11850183,-0.29,0.39,-2.84,3.82,0.19,-1
2023-07-31,10.44,10.55,10.37,10.53,21000983,0.09,0.18,0.85,1.71,0.09,1
2023-07-28,10.45,10.45,10.32,10.4,8005684,-0.05,0.13,-0.48,1.25,0.06,1
2023-07-27,10.46,10.5,10.28,10.33,6380711,-0.12,0.23,-1.21,2.18,0.11,-1
2023-07-26,10.43,10.57,10.37,10.48,6782300,0.05,0.2,0.48,1.91,0.1,1
2023-07-25,10.55,10.6,10.35,10.41,7859946,-0.14,0.25,-1.34,2.35,0.12,-1
2023-07-24,10.46,10.73,10.45,10.62,6691307,0.16,0.28,1.51,2.64,0.14,1
2023-07-21,10.49,10.55,10.39,10.48,4875979,-0.01,0.16,-0.1,1.53,0.08,1
2023-07-20,10.56,10.63,10.43,10.47,6731276,-0.09,0.2,-0.86,1.91,0.1,1
2023-07-19,10.28,10.52,10.25,10.43,8213141,0.15,0.27,1.44,2.59,0.13,1
2023-07-18,10.02,10.31,9.96,10.18,8232659,0.16,0.35,1.57,3.44,0.17,1
2023-07-17,10.1,10.1,9.91,10.01,5981745,-0.09,0.19,-0.9,1.87,0.09,-1
2023-07-14,10.19,10.22,10.11,10.16,5655456,-0.03,0.11,-0.3,1.08,0.06,-1
2023-07-13,10.25,10.33,10.22,10.29,6049197,0.04,0.11,0.39,1.02,0.05,1
2023-07-12,10.35,10.45,10.2,10.24,6022736,-0.11,0.25,-1.07,2.44,0.12,-1
2023-07-11,10.0,10.31,9.98,10.25,15363458,0.25,0.33,2.44,3.17,0.16,1
2023-07-10,9.87,9.94,9.8,9.93,9614963,0.06,0.14,0.6,1.41,0.07,1
2023-07-07,9.82,9.99,9.82,9.86,10711925,0.04,0.17,0.41,1.72,0.08,1
2023-07-06,9.82,9.9,9.72,9.84,6695977,0.02,0.18,0.2,1.83,0.09,-1
2023-07-05,9.82,9.96,9.71,9.91,6843602,0.09,0.25,0.91,2.52,0.12,1
2023-07-03,9.95,10.02,9.87,9.89,4171671,-0.06,0.15,-0.61,1.47,0.07,-1
2023-06-30,9.99,10.02,9.89,9.98,7785612,-0.01,0.13,-0.1,1.3,0.06,1
2023-06-29,9.69,9.93,9.68,9.91,6745067,0.22,0.25,2.22,2.47,0.12,1
2023-06-28,9.83,9.92,9.65,9.72,6932317,-0.11,0.27,-1.13,2.78,0.13,-1
2023-06-27,9.77,9.91,9.7,9.85,5158938,0.08,0.21,0.81,2.13,0.11,-1
2023-06-26,9.75,9.9,9.68,9.85,7387555,0.1,0.22,1.02,2.22,0.11,1
2023-06-23,9.77,9.89,9.58,9.76,12886677,-0.01,0.31,-0.1,3.18,0.16,-1
2023-06-22,10.11,10.13,9.99,10.05,5961005,-0.06,0.14,-0.6,1.39,0.07,-1
2023-06-21,10.18,10.2,10.0,10.11,10366254,-0.07,0.2,-0.69,1.93,0.1,-1
2023-06-20,10.2,10.28,10.09,10.19,14702188,-0.01,0.19,-0.1,1.86,0.09,-1
2023-06-16,10.0,10.32,9.98,10.29,23647622,0.29,0.34,2.82,3.3,0.17,1
2023-06-15,9.76,9.96,9.75,9.94,9178571,0.18,0.21,1.81,2.11,0.11,1
2023-06-14,9.69,9.87,9.65,9.76,11038116,0.07,0.21,0.72,2.2,0.11,1
2023-06-13,9.4,9.7,9.36,9.63,16920028,0.23,0.34,2.39,3.58,0.17,1
2023-06-12,9.39,9.54,9.32,9.4,7293820,0.01,0.22,0.11,2.34,0.11,1
2023-06-09,9.46,9.49,9.34,9.38,6546733,-0.08,0.15,-0.85,1.6,0.08,-1
2023-06-08,9.7,9.72,9.42,9.52,6159339,-0.18,0.3,-1.89,3.15,0.15,-1
2023-06-07,9.52,9.75,9.49,9.71,12644935,0.19,0.26,1.96,2.68,0.13,1
2023-06-06,9.37,9.55,9.32,9.51,8214341,0.14,0.23,1.47,2.42,0.12,1
2023-06-05,9.38,9.38,9.24,9.33,7840645,-0.05,0.14,-0.54,1.5,0.07,-1
2023-06-02,9.25,9.35,9.2,9.33,10189758,0.08,0.14,0.86,1.55,0.07,1
2023-06-01,9.15,9.21,8.99,9.18,8523754,0.03,0.22,0.33,2.4,0.11,1
2023-05-31,9.11,9.22,9.08,9.15,15070607,0.04,0.13,0.44,1.48,0.07,-1
2023-05-30,9.06,9.21,8.99,9.18,10331446,0.12,0.22,1.31,2.34,0.11,1
2023-05-26,9.06,9.18,9.02,9.11,9488587,0.05,0.15,0.55,1.65,0.08,1
2023-05-25,8.92,9.06,8.84,9.03,9529339,0.11,0.21,1.22,2.38,0.11,-1
2023-05-24,9.21,9.21,8.94,9.03,6534461,-0.18,0.27,-1.99,2.93,0.13,-1
2023-05-23,9.35,9.43,9.22,9.24,7322854,-0.11,0.21,-1.19,2.22,0.1,-1
2023-05-22,9.51,9.67,9.44,9.47,10476609,-0.04,0.23,-0.42,2.43,0.12,1
2023-05-19,9.43,9.57,9.3,9.33,9588380,-0.1,0.28,-1.07,2.95,0.14,-1
2023-05-18,9.29,9.4,9.23,9.37,8050252,0.08,0.17,0.85,1.81,0.08,1
2023-05-17,9.19,9.36,9.12,9.3,11848456,0.11,0.24,1.18,2.53,0.12,1
2023-05-16,9.36,9.36,9.14,9.15,5863775,-0.21,0.22,-2.3,2.4,0.11,-1
2023-05-15,9.31,9.43,9.27,9.37,7037056,0.06,0.16,0.64,1.71,0.08,1
2023-05-12,9.38,9.4,9.25,9.28,7601361,-0.1,0.15,-1.08,1.62,0.08,-1
2023-05-11,9.55,9.56,9.26,9.36,9556389,-0.19,0.3,-2.03,3.21,0.15,-1
2023-05-10,9.8,9.82,9.26,9.59,16503269,-0.21,0.56,-2.19,5.84,0.28,-1
2023-05-09,9.74,9.85,9.62,9.74,12013317,0.0,0.22,0.0,2.26,0.11,-1
2023-05-08,9.6,10.09,9.36,9.82,24026385,0.22,0.73,2.24,7.43,0.37,1
2023-05-05,9.1,9.3,9.08,9.28,14022004,0.18,0.21,1.94,2.32,0.11,1
2023-05-04,9.12,9.14,8.95,9.02,9198070,-0.1,0.19,-1.11,2.11,0.1,-1
2023-05-03,9.16,9.25,9.1,9.14,10347979,-0.02,0.15,-0.22,1.64,0.08,1
2023-05-02,9.34,9.36,8.93,9.12,9547117,-0.22,0.43,-2.41,4.71,0.21,-1
2023-05-01,9.31,9.4,9.3,9.36,6877038,0.05,0.1,0.53,1.07,0.05,1
2023-04-28,9.21,9.34,9.2,9.33,6905061,0.12,0.14,1.29,1.45,0.07,1
2023-04-27,9.11,9.3,8.99,9.26,7861654,0.15,0.31,1.62,3.35,0.16,1
2023-04-26,9.2,9.26,9.08,9.1,5830205,-0.1,0.18,-1.1,1.98,0.09,-1
2023-04-25,9.3,9.36,9.16,9.18,7315745,-0.12,0.2,-1.31,2.18,0.1,-1
2023-04-24,9.52,9.53,9.17,9.33,14780257,-0.19,0.36,-2.04,3.86,0.18,-1
2023-04-21,9.7,9.75,9.62,9.65,4689145,-0.05,0.13,-0.52,1.35,0.07,-1
2023-04-20,9.77,9.78,9.66,9.68,4773786,-0.09,0.12,-0.93,1.19,0.06,-1
2023-04-19,9.81,9.94,9.75,9.83,6046454,0.02,0.19,0.2,1.88,0.09,-1
2023-04-18,9.93,9.94,9.77,9.88,5531811,-0.05,0.17,-0.51,1.71,0.08,-1
2023-04-17,9.87,9.96,9.78,9.91,6598678,0.04,0.19,0.4,1.87,0.09,1
2023-04-14,9.9,9.95,9.81,9.87,5487874,-0.03,0.14,-0.3,1.42,0.07,-1
2023-04-13,9.85,9.99,9.83,9.92,5482699,0.07,0.16,0.71,1.61,0.08,1
2023-04-12,9.98,10.01,9.8,9.82,6416328,-0.16,0.21,-1.63,2.19,0.11,-1
2023-04-11,9.88,10.03,9.87,9.91,6634688,0.03,0.16,0.3,1.61,0.08,1
2023-04-10,9.95,9.97,9.75,9.85,10184629,-0.1,0.22,-1.02,2.22,0.11,-1
2023-04-06,9.9,9.94,9.82,9.92,9231533,0.02,0.12,0.2,1.26,0.06,1
2023-04-05,9.52,9.82,9.51,9.8,16816080,0.28,0.31,2.86,3.21,0.16,1
2023-04-04,9.69,9.71,9.36,9.53,12553660,-0.16,0.35,-1.68,3.62,0.17,-1
2023-04-03,9.68,9.72,9.48,9.61,18261404,-0.08,0.24,-0.78,2.45,0.12,-1
2023-03-31,9.59,9.71,9.56,9.62,13248480,0.03,0.16,0.36,1.61,0.08,1
2023-03-30,9.62,9.67,9.49,9.56,6050047,-0.06,0.18,-0.63,1.88,0.09,1
2023-03-29,9.62,9.64,9.48,9.53,6087793,-0.09,0.16,-0.94,1.68,0.08,-1
2023-03-28,9.43,9.53,9.39,9.53,5557047,0.1,0.14,1.05,1.47,0.07,1
2023-03-27,9.42,9.59,9.33,9.47,6892935,0.05,0.26,0.53,2.69,0.13,1
2023-03-24,9.16,9.36,9.08,9.33,7014785,0.17,0.28,1.82,3.0,0.14,1
2023-03-23,9.4,9.49,9.1,9.2,10488451,-0.2,0.39,-2.17,4.24,0.2,-1
2023-03-22,9.63,9.65,9.37,9.4,8337569,-0.23,0.29,-2.45,3.03,0.14,-1
2023-03-21,9.57,9.8,9.57,9.65,9537541,0.08,0.23,0.83,2.38,0.12,1
2023-03-20,9.5,9.56,9.34,9.44,11390459,-0.06,0.22,-0.64,2.38,0.11,1
2023-03-17,9.44,9.47,9.28,9.43,15567264,-0.01,0.19,-0.11,1.96,0.09,-1
2023-03-16,9.35,9.53,9.23,9.5,9801650,0.15,0.3,1.58,3.16,0.15,-1
2023-03-15,9.7,9.72,9.43,9.5,11314946,-0.2,0.29,-2.11,3.11,0.15,-1
2023-03-14,10.0,10.02,9.78,9.85,8683558,-0.15,0.24,-1.52,2.44,0.12,1
2023-03-13,9.91,10.02,9.76,9.83,12335688,-0.08,0.27,-0.81,2.75,0.13,-1
2023-03-10,10.06,10.24,9.91,10.0,8784179,-0.06,0.33,-0.65,3.3,0.17,-1
2023-03-09,10.54,10.54,10.08,10.13,9335683,-0.41,0.46,-4.05,4.54,0.23,-1
2023-03-08,10.57,10.64,10.48,10.56,7025693,-0.01,0.16,-0.09,1.52,0.08,-1
2023-03-07,10.87,10.89,10.64,10.73,13983149,-0.14,0.25,-1.3,2.31,0.12,-1
2023-03-06,11.13,11.14,10.74,10.86,16956089,-0.27,0.4,-2.49,3.68,0.2,-1
2023-03-03,11.18,11.23,11.1,11.13,9855139,-0.05,0.13,-0.45,1.17,0.07,-1
2023-03-02,11.29,11.29,11.06,11.13,7375151,-0.16,0.23,-1.44,2.05,0.11,-1
2023-03-01,11.4,11.42,11.25,11.31,7621706,-0.09,0.18,-0.8,1.55,0.09,-1
2023-02-28,11.29,11.56,11.17,11.4,11022090,0.11,0.39,0.96,3.42,0.2,1
2023-02-27,11.38,11.8,11.04,11.2,13395872,-0.18,0.76,-1.61,6.79,0.38,-1
2023-02-24,11.56,11.56,11.37,11.51,11246374,-0.05,0.19,-0.43,1.65,0.1,-1
2023-02-23,11.49,11.68,11.46,11.54,7382280,0.05,0.21,0.43,1.86,0.11,1
2023-02-22,11.49,11.66,11.39,11.49,6557305,0.0,0.27,0.0,2.35,0.13,-1
2023-02-21,11.61,11.65,11.38,11.5,7748310,-0.11,0.27,-0.96,2.3,0.13,-1
2023-02-17,11.53,11.77,11.3,11.69,7178185,0.16,0.47,1.37,4.02,0.23,1
2023-02-16,11.72,11.74,11.58,11.65,14637325,-0.07,0.16,-0.6,1.42,0.08,-1
2023-02-15,11.72,11.89,11.64,11.85,10006596,0.13,0.26,1.1,2.15,0.13,1
2023-02-14,12.02,12.04,11.79,11.81,6939638,-0.21,0.26,-1.78,2.16,0.13,-1
2023-02-13,11.8,12.06,11.79,11.98,6171795,0.18,0.27,1.5,2.25,0.14,1
2023-02-10,11.72,11.88,11.67,11.84,6274960,0.12,0.21,1.01,1.82,0.11,1
2023-02-09,11.98,12.0,11.69,11.72,7785293,-0.26,0.31,-2.22,2.65,0.16,-1
2023-02-08,12.04,12.1,11.9,11.92,4907582,-0.12,0.2,-1.01,1.68,0.1,-1
2023-02-07,12.1,12.24,11.96,12.11,6456126,0.01,0.28,0.08,2.27,0.14,1
2023-02-06,12.05,12.11,11.82,12.05,10046402,0.0,0.29,0.0,2.41,0.14,-1
2023-02-03,12.19,12.26,12.1,12.18,7055741,-0.01,0.16,-0.08,1.31,0.08,-1
