Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-14,9.58,9.66,9.32,9.51,387846,-0.07,0.34,-0.74,3.63,0.17,10.77,10.68,-0.59,-0.3,-0.29,215380105,5.74,40.0,16.67,1.0,23.33,Weak Buy Signal,14.81,10.77,6.73,0.75,49.6,Target Volume,Expected Range,21.11,Absent or Weak Trend
2023-07-13,9.72,9.74,9.47,9.52,319553,-0.2,0.26,-2.1,2.78,0.13,10.74,10.72,-0.54,-0.23,-0.31,215767951,6.68,41.67,18.33,1.0,23.33,Weak Buy Signal,14.84,10.74,6.64,0.76,49.63,Target Volume,Expected Range,21.37,Absent or Weak Trend
2023-07-12,10.02,10.14,9.72,9.72,437573,-0.3,0.43,-3.09,4.37,0.21,10.71,10.76,-0.47,-0.15,-0.32,216087504,8.22,43.33,20.0,1.0,23.33,Weak Buy Signal,14.86,10.71,6.56,0.77,50.13,Target Volume,Expected Range,21.62,Absent or Weak Trend
2023-07-11,10.16,10.16,9.68,9.85,632388,-0.31,0.48,-3.15,4.87,0.24,10.69,10.8,-0.4,-0.07,-0.33,216525077,8.22,45.0,21.67,1.0,23.33,Weak Buy Signal,14.88,10.69,6.49,0.79,50.46,Target Volume,Expected Range,21.85,Absent or Weak Trend
2023-07-10,10.28,10.38,10.15,10.18,431228,-0.1,0.23,-0.98,2.26,0.12,10.66,10.83,-0.31,0.01,-0.32,217157465,11.2,46.67,23.33,1.0,23.33,Weak Buy Signal,14.9,10.66,6.41,0.8,51.3,Target Volume,Expected Range,22.08,Absent or Weak Trend
2023-07-07,10.64,10.83,10.14,10.23,489390,-0.41,0.69,-4.01,6.74,0.34,10.62,10.85,-0.23,0.09,-0.32,217588693,11.2,48.33,25.0,1.0,23.33,Weak Buy Signal,14.92,10.62,6.31,0.81,51.43,Target Volume,Expected Range,22.27,Absent or Weak Trend
2023-07-06,10.8,11.11,10.51,10.64,595257,-0.16,0.6,-1.5,5.64,0.3,10.58,10.88,-0.13,0.17,-0.3,218078083,13.57,50.0,26.67,1.0,23.33,Weak Buy Signal,14.94,10.58,6.22,0.82,52.47,Target Volume,Expected Range,22.45,Absent or Weak Trend
2023-07-05,11.32,11.35,10.97,11.05,403449,-0.27,0.38,-2.44,3.44,0.19,10.54,10.88,-0.04,0.25,-0.29,218673340,16.62,51.67,28.33,1.0,23.33,Weak Buy Signal,14.94,10.54,6.13,0.84,53.55,Target Volume,Expected Range,22.6,Absent or Weak Trend
2023-07-03,11.5,11.58,11.16,11.25,280611,-0.25,0.41,-2.22,3.69,0.21,10.49,10.88,0.03,0.32,-0.29,219076789,17.91,53.33,30.0,1.0,23.33,Weak Buy Signal,14.94,10.49,6.03,0.85,54.08,Target Volume,Expected Range,22.71,Absent or Weak Trend
2023-06-30,11.41,11.55,11.07,11.45,703185,0.04,0.48,0.35,4.19,0.24,10.43,10.87,0.1,0.39,-0.29,219357400,17.79,55.0,31.67,1.0,23.33,Weak Buy Signal,14.93,10.43,5.92,0.86,54.61,Target Volume,Expected Range,22.79,Absent or Weak Trend
2023-06-29,11.85,12.24,11.39,11.44,494522,-0.41,0.85,-3.58,7.45,0.43,10.36,10.85,0.17,0.47,-0.3,218654215,19.95,56.67,33.33,1.0,23.33,Weak Buy Signal,14.91,10.36,5.82,0.88,54.59,Target Volume,Expected Range,22.87,Absent or Weak Trend
2023-06-28,11.49,11.83,11.15,11.81,494716,0.32,0.68,2.71,5.76,0.34,10.31,10.83,0.26,0.54,-0.28,219148737,18.05,58.33,35.0,1.0,23.33,Weak Buy Signal,14.88,10.31,5.73,0.89,55.56,Target Volume,Expected Range,22.92,Absent or Weak Trend
2023-06-27,11.83,11.95,11.56,11.58,477780,-0.25,0.39,-2.16,3.37,0.19,10.24,10.79,0.33,0.61,-0.29,218654021,20.86,60.0,36.67,1.0,23.33,Weak Buy Signal,14.85,10.24,5.63,0.9,55.07,Target Volume,Expected Range,23.0,Absent or Weak Trend
2023-06-26,11.79,12.23,11.55,11.82,603426,0.03,0.68,0.25,5.75,0.34,10.18,10.77,0.44,0.68,-0.25,219131801,20.86,61.67,38.33,1.0,23.33,Weak Buy Signal,14.81,10.18,5.54,0.91,55.71,Target Volume,Expected Range,23.04,Absent or Weak Trend
2023-06-23,12.15,12.56,11.75,11.93,4769053,-0.22,0.81,-1.84,6.79,0.41,10.11,10.73,0.54,0.75,-0.2,219735227,22.21,63.33,40.0,1.0,23.33,Weak Buy Signal,14.77,10.11,5.44,0.92,56.0,Target Volume,Expected Range,23.08,Absent or Weak Trend
2023-06-22,12.6,12.64,12.01,12.39,673181,-0.21,0.63,-1.69,5.09,0.32,10.02,10.69,0.66,0.8,-0.14,224504280,24.0,65.0,41.67,1.0,23.33,Weak Buy Signal,14.73,10.02,5.32,0.94,57.22,Target Volume,Expected Range,23.09,Absent or Weak Trend
2023-06-21,13.81,14.0,10.85,12.64,1782242,-1.17,3.15,-9.26,24.92,1.58,9.94,10.63,0.75,0.83,-0.08,225177461,24.0,66.67,43.33,1.0,23.33,Weak Buy Signal,14.65,9.94,5.22,0.95,57.9,Target Volume,Expected Range,23.08,Absent or Weak Trend
2023-06-20,12.98,14.07,12.92,13.99,1038119,1.01,1.16,7.22,8.26,0.58,9.85,10.56,0.84,0.85,-0.01,226959703,39.8,68.33,45.0,1.0,23.33,Weak Buy Signal,14.56,9.85,5.14,0.96,61.78,Trending Low,Bearish Trend,23.06,Absent or Weak Trend
2023-06-16,13.09,13.26,12.86,12.97,470164,-0.12,0.4,-0.93,3.08,0.2,9.74,10.45,0.79,0.85,-0.06,225921584,36.69,70.0,46.67,1.0,23.33,Weak Buy Signal,14.36,9.74,5.12,0.95,59.78,Target Volume,Expected Range,22.78,Absent or Weak Trend
2023-06-15,13.1,13.29,12.79,13.17,461815,0.07,0.5,0.53,3.8,0.25,9.65,10.36,0.83,0.87,-0.04,226391748,36.69,71.67,48.33,1.0,23.33,Weak Buy Signal,14.23,9.65,5.07,0.95,60.39,Trending Low,Bearish Trend,22.54,Absent or Weak Trend
2023-06-14,13.3,13.43,12.68,12.93,428324,-0.37,0.74,-2.86,5.76,0.37,9.56,10.27,0.85,0.88,-0.03,225929933,36.69,73.33,50.0,1.0,23.33,Weak Buy Signal,14.07,9.56,5.05,0.94,59.9,Target Volume,Expected Range,22.3,Absent or Weak Trend
2023-06-13,13.25,13.6,13.15,13.37,406643,0.12,0.45,0.9,3.33,0.22,9.47,10.18,0.88,0.89,-0.01,226358257,40.65,75.0,51.67,1.0,23.33,Weak Buy Signal,13.92,9.47,5.03,0.94,61.25,Trending Low,Bearish Trend,22.06,Absent or Weak Trend
2023-06-12,13.1,13.58,12.89,13.2,675852,0.1,0.7,0.76,5.27,0.35,9.38,10.07,0.86,0.89,-0.03,225951614,40.62,76.67,53.33,1.0,23.33,Weak Buy Signal,13.73,9.38,5.04,0.93,60.92,Trending Low,Bearish Trend,21.74,Absent or Weak Trend
2023-06-09,12.84,13.04,12.62,12.97,411382,0.13,0.42,1.0,3.24,0.21,9.3,9.96,0.84,0.89,-0.05,225275762,38.6,78.33,55.0,1.0,23.33,Weak Buy Signal,13.54,9.3,5.06,0.91,60.46,Trending Low,Bearish Trend,21.42,Absent or Weak Trend
2023-06-08,12.7,13.18,12.66,12.79,745079,0.09,0.52,0.7,4.07,0.26,9.22,9.86,0.83,0.91,-0.08,224864380,38.94,80.0,56.67,1.0,23.33,Weak Buy Signal,13.36,9.22,5.07,0.9,60.11,Trending Low,Bearish Trend,21.13,Absent or Weak Trend
2023-06-07,12.56,12.66,12.09,12.59,532998,0.03,0.57,0.24,4.5,0.28,9.14,9.76,0.82,0.93,-0.11,224119301,36.95,81.67,58.33,1.0,23.33,Weak Buy Signal,13.19,9.14,5.1,0.88,59.71,Target Volume,Expected Range,20.83,Absent or Weak Trend
2023-06-06,11.63,12.65,11.63,12.57,611666,0.94,1.02,7.48,8.11,0.51,9.06,9.66,0.82,0.95,-0.14,223586303,36.91,83.33,60.0,1.0,23.33,Weak Buy Signal,13.02,9.06,5.11,0.87,59.67,Target Volume,Expected Range,20.56,Absent or Weak Trend
2023-06-05,11.39,12.13,11.39,11.72,665331,0.33,0.74,2.82,6.31,0.37,8.98,9.57,0.8,0.99,-0.18,222974637,34.87,85.0,61.67,1.0,23.33,Weak Buy Signal,12.85,8.98,5.11,0.86,57.95,Target Volume,Expected Range,20.28,Absent or Weak Trend
2023-06-02,11.75,11.86,11.33,11.36,417602,-0.39,0.53,-3.43,4.62,0.26,8.92,9.49,0.86,1.03,-0.17,222309306,33.75,86.67,63.33,1.0,23.33,Weak Buy Signal,12.72,8.92,5.11,0.85,57.19,Target Volume,Expected Range,20.03,Absent or Weak Trend
2023-06-01,11.4,11.92,11.29,11.75,533546,0.35,0.63,2.98,5.36,0.32,8.86,9.43,0.96,1.08,-0.12,222726908,33.75,88.33,65.0,1.0,23.33,Weak Buy Signal,12.62,8.86,5.1,0.85,58.32,Target Volume,Expected Range,19.8,Absent or Weak Trend
2023-05-31,11.72,12.02,11.15,11.39,524905,-0.33,0.87,-2.9,7.64,0.43,8.79,9.35,1.03,1.11,-0.08,222193362,33.75,90.0,66.67,1.0,23.33,Weak Buy Signal,12.49,8.79,5.08,0.84,57.56,Target Volume,Expected Range,19.56,Absent or Weak Trend
2023-05-30,12.24,12.38,11.28,11.72,691806,-0.52,1.1,-4.44,9.39,0.55,8.73,9.28,1.14,1.13,0.02,222718267,34.79,91.67,68.33,1.0,23.33,Weak Buy Signal,12.38,8.73,5.08,0.84,58.52,Target Volume,Expected Range,19.32,Absent or Weak Trend
2023-05-26,11.92,12.4,11.8,12.05,519342,0.13,0.6,1.08,4.98,0.3,8.66,9.2,1.24,1.12,0.12,223410073,39.04,93.33,70.0,1.0,23.33,Weak Buy Signal,12.24,8.66,5.08,0.83,59.49,Target Volume,Expected Range,19.06,Absent or Weak Trend
2023-05-25,13.01,13.01,11.8,11.94,692779,-1.07,1.21,-8.96,10.13,0.6,8.58,9.1,1.3,1.09,0.21,222890731,39.04,95.0,71.67,1.0,23.33,Weak Buy Signal,12.06,8.58,5.09,0.81,59.27,Target Volume,Expected Range,18.72,Absent or Weak Trend
2023-05-24,12.27,13.23,12.08,13.09,921472,0.82,1.15,6.26,8.79,0.58,8.5,9.01,1.38,1.04,0.34,223583510,41.37,96.67,73.33,1.0,23.33,Weak Buy Signal,11.89,8.5,5.1,0.8,62.8,Trending Low,Bearish Trend,18.38,Absent or Weak Trend
2023-05-23,13.48,13.48,11.94,12.37,1527111,-1.11,1.54,-8.93,12.41,0.77,8.4,8.87,1.35,0.95,0.39,222662038,41.37,98.33,75.0,1.0,23.33,Weak Buy Signal,11.59,8.4,5.21,0.76,61.38,Trending Low,Bearish Trend,17.99,Absent or Weak Trend
2023-05-22,13.13,14.34,12.99,13.85,1158675,0.72,1.35,5.2,9.75,0.67,8.31,8.75,1.35,0.86,0.5,224189149,50.48,100.0,76.67,1.0,23.33,Weak Buy Signal,11.35,8.31,5.28,0.73,66.5,Trending Low,Bearish Trend,17.59,Absent or Weak Trend
2023-05-19,12.31,13.43,12.25,13.17,690209,0.86,1.18,6.53,8.96,0.59,8.2,8.58,1.19,0.73,0.46,223030474,47.6,100.0,78.33,1.0,21.67,Weak Buy Signal,10.88,8.2,5.51,0.65,65.19,Trending Low,Bearish Trend,17.03,Absent or Weak Trend
2023-05-18,11.96,12.34,11.53,12.27,613413,0.31,0.81,2.53,6.6,0.41,8.1,8.42,1.03,0.62,0.42,222340265,43.75,100.0,80.0,1.0,20.0,Weak Buy Signal,10.47,8.1,5.72,0.59,63.32,Trending Low,Bearish Trend,16.52,Absent or Weak Trend
2023-05-17,11.45,12.13,10.98,12.02,836516,0.57,1.15,4.74,9.57,0.58,8.01,8.29,0.91,0.51,0.4,221726852,42.96,100.0,81.67,1.0,18.33,High Volatility / Hold Signal,10.13,8.01,5.89,0.53,62.78,Trending Low,Bearish Trend,16.05,Absent or Weak Trend
2023-05-16,10.27,11.45,10.21,11.36,741660,1.1,1.24,9.63,10.91,0.62,7.93,8.16,0.77,0.41,0.36,220890336,40.27,91.67,83.33,1.0,8.33,High Volatility / Hold Signal,9.79,7.93,6.07,0.47,61.29,Trending Low,Bearish Trend,15.6,Absent or Weak Trend
2023-05-15,10.35,10.45,10.01,10.4,441603,0.05,0.44,0.48,4.23,0.22,7.86,8.06,0.64,0.32,0.32,220148676,35.9,93.33,85.0,1.0,8.33,High Volatility / Hold Signal,9.5,7.86,6.23,0.42,58.91,Target Volume,Expected Range,15.18,Absent or Weak Trend
2023-05-12,9.94,10.84,9.94,10.44,611150,0.5,0.9,4.79,8.61,0.45,7.81,7.98,0.57,0.24,0.32,220590279,35.9,95.0,86.67,1.0,8.33,High Volatility / Hold Signal,9.31,7.81,6.31,0.38,59.06,Target Volume,Expected Range,14.83,Absent or Weak Trend
2023-05-11,10.01,10.25,9.61,9.88,603898,-0.13,0.64,-1.32,6.48,0.32,7.76,7.89,0.46,0.16,0.3,219979129,33.12,96.67,88.33,1.0,8.33,High Volatility / Hold Signal,9.1,7.76,6.43,0.34,57.6,Target Volume,Expected Range,14.47,Absent or Weak Trend
2023-05-10,10.77,11.34,9.41,9.89,965719,-0.88,1.93,-8.9,19.51,0.96,7.72,7.82,0.38,0.09,0.29,220583027,33.12,98.33,90.0,1.0,8.33,High Volatility / Hold Signal,8.94,7.72,6.51,0.31,57.63,Target Volume,Expected Range,14.16,Absent or Weak Trend
2023-05-09,8.83,11.49,8.59,10.76,3428687,1.93,2.9,17.94,26.95,1.45,7.69,7.75,0.26,0.02,0.24,221548746,33.12,100.0,91.67,1.0,8.33,High Volatility / Hold Signal,8.77,7.69,6.61,0.28,60.91,Trending Low,Bearish Trend,13.84,Absent or Weak Trend
2023-05-08,7.99,8.31,7.84,8.31,389755,0.32,0.47,3.85,5.66,0.24,7.64,7.65,0.02,-0.04,0.06,218120059,13.93,36.67,93.33,-1.0,-56.67,Weak Sell Signal,8.36,7.64,6.92,0.19,53.61,Target Volume,Expected Range,13.51,Absent or Weak Trend
2023-05-05,7.84,8.06,7.73,8.06,370334,0.22,0.33,2.73,4.09,0.17,7.63,7.63,-0.04,-0.06,0.02,217730304,11.97,38.33,95.0,-1.0,-56.67,Weak Sell Signal,8.34,7.63,6.93,0.19,52.73,Target Volume,Expected Range,13.5,Absent or Weak Trend
2023-05-04,7.63,7.89,7.59,7.83,379358,0.2,0.3,2.55,3.83,0.15,7.63,7.62,-0.08,-0.06,-0.02,217359970,10.62,40.0,96.67,-1.0,-56.67,Weak Sell Signal,8.34,7.63,6.93,0.18,51.9,Target Volume,Expected Range,13.53,Absent or Weak Trend
2023-05-03,7.34,7.81,7.3,7.71,1009295,0.37,0.51,4.8,6.65,0.26,7.64,7.61,-0.12,-0.06,-0.06,216980612,9.98,41.67,98.33,-1.0,-56.67,Weak Sell Signal,8.35,7.64,6.93,0.19,51.46,Target Volume,Expected Range,13.58,Absent or Weak Trend
2023-05-02,7.23,7.31,6.87,6.94,452044,-0.29,0.44,-4.18,6.34,0.22,7.64,7.61,-0.15,-0.05,-0.1,215971317,5.82,0.0,100.0,-1.0,-100.0,Strong Sell Signal,8.36,7.64,6.92,0.19,48.51,Target Volume,Expected Range,13.64,Absent or Weak Trend
2023-05-01,7.2,7.52,7.2,7.24,447103,0.04,0.32,0.55,4.42,0.16,7.66,7.63,-0.11,-0.02,-0.09,216423361,9.09,0.0,61.67,-1.0,-61.67,Weak Sell Signal,8.37,7.66,6.96,0.18,49.66,Target Volume,Expected Range,13.77,Absent or Weak Trend
2023-04-28,7.26,7.35,7.14,7.25,245496,-0.01,0.21,-0.14,2.9,0.1,7.69,7.64,-0.08,0.0,-0.08,216870464,7.64,0.0,63.33,-1.0,-63.33,Weak Sell Signal,8.45,7.69,6.93,0.2,49.7,Target Volume,Expected Range,13.85,Absent or Weak Trend
2023-04-27,7.39,7.43,7.05,7.28,429349,-0.11,0.38,-1.51,5.22,0.19,7.72,7.65,-0.05,0.02,-0.07,217115960,7.64,0.0,65.0,-1.0,-65.0,Weak Sell Signal,8.59,7.72,6.86,0.22,49.82,Target Volume,Expected Range,13.95,Absent or Weak Trend
2023-04-26,7.43,7.68,7.43,7.44,251059,0.01,0.25,0.13,3.34,0.12,7.76,7.67,-0.01,0.04,-0.05,217545309,11.47,1.67,66.67,-1.0,-65.0,Weak Sell Signal,8.72,7.76,6.8,0.25,50.43,Target Volume,Expected Range,14.06,Absent or Weak Trend
2023-04-25,7.69,7.88,7.42,7.52,267143,-0.17,0.46,-2.26,6.18,0.23,7.79,7.67,0.02,0.05,-0.03,217796368,11.47,3.33,68.33,-1.0,-65.0,Weak Sell Signal,8.8,7.79,6.77,0.26,50.74,Target Volume,Expected Range,14.11,Absent or Weak Trend
2023-04-24,7.96,7.96,7.67,7.7,234235,-0.26,0.29,-3.38,3.77,0.15,7.81,7.68,0.05,0.06,-0.01,218063511,14.11,5.0,70.0,-1.0,-65.0,Weak Sell Signal,8.87,7.81,6.75,0.27,51.43,Target Volume,Expected Range,14.15,Absent or Weak Trend
2023-04-21,7.94,8.14,7.84,7.97,250470,0.03,0.31,0.38,3.83,0.15,7.83,7.68,0.07,0.06,0.01,218297746,15.85,6.67,71.67,-1.0,-65.0,Weak Sell Signal,8.94,7.83,6.73,0.28,52.49,Target Volume,Expected Range,14.15,Absent or Weak Trend
2023-04-20,7.86,7.98,7.71,7.94,130737,0.08,0.27,1.01,3.4,0.14,7.85,7.67,0.07,0.06,0.01,218047276,14.6,8.33,73.33,-1.0,-65.0,Weak Sell Signal,9.0,7.85,6.71,0.29,52.38,Target Volume,Expected Range,14.12,Absent or Weak Trend
2023-04-19,7.79,7.98,7.61,7.91,156014,0.12,0.37,1.52,4.68,0.19,7.88,7.66,0.07,0.06,0.01,217916539,14.6,10.0,75.0,-1.0,-65.0,Weak Sell Signal,9.1,7.88,6.66,0.31,52.27,Target Volume,Expected Range,14.11,Absent or Weak Trend
2023-04-18,7.97,7.97,7.64,7.82,209372,-0.15,0.33,-1.92,4.22,0.17,7.9,7.65,0.07,0.06,0.02,217760525,14.91,11.67,76.67,-1.0,-65.0,Weak Sell Signal,9.16,7.9,6.64,0.32,51.96,Target Volume,Expected Range,14.11,Absent or Weak Trend
2023-04-17,8.17,8.35,7.89,7.92,382889,-0.25,0.46,-3.16,5.78,0.23,7.92,7.65,0.09,0.05,0.03,217969897,17.5,13.33,78.33,-1.0,-65.0,Weak Sell Signal,9.23,7.92,6.62,0.33,52.33,Target Volume,Expected Range,14.09,Absent or Weak Trend
2023-04-14,8.1,8.14,7.88,8.07,141617,-0.03,0.27,-0.37,3.28,0.13,7.95,7.64,0.09,0.04,0.05,218352786,15.95,15.0,80.0,-1.0,-65.0,Weak Sell Signal,9.31,7.95,6.59,0.34,52.9,Target Volume,Expected Range,14.03,Absent or Weak Trend
2023-04-13,7.8,8.17,7.8,8.09,188604,0.29,0.37,3.58,4.57,0.19,7.97,7.62,0.08,0.03,0.05,218494403,15.95,0.0,81.67,-1.0,-81.67,Strong Sell Signal,9.37,7.97,6.57,0.35,52.97,Target Volume,Expected Range,14.0,Absent or Weak Trend
2023-04-12,8.04,8.04,7.78,7.82,144863,-0.22,0.26,-2.81,3.39,0.13,7.99,7.61,0.06,0.02,0.04,218305799,14.99,1.67,83.33,-1.0,-81.67,Strong Sell Signal,9.42,7.99,6.55,0.36,52.07,Target Volume,Expected Range,13.97,Absent or Weak Trend
2023-04-11,8.21,8.37,7.9,7.98,339076,-0.23,0.47,-2.88,5.89,0.23,8.04,7.6,0.06,0.01,0.05,218450662,16.25,3.33,85.0,-1.0,-81.67,Strong Sell Signal,9.64,8.04,6.43,0.4,52.66,Target Volume,Expected Range,13.95,Absent or Weak Trend
2023-04-10,7.93,8.22,7.84,8.03,154006,0.1,0.38,1.25,4.73,0.19,8.06,7.59,0.05,-0.0,0.05,218789738,15.15,5.0,86.67,-1.0,-81.67,Strong Sell Signal,9.69,8.06,6.42,0.41,52.85,Target Volume,Expected Range,13.91,Absent or Weak Trend
2023-04-06,7.67,8.01,7.63,7.99,131891,0.32,0.38,4.01,4.76,0.19,8.07,7.57,0.03,-0.01,0.04,218635732,13.59,6.67,88.33,-1.0,-81.67,Strong Sell Signal,9.72,8.07,6.42,0.41,52.72,Target Volume,Expected Range,13.89,Absent or Weak Trend
2023-04-05,7.66,7.86,7.58,7.7,154935,0.04,0.28,0.52,3.57,0.14,8.07,7.56,0.0,-0.02,0.03,218503841,12.46,8.33,90.0,-1.0,-81.67,Strong Sell Signal,9.72,8.07,6.42,0.41,51.77,Target Volume,Expected Range,13.9,Absent or Weak Trend
2023-04-04,8.0,8.1,7.61,7.71,246399,-0.29,0.49,-3.76,6.36,0.24,8.06,7.55,0.0,-0.03,0.03,218658776,12.7,10.0,0.0,1.0,10.0,High Volatility / Hold Signal,9.73,8.06,6.39,0.41,51.81,Target Volume,Expected Range,13.92,Absent or Weak Trend
