Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-14,27.8,28.04,26.96,27.85,418884,0.05,1.09,0.18,3.9,0.54,-1
2023-07-13,29.0,29.24,28.45,28.47,417827,-0.53,0.79,-1.86,2.77,0.39,1
2023-07-12,28.31,28.58,27.59,28.43,362890,0.12,0.99,0.42,3.48,0.5,1
2023-07-11,28.28,28.53,27.26,27.73,337215,-0.55,1.27,-1.98,4.58,0.63,-1
2023-07-10,28.47,29.18,28.03,28.34,423809,-0.13,1.15,-0.46,4.06,0.57,-1
2023-07-07,28.7,29.32,28.56,28.98,390658,0.28,0.75,0.95,2.59,0.38,1
2023-07-06,29.58,29.58,27.88,28.04,374061,-1.54,1.7,-5.49,6.06,0.85,-1
2023-07-05,29.87,31.3,29.65,29.81,506453,-0.06,1.65,-0.2,5.54,0.83,1
2023-07-03,28.82,29.21,28.4,28.77,258444,-0.05,0.81,-0.17,2.82,0.41,1
2023-06-30,26.5,28.07,26.25,27.73,452956,1.23,1.82,4.44,6.56,0.91,1
2023-06-29,26.31,26.54,26.06,26.45,296061,0.14,0.48,0.53,1.81,0.24,-1
2023-06-28,26.38,26.67,26.16,26.48,299806,0.1,0.51,0.38,1.91,0.25,-1
2023-06-27,26.13,26.77,26.02,26.68,399180,0.55,0.75,2.06,2.81,0.38,1
2023-06-26,25.72,26.41,25.57,25.79,369060,0.07,0.84,0.27,3.26,0.42,1
2023-06-23,25.67,25.8,24.94,25.3,479520,-0.37,0.86,-1.46,3.39,0.43,-1
2023-06-22,25.57,26.14,25.0,25.99,1112507,0.42,1.14,1.62,4.39,0.57,1
2023-06-21,26.85,26.97,25.5,25.77,657773,-1.08,1.47,-4.19,5.7,0.73,-1
2023-06-20,27.9,28.05,26.0,27.06,992315,-0.84,2.05,-3.1,7.58,1.03,-1
2023-06-16,29.58,29.89,28.66,29.08,781300,-0.5,1.23,-1.72,4.21,0.61,1
2023-06-15,28.7,29.65,27.73,28.47,742302,-0.23,1.92,-0.81,6.74,0.96,1
2023-06-14,27.38,27.87,27.08,27.66,1083315,0.28,0.8,1.01,2.89,0.4,1
2023-06-13,27.89,27.89,27.22,27.63,724185,-0.26,0.67,-0.94,2.42,0.34,-1
2023-06-12,28.26,28.6,27.24,27.63,353969,-0.63,1.36,-2.28,4.92,0.68,-1
2023-06-09,28.72,29.02,27.5,28.16,749698,-0.56,1.52,-1.99,5.42,0.76,1
2023-06-08,29.24,29.4,27.74,28.04,1109132,-1.2,1.66,-4.28,5.92,0.83,-1
2023-06-07,30.25,31.2,28.51,28.66,1978008,-1.59,2.69,-5.55,9.39,1.34,-1
2023-06-06,34.57,34.8,32.92,33.54,532359,-1.03,1.88,-3.07,5.59,0.94,-1
2023-06-05,35.79,35.8,33.5,35.43,381430,-0.36,2.3,-1.02,6.49,1.15,-1
2023-06-02,34.66,37.92,34.66,35.7,1066221,1.04,3.26,2.91,9.13,1.63,1
2023-06-01,32.45,33.43,32.03,33.0,614092,0.55,1.4,1.67,4.24,0.7,1
2023-05-31,32.5,33.96,32.01,32.49,3260161,-0.01,1.95,-0.03,6.0,0.98,1
2023-05-30,32.01,32.59,30.0,30.78,670580,-1.23,2.59,-4.0,8.41,1.29,-1
